file,line_or_range,identifier,enclosing_object,object_type,semantic_role,activity_class,current_scope,fork_behavior,hotfix_behavior,vanilla_behavior,proposed_target,confidence,conflict_class,recommended_phase,notes
"events/india_events/sepoy_mutiny_events.txt","178-218","all five invalid IDs","sepoy_mutiny_events.2 / initial subject-country-state selection","event","Initializes uprising participants and states","ACTIVE_RUNTIME","subjects/countries/states","Three OR sets of five invalid regions","Hotfix uses north/south plus Pashtunistan/Quetta","Vanilla geographic India includes frontier states","geographic_region_required","HIGH","BIC","HOTFIX-5C2","count=15"
"events/india_events/sepoy_mutiny_events.txt","533-584","all five invalid IDs","sepoy_mutiny_events.2 / first revolt-spread branch","event","Spreads revolt through neighbors/countries/states","ACTIVE_RUNTIME","scope states and capitals","Four OR sets of five invalid regions","Hotfix uses north/south plus frontier states","Vanilla geographic India includes frontier states","geographic_region_required","HIGH","BIC","HOTFIX-5C2","count=20"
"events/india_events/sepoy_mutiny_events.txt","635-672","region_bombay;region_madras;region_punjab;region_central_india","sepoy_mutiny_events.2 / second revolt branch","event","Processes non-Bengal presidency states","ACTIVE_RUNTIME","subjects/countries/states","Three OR sets of four invalid regions","Hotfix uses north/south plus explicit states","Vanilla broad geographic India is valid","geographic_region_required","HIGH","BIC","HOTFIX-5C2","count=12"
"events/india_events/sepoy_mutiny_events.txt","987-1051","region_bombay;region_madras;region_punjab;region_central_india;region_bengal","sepoy_mutiny_events.2 / presidency branch A","event","Spreads revolt and applies Bengal-specific state effect","ACTIVE_RUNTIME","states/capitals","Four OR sets of four plus one Bengal reference","Hotfix uses north/south and explicit presidency states","Vanilla exact state regions exist","explicit_state_region","MEDIUM","BIC","HOTFIX-5C3","count=17"
"events/india_events/sepoy_mutiny_events.txt","1079-1116","region_bombay;region_madras;region_punjab;region_central_india;region_bengal","sepoy_mutiny_events.2 / presidency branch B","event","Processes state/country revolt targets","ACTIVE_RUNTIME","subjects/countries/states","Three OR sets of four","Hotfix uses north/south plus frontier states","Vanilla geographic India is valid","geographic_region_required","HIGH","BIC","HOTFIX-5C2","count=12"
"events/india_events/sepoy_mutiny_events.txt","1386-1450","region_bombay;region_bengal;region_punjab;region_central_india;region_madras","sepoy_mutiny_events.2 / presidency branch C","event","Spreads revolt and applies Madras-specific state effect","ACTIVE_RUNTIME","states/capitals","Four OR sets of four plus one Madras reference","Hotfix uses north/south and explicit presidency states","Vanilla exact state regions exist","explicit_state_region","MEDIUM","BIC","HOTFIX-5C3","count=17"
"events/india_events/sepoy_mutiny_events.txt","1478-1515","region_bengal;region_madras;region_punjab;region_central_india;region_bombay","sepoy_mutiny_events.2 / presidency branch D","event","Processes state/country revolt targets","ACTIVE_RUNTIME","subjects/countries/states","Three OR sets of four","Hotfix uses north/south plus frontier states","Vanilla geographic India is valid","geographic_region_required","HIGH","BIC","HOTFIX-5C2","count=12"
"events/india_events/sepoy_mutiny_events.txt","1785-1849","region_bengal;region_madras;region_punjab;region_central_india;region_bombay","sepoy_mutiny_events.2 / presidency branch E","event","Spreads revolt and applies Bombay-specific state effect","ACTIVE_RUNTIME","states/capitals","Four OR sets of four plus one Bombay reference","Hotfix uses north/south and explicit presidency states","Vanilla exact state regions exist","explicit_state_region","MEDIUM","BIC","HOTFIX-5C3","count=17"
"events/india_events/sepoy_mutiny_events.txt","2073-2074","region_bombay;region_madras","sepoy_mutiny_events.4 / capital eligibility","event","Checks presidency capital groups","ACTIVE_RUNTIME","capital","Two invalid regions","Hotfix uses *_old geographic regions","Vanilla defines exact old geographic regions","geographic_region_required","HIGH","BIC","HOTFIX-5C3","count=2"
"events/india_events/sepoy_mutiny_events.txt","2102-2104","region_bengal;region_punjab;region_central_india","sepoy_mutiny_events.4 / option eligibility","event","Checks northern presidency capital groups","ACTIVE_RUNTIME","capital","Three invalid regions","Hotfix uses region_north_india","Vanilla north region covers these cores","region_north_india","MEDIUM","BIC","HOTFIX-5C2","count=3"
"events/india_events/sepoy_mutiny_events.txt","2135-2137","region_bengal;region_punjab;region_central_india","sepoy_mutiny_events.4 / AI chance","event","Weights option by capital group","ACTIVE_RUNTIME","capital","Three invalid regions","Hotfix uses region_north_india","Vanilla north region covers these cores","region_north_india","MEDIUM","BIC","HOTFIX-5C2","count=3"
"events/india_events/sepoy_mutiny_events.txt","2208-2209","region_bombay;region_madras","sepoy_mutiny_events.4 / AI modifier","event","Weights option by southern capital group","ACTIVE_RUNTIME","capital","Two invalid regions","Hotfix uses region_south_india","Vanilla south region covers Bombay/Madras","region_south_india","HIGH","BIC","HOTFIX-5C2","count=2"
"events/krakatoa_events.txt","74-76","region_bombay;region_madras;region_bengal","krakatoa.1 / immediate","event","Applies eruption effects to historic Indian coastal subdivisions","ACTIVE_BUT_DATE_GATED","countries with states","Three invalid regions","Hotfix uses three *_old geographic regions","Vanilla defines exact old geographic regions","geographic_region_required","HIGH","NONE","HOTFIX-5C2","count=3; game_date >= 1850"
"events/krakatoa_events.txt","306-308","region_bombay;region_madras;region_bengal","krakatoa.2 / immediate","event","Selects tsunami-affected Indian states","ACTIVE_BUT_DATE_GATED","random_scope_state","Three invalid regions","Hotfix uses three *_old geographic regions","Vanilla defines exact old geographic regions","geographic_region_required","HIGH","NONE","HOTFIX-5C2","count=3; Krakatoa chain"
"events/soi_events/00_ep1_afghanistan_events.txt","104-206","region_bombay;region_punjab","gg_afghanistan.1 / first border-proposal branches","event","Transfers/checks states on Indian side of border","ACTIVE_BUT_DLC_GATED","every_state","Four repeated pairs","Hotfix uses geographic_region_india and explicit Balkh","Vanilla defines geographic_region_india","geographic_region_required","HIGH","NONE","HOTFIX-5C2","count=8; ep1 chain"
"events/soi_events/00_ep1_afghanistan_events.txt","376-478","region_bombay;region_punjab","gg_afghanistan.1 / second border-proposal branches","event","Transfers/checks states on Indian side of border","ACTIVE_BUT_DLC_GATED","every_state","Four repeated pairs","Hotfix uses geographic_region_india and explicit Balkh","Vanilla defines geographic_region_india","geographic_region_required","HIGH","NONE","HOTFIX-5C2","count=8; ep1 chain"
"events/soi_events/00_ep1_kazakh_events.txt","1268-1284","all five invalid IDs","russian_central_asia.2 / Indian-country selection","event","Finds countries with Indian territory","ACTIVE_BUT_DLC_GATED","ordered country/any country states","Two OR sets of five invalid regions","Hotfix uses geographic_region_india","Vanilla defines geographic_region_india","geographic_region_required","HIGH","NONE","HOTFIX-5C2","count=10; ep1 chain"
"events/soi_events/00_ep1_kazakh_events.txt","1357-1373","all five invalid IDs","russian_central_asia.2 / European-country selection","event","Finds European powers with Indian territory","ACTIVE_BUT_DLC_GATED","every_country_in_europe/any country states","Two OR sets of five invalid regions","Hotfix uses geographic_region_india","Vanilla defines geographic_region_india","geographic_region_required","HIGH","NONE","HOTFIX-5C2","count=10; ep1 chain"
