"priority","tag","country","packet_decision","implementation_status","character_actually_used","government_actually_used","ruler_title_actually_used","deferred_reason","files_touched","static_validation_result","notes"
"P1","NVS","Nova Scotia","IMPLEMENT_DELEGATED_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Francis Legge","gov_cleanup2c1_nvs","Governor of Nova Scotia","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS",""
"P1","ONT","Ontario","MAP_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not create a separate Ontario/Upper Canada governor in 1776.","","PASS",""
"P1","PCO","Puerto Rico","IMPLEMENT_DELEGATED_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Miguel de Muesas","gov_cleanup2c1_pco","Governor and Captain General of Puerto Rico","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Muesas remained in office until June 1776; exact life dates are not sufficiently secure here."
"P1","QUE","Quebec","IMPLEMENT_DELEGATED_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Guy Carleton","gov_cleanup2c1_que","Governor of Quebec","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS",""
"P1","SC1","Nueva España","IMPLEMENT_DELEGATED_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Antonio María de Bucareli y Ursúa","gov_cleanup2c1_sc1","Viceroy of New Spain","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS",""
"P1","SC2","Nueva Granada","IMPLEMENT_DELEGATED_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Manuel de Guirior","gov_cleanup2c1_sc2","Viceroy of New Granada","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Guirior remained viceroy of New Granada until 1776 before moving to Peru."
"P1","SC3","Perú","IMPLEMENT_DELEGATED_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Manuel de Amat y Junyent","gov_cleanup2c1_sc3","Viceroy of Peru","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Secondary sources disagree on exact birth year/date; keep age approximate."
"P1","SC4","Río de la Plata","MAP_REWORK_DEFERRED_WITH_TEMPORARY_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Juan José de Vértiz y Salcedo","gov_cleanup2c1_sc4","Governor of Buenos Aires","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","The viceroyalty was created during 1776 and took practical form in 1777; do not present it as an established viceroyalty on 1 January."
"P1","BUK","Bukhara","IMPLEMENT_EFFECTIVE_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Daniyal Biy Ataliq","gov_cleanup2c1_buk","Ataliq","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Daniyal held effective power 1758–1785 while Abu'l-Ghazi Khan supplied Chinggisid legitimacy."
"P1","KHI","Khiva","IMPLEMENT_EFFECTIVE_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Muhammad Amin Inaq","gov_cleanup2c1_khi","Inaq","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","The khanate's late-18th-century constitution separated nominal khanship from effective Qongrat inaq power."
"P1","KOK","Kokand","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Narbuta Biy","gov_cleanup2c1_kok","Biy","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Sources place Narbuta's accession around 1770–1774; all place him in power on 1776-01-01."
"P1","KZH","Kishi Zhuz","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Nuraly Khan","gov_cleanup2c1_kzh","Khan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","His authority was negotiated and confederal; Russian recognition/protectorate claims should not be read as direct provincial rule."
"P1","OZH","Orta Zhuz","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Ablai Khan","gov_cleanup2c1_ozh","Khan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ablai was elected khan in 1771; Russian formal recognition of his Middle Zhuz title followed later."
"P1","UZH","Uly Zhuz","POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not duplicate Ablai as an unquestioned independent sovereign; retain a procedural abstraction until political/map structure is reworked.","","PASS","The fork's centralized single-ruler tag overstates a fragmented and overlapping authority structure in 1776."
"P1","EZO","Ezochi","IMPLEMENT_HISTORICAL_RULER_WITH_MAP_CAVEAT","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Matsumae Michihiro","gov_cleanup2c1_ezo","Daimyo","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","The tag's territorial extent may exceed historically administered Matsumae lands and requires later map/population review."
"P1","RYU","Ryukyu","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Shō Boku","gov_cleanup2c1_ryu","King","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ryukyu was neither simply independent nor a normal one-overlord vassal in 1776."
"P1","ARB","Arabistan","MAP_DIPLOMACY_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not invent a ruler. Treat the fork's ARB abstraction and especially any French-vassal relation as map/diplomacy work.","","PASS","Research confirms the political context but not a sufficiently secure individual holder for 1776-01-01."
"P1","BHN","Bahrain","IMPLEMENT_DELEGATED_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Nasr al-Madhkur","gov_cleanup2c1_bhn","Sheikh","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","The Al Khalifa conquest dates to 1783, so later Bahraini dynastic assumptions are anachronistic for 1776."
"P1","CHC","Chechnya","POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not manufacture a monarch or theocratic ruler. Defer centralized-tag representation to political/map rework.","","PASS","Sheikh Mansur's major unifying resistance belongs to the 1780s, not 1776."
"P1","CIR","Circassia","POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Keep procedural/deferred; a single 'ruler of Circassia' would be an unjustified simplification.","","PASS","The fork centralizes a region that in 1776 contained multiple polities and social systems."
"P1","HDJ","Hedjaz","IMPLEMENT_DELEGATED_DYNASTIC_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Surur ibn Musa'id","gov_cleanup2c1_hdj","Sharif and Emir of Mecca","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Surur held office 1773–1788."
"P1","LAH","Lahej","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Fadl II ibn Abd al-Karim al-Abdali","gov_cleanup2c1_lah","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Fadl II is listed as ruler from 1775 to 1791; reliable birth data was not found."
"P1","OMA","Oman","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Ahmad bin Said al-Busaidi","gov_cleanup2c1_oma","Imam","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He ruled from 1744 until 1783."
"P1","ZAI","Azal","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","al-Mansur Ali I","gov_cleanup2c1_zai","Imam","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He succeeded in 1775 and remained imam until 1809."
"P1","HAW","Hawaii","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not choose one ruler for the whole archipelago tag. Defer until the map/political structure can represent the separate island polities.","","PASS","Kamehameha's archipelagic unification post-dates 1776; a unified Hawaiian Kingdom is anachronistic at start."
"P1","KAU","Kaurna","POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not create a king or monarch. Reclassify during future map/population/political-structure work.","","PASS","A centralized territorial state with one ruler is not supported for 1776."
"P1","PLY","Tahiti","IMPLEMENT_HISTORICAL_CHIEF_WITH_DIPLOMACY_DEFER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Tu (Otoo)","gov_cleanup2c1_ply","Paramount chief","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","The French protectorate is a 19th-century development; European observers later called Tū/Otoo king, but in 1776 paramount chief is safer."
"P1","UNT","United Tribes","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Remove any claim to a 1776 United Tribes ruler; defer the tag to map/political rework.","","PASS","He Whakaputanga / United Tribes belongs to 1835, not 1776."
"P1","AWA","Awadh","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Asaf-ud-Daula","gov_cleanup2c1_awa","Nawab-Wazir","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He succeeded Shuja-ud-Daula after the latter's death in January 1775."
"P1","BHU","Bhutan","IMPLEMENT_HISTORICAL_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Kunga Rinchen","gov_cleanup2c1_bhu","Druk Desi","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Kunga Rinchen is listed for 1773–1776; exact transition date within 1776 remains uncertain."
"P1","BHV","Bhavnagar","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Wakhatsinhji Akherajji","gov_cleanup2c1_bhv","Thakur Sahib","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He ruled 1772–1816; exact title localisation should follow the state/dynasty source packet."
"P1","COC","Cochin","IMPLEMENT_HISTORICAL_RULER_WITH_DIPLOMACY_DEFER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Rama Varma VIII","gov_cleanup2c1_coc","Raja","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Rama Varma VIII ruled 1775–1790; Sakthan Thampuran succeeded later."
"P1","COO","Cooch Behar","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Dhairyendra Narayan","gov_cleanup2c1_coo","Maharaja","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He resumed rule in 1775 after release and remained ruler into the early 1780s."
"P1","GAR","Garhwal","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Lalit Shah","gov_cleanup2c1_gar","Raja","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Lalit Shah ruled 1772–1780."
"P1","GWA","Gwalior","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Mahadji Shinde","gov_cleanup2c1_gwa","Sardar","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Mahadji had led the Scindia house since the late 1760s."
"P1","JEY","Jeypore","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Vikram Dev I","gov_cleanup2c1_jey","Raja","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Chronologies commonly place Vikram Dev in office 1758–1781."
"P1","KHP","Kolhapur","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Shivaji II","gov_cleanup2c1_khp","Chhatrapati","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Rani Jijibai's regency ended before 1776; Shivaji II was the ruler at start."
"P1","KNO","Kurnool","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Munawar Khan","gov_cleanup2c1_kno","Nawab","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler lists place Munawar Khan in office from 1751 to 1792; birth date not securely established."
"P1","MLD","Maldives","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Muhammad Mu'izz al-Din","gov_cleanup2c1_mld","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler lists place him in office 1774–1779."
"P1","NAG","Nagpur","IMPLEMENT_REGENCY_STRUCTURE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Mudhoji Bhonsle","gov_cleanup2c1_nag","Regent","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Mudhoji I won the regency struggle by 1775 and governed on behalf of the infant Raghoji II; no exact birth date is invented."
"P1","NEP","Nepal","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Pratap Singh Shah","gov_cleanup2c1_nep","King","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He reigned from January 1775 to November 1777."
"P1","PAN","Punjab","POLITICAL_STRUCTURE_REWORK_DEFERRED_WITH_HISTORICAL_ABSTRACTION","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Jassa Singh Ahluwalia","gov_cleanup2c1_pan","Jathedar","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Do not title Jassa Singh King of Punjab; the unified Sikh Empire belongs to a later period."
"P1","PUD","Pudukottai","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Raghunatha Tondaiman","gov_cleanup2c1_pud","Raja","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He ruled 1769–1789."
"P1","SAT","Satara","IMPLEMENT_NOMINAL_HISTORICAL_SOVEREIGN","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Rajaram II","gov_cleanup2c1_sat","Chhatrapati","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Rajaram II remained Chhatrapati until 1777 while practical Maratha power lay with the Peshwa establishment."
"P1","SIK","Sikkim","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Phuntsog Namgyal II","gov_cleanup2c1_sik","Chogyal","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He ruled 1733–1780."
"P1","SIN","Sindh","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Ghulam Nabi Kalhoro","gov_cleanup2c1_sin","Mian","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Provincial/official chronologies place Mian Ghulam Nabi in 1775–1776."
"P1","TIB","Tibet","IMPLEMENT_REGENCY_STRUCTURE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Demo Tulku (Ngawang Jampel Delek Gyatso)","gov_cleanup2c1_tib","Regent","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Demo Tulku governed until 1777; the Dalai Lama was still a minor/young ruler in the regency framework."
"P1","TRA","Travancore","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Karthika Thirunal Rama Varma","gov_cleanup2c1_tra","Maharaja","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He ruled 1758–1798."
"P1","ACE","Aceh","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Alauddin Mahmud Syah I","gov_cleanup2c1_ace","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Mahmud Syah was restored in 1773 and remained ruler through 1776."
"P1","BAL","Bali","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not create one King of Bali. Defer centralized representation to map/political-structure rework.","","PASS","The Dewa Agung of Klungkung had prestige but not unitary sovereign control over all Bali."
"P1","BLG","Bulungan","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Wira Amir","gov_cleanup2c1_blg","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler lists place Wira Amir in office 1731–1777."
"P1","BNJ","Banjar","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Tahmidullah II","gov_cleanup2c1_bnj","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Tahmidullah II ruled 1761–1801."
"P1","BRU","Brunei","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Omar Ali Saifuddin I","gov_cleanup2c1_bru","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He reigned 1740–1778."
"P1","BTN","Buton","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","La Jampi","gov_cleanup2c1_btn","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Available ruler chronologies place La Jampi in office 1763–1788."
"P1","BUR","Burma","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Hsinbyushin","gov_cleanup2c1_bur","King","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Hsinbyushin died 10 June 1776, so he is unambiguously the start-date ruler."
"P1","CAM","Cambodia","IMPLEMENT_HISTORICAL_RULER_WITH_DIPLOMACY_DEFER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Ang Non II","gov_cleanup2c1_cam","King","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ang Non II reigned 1775–1779 and was aligned with Siam; a simple Dai Nam tributary relationship is not supported for the whole period."
"P1","CHP","Champasak","IMPLEMENT_HISTORICAL_RULER_WITH_DIPLOMACY_DEFER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Sayakumane","gov_cleanup2c1_chp","Chao","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Sayakumane ruled 1737–1791; Siamese conquest came in 1779."
"P1","CMI","Chiang Mai","IMPLEMENT_HISTORICAL_EXECUTIVE_WITH_MAP_DIPLOMACY_DEFER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Phraya Wichianprakarn","gov_cleanup2c1_cmi","Governor of Chiang Mai","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Chiang Mai was abandoned in 1776; representing a stable normal vassal state is misleading."
