"tag","country_name_en","country_name_fr_if_available","active_1776","world_region","world_subregion","capital_or_primary_region","country_type","country_tier","subject_type","overlord_tag","government_form","distribution_of_power","religion_state","primary_cultures","ruler_name","ruler_age","ruler_title","ruler_source","ruler_generated","character_history_source","shared_monarch","regency","historical_packet_batch","historical_status","government_status","title_status","constitutional_status","colonial_or_company_status","map_dependency","research_required","recommended_next_action","notes"
"DAI","Dai Nam","Dai Nam","YES","SOUTHEAST_ASIA","INDOCHINA","STATE_ANNAM","unrecognized","kingdom","INDEPENDENT","","law_monarchy","law_autocracy","law_freedom_of_conscience","vietnamese","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"DEI","East Indies","Indes orientales","YES","SOUTHEAST_ASIA","INDONESIA","STATE_WEST_JAVA","colonial","principality","chartered_company","NET","law_colonial_administration","law_oligarchy","law_freedom_of_conscience","dutch","Reinier de Klerk","43","Governor-General","DELEGATED_EXECUTIVE","NO","common/history/characters/dei - dutch east indies.txt","NO","NO","NONE","SCRIPTED_ANACHRONISTIC_CANDIDATE","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","CHARTERED_COMPANY_EXECUTIVE_RESEARCH_REQUIRED","MAJOR","YES","P0 resolve manifest static anachronism before implementation.","Delegated-executive template contains visible copied BIC artifacts; identity, age, office and company constitution require validation."
"DFR","Darfur","Darfour","YES","NORTH_AFRICA","NILE_BASIN","STATE_DARFUR","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","fur;bedouin","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"DUR","Afghanistan","Afghanistan","YES","MIDDLE_EAST","GREATER_PERSIA","STATE_KABUL","unrecognized","empire","INDEPENDENT","","law_monarchy","law_autocracy","law_people_of_the_book","pashtun;tajik","Timur Durrani","29","Engine-selected monarchical title (unverified)","PRE_EXISTING_HISTORICAL_SCRIPTED","NO","common/history/characters/dur.txt","NO","NO","NONE","SCRIPTED_UNVERIFIED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P2 verify scripted identity, office, age, title and constitution.","Static 1776 setup audit; no external historical research performed."
"ETH","Ethiopia","Éthiopie","YES","HORN_OF_AFRICA","HORN_OF_AFRICA","STATE_GONDER","unrecognized","empire","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","amhara;oromo;tigray","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"EZO","Ezochi","Ezochi","YES","EAST_ASIA","NORTHEAST_ASIA","STATE_HOKKAIDO","unrecognized","principality","vassal","JAP","law_presidential_republic","law_oligarchy","law_state_religion","japanese;ainu","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"FTJ","Futa Jallon","Fouta-Djalon","YES","WEST_AFRICA","WEST_AFRICA","STATE_GUINEA","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","fulbe","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"FTR","Futa Toro","Fouta-Toro","YES","WEST_AFRICA","WEST_AFRICA","STATE_SENEGAL","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","fulbe;wolof","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"GAR","Garhwal","Garhwal","YES","INDIA","NORTH_INDIA","STATE_AGRA","unrecognized","principality","vassal","MARATH","law_monarchy","law_autocracy","law_state_religion","pahari","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"GLD","Geledi","Geledi","YES","HORN_OF_AFRICA","HORN_OF_AFRICA","STATE_SOMALILAND","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","somali","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"GR5","Santo Domingo","Santo Domingo","YES","CARIBBEAN","CARIBBEAN","STATE_SANTO_DOMINGO","colonial","principality","colony","SPA","law_colonial_administration","law_autocracy","law_state_religion","spanish","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","COLONIAL_EXECUTIVE_RESEARCH_REQUIRED","MAJOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"GWA","Gwalior","Gwalior","YES","INDIA","NORTH_INDIA","STATE_MALWA","unrecognized","principality","vassal","MARATH","law_monarchy","law_autocracy","law_state_religion","marathi;bundeli","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"HAI","Haiti","Haïti","YES","CARIBBEAN","CARIBBEAN","STATE_HAITI","colonial","principality","colony","FRA","law_colonial_administration","law_oligarchy","law_state_religion","afro_antillean","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","COLONIAL_EXECUTIVE_RESEARCH_REQUIRED","MAJOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"HAU","Gobir","Gobir","YES","WEST_AFRICA","WEST_AFRICA","STATE_OUTER_HAUSALAND","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","hausa","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"HAW","Hawaii","Hawaï","YES","OCEANIA","PACIFIC","STATE_HAWAIIAN_ISLANDS","unrecognized","kingdom","INDEPENDENT","","law_monarchy","law_autocracy","law_freedom_of_conscience","hawaiian","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"HBC","Hudson's Bay Company","Compagnie de la Baie d’Hudson","YES","NORTH_AMERICA","CANADA","STATE_MANITOBA","colonial","principality","chartered_company","GBR","law_colonial_administration","law_autocracy","law_total_separation","anglo_canadian","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","CHARTERED_COMPANY_EXECUTIVE_RESEARCH_REQUIRED","MAJOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"HDJ","Hedjaz","Hedjaz","YES","ARABIAN_PENINSULA","ARABIA","STATE_HEDJAZ","unrecognized","principality","puppet","TUR","law_monarchy","law_autocracy","law_state_religion","bedouin","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"HYD","Hyderabad","Hyderabad","YES","INDIA","SOUTH_INDIA","STATE_HYDERABAD","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","deccani","Nizam Ali Khan","41","Nizam","BATCH1_VALIDATED","NO","BATCH1 effective character history","NO","NO","BATCH1","ALREADY_VALIDATED_BATCH1","GOVERNMENT_OK","TITLE_OK","CONSTITUTIONAL_STATUS_OK","NOT_COLONIAL_OR_COMPANY","NO","NO","P3 retain validated Batch-1 packet; no new research.","Static 1776 setup audit; no external historical research performed."
"IQU","Iquicha","Iquicha","YES","SOUTH_AMERICA","ANDES","STATE_ICA","colonial","principality","colony","SPA","law_presidential_republic","law_autocracy","law_state_religion","quechua","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","COLONIAL_EXECUTIVE_RESEARCH_REQUIRED","MAJOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"IR1","Mamluk Iraq","Irak mamelouk","YES","MIDDLE_EAST","NEAR_EAST","STATE_BAGHDAD","unrecognized","principality","protectorate","TUR","law_monarchy","law_autocracy","law_millet_system","georgian;mashriqi","Omar Ahmad","27","Pasha","PRE_EXISTING_HISTORICAL_SCRIPTED","NO","common/history/characters/ir1 - mamluk iraq.txt","NO","NO","NONE","SCRIPTED_UNVERIFIED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","YES","P2 verify scripted identity, office, age, title and constitution.","Static 1776 setup audit; no external historical research performed."
"ISQ","Isaaq","Isaaq","YES","HORN_OF_AFRICA","HORN_OF_AFRICA","STATE_SOMALILAND","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","somali","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"JAP","Japan","Japon","YES","EAST_ASIA","NORTHEAST_ASIA","STATE_KANSAI","unrecognized","empire","INDEPENDENT","","law_monarchy","law_autocracy","law_freedom_of_conscience","japanese","Tokugawa Ieharu","38","Shogun","BATCH1_VALIDATED","NO","BATCH1 effective character history","NO","NO","BATCH1","ALREADY_VALIDATED_BATCH1","GOVERNMENT_OK","TITLE_OK","CONSTITUTIONAL_STATUS_OK","NOT_COLONIAL_OR_COMPANY","NO","NO","P3 retain validated Batch-1 packet; no new research.","Static 1776 setup audit; no external historical research performed."
"JEY","Jeypore","Jeypore","YES","INDIA","NORTH_INDIA","STATE_ORISSA","unrecognized","principality","puppet","BIC","law_monarchy","law_autocracy","law_state_religion","oriya","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"JMB","Jambi","Jambi","YES","SOUTHEAST_ASIA","INDONESIA","STATE_NORTH_SUMATRA","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","sumatran","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"JOH","Johore","Johor","YES","SOUTHEAST_ASIA","INDOCHINA","STATE_MALAYA","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","malay","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"KAU","Kaurna","Kaurna","YES","OCEANIA","PACIFIC","STATE_SOUTH_AUSTRALIA","unrecognized","principality","INDEPENDENT","","law_parliamentary_republic","law_census_voting","law_state_religion","aborigine","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"KHI","Khiva","Khiva","YES","CENTRAL_ASIA","CENTRAL_ASIA","STATE_KHIVA","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","uzbek","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"KHP","Kolhapur","Kolhapur","YES","INDIA","SOUTH_INDIA","STATE_BOMBAY","unrecognized","principality","vassal","MARATH","law_monarchy","law_autocracy","law_state_religion","marathi","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"KNO","Kurnool","Kurnool","YES","INDIA","SOUTH_INDIA","STATE_KURNOOL","unrecognized","principality","vassal","HYD","law_monarchy","law_autocracy","law_state_religion","pathan;deccani;telegu","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"KOK","Kokand","Kokand","YES","CENTRAL_ASIA","CENTRAL_ASIA","STATE_FERGANA","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","kirgiz","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"KON","Kongo","Kongo","YES","CENTRAL_AFRICA","EQUATORIAL_AFRICA","STATE_BAS_CONGO","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","bakongo","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"KOR","Korea","Corée","YES","EAST_ASIA","NORTHEAST_ASIA","STATE_SEOUL","unrecognized","kingdom","tributary","CHI","law_monarchy","law_autocracy","law_state_religion","korean","Yeongjo","81","King","BATCH1_VALIDATED","NO","BATCH1 effective character history","NO","NO","BATCH1","ALREADY_VALIDATED_BATCH1","GOVERNMENT_OK","TITLE_OK","CONSTITUTIONAL_STATUS_OK","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","NO","P3 retain validated Batch-1 packet; no new research.","Static 1776 setup audit; no external historical research performed."
"KRG","Karagwe","Karagwe","YES","EAST_AFRICA","EAST_AFRICA","STATE_TANGANYIKA","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","lacustrine_bantu;baganda","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"KRT","Kaarta","Kaarta","YES","WEST_AFRICA","WEST_AFRICA","STATE_WESTERN_MALI","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","bambara","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"KTI","Kutai","Kutai","YES","SOUTHEAST_ASIA","INDONESIA","STATE_EAST_BORNEO","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","bornean","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"KZH","Kishi Zhuz","Petite jüz","YES","CENTRAL_ASIA","CENTRAL_ASIA","STATE_URALSK","unrecognized","principality","protectorate","RUS","law_monarchy","law_autocracy","law_state_religion","kazak","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"LAH","Lahej","Lahej","YES","ARABIAN_PENINSULA","ARABIA","STATE_YEMEN","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","bedouin;yemenite","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"LAN","Lanfang","Lanfang","YES","SOUTHEAST_ASIA","INDONESIA","STATE_WEST_BORNEO","unrecognized","principality","tributary","CHI","law_presidential_republic","law_census_voting","law_total_separation","hakka","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"LOU","Louisiana","Louisiane","YES","NORTH_AMERICA","GREAT_PLAINS","STATE_LOUISIANA","colonial","principality","colony","SPA","law_colonial_administration","law_oligarchy","law_state_religion","cajun;afro_antillean","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","COLONIAL_EXECUTIVE_RESEARCH_REQUIRED","MAJOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
