tag,country_1776,fork_country_name,world_region,current_fork_role,recommended_character,recommended_title,birth_date,age_1776,date_policy,office_1776,government_1776,succession_or_election,nominal_sovereign,effective_executive,subject_type,overlord,colonial_or_company,map_dependency,recommended_v3_representation,implementation_decision,identity_confidence,constitutional_confidence,mapping_confidence,source_1,source_2,source_3,notes
PHL,Philippolis / Griqua state abstraction,Philippolis,SOUTHERN_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,No 1776 Philippolis polity,,,NOT_APPLICABLE,No 1776 executive,Pre-19th-century Khoekhoe/Griqua communities; Philippolis settlement not yet founded,Not applicable,,No 1776 executive,INDEPENDENT,,NO,NO,Tag is anachronistic for 1776; defer to map/population/political-structure rework.,MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,Philippolis | https://en.wikipedia.org/wiki/Philippolis,Griqua people | https://en.wikipedia.org/wiki/Griqua_people,,Philippolis was founded as a mission station in 1823 and became associated with a Griqua captaincy afterward.
RWD,Kingdom of Rwanda,Rwanda,EAST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Kigeli III Ndabarasa,Mwami,,,UNKNOWN_CHRONOLOGY_APPROXIMATE,Mwami of Rwanda,Hereditary/sacral Rwandan monarchy,Dynastic succession,,Kigeli III Ndabarasa,INDEPENDENT,,NO,NO,Implement Kigeli III only with explicit chronology caveat; do not invent birth/death dates.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Kigeli III Ndabarasa | https://en.wikipedia.org/wiki/Kigeli_III_Ndabarasa,List of kings of Rwanda | https://en.wikipedia.org/wiki/List_of_kings_of_Rwanda,,"Modern historical reconstructions often place Kigeli III around 1765–1792, while older traditional chronologies differ considerably."
SGU,Segou / Bambara Empire,Segou,WEST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Ngolo Diarra,Faama,,,UNKNOWN_NO_INVENTION,Faama of Segou,Bambara dynastic monarchy,Dynastic succession,,Ngolo Diarra,INDEPENDENT,,NO,NO,Implement Ngolo Diarra as Faama.,IMPLEMENT_HISTORICAL_RULER,HIGH,MEDIUM,HIGH,Ngolo Diarra | https://en.wikipedia.org/wiki/Ngolo_Diarra,Bamana Empire | https://en.wikipedia.org/wiki/Bamana_Empire,,Ngolo Diarra ruled from the 1760s until about 1790.
SIL,Sierra Leone colony,Sierra Leone,WEST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,,No British Sierra Leone colony in 1776,,,NOT_APPLICABLE,No colonial governor,West African societies; British-sponsored settlement had not yet been founded,Not applicable,,No 1776 colonial executive,colony,GBR,YES,MAJOR,Do not assign a British governor in 1776. Defer the colonial tag to map/population/political-structure rework.,MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,History of Sierra Leone | https://en.wikipedia.org/wiki/History_of_Sierra_Leone,Sierra Leone Colony and Protectorate | https://en.wikipedia.org/wiki/Sierra_Leone_Colony_and_Protectorate,,The Province of Freedom settlement dates to 1787 and Crown Colony status to 1808.
SOK,Sokoto Caliphate,Sokoto,WEST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,No Sokoto state in 1776,,,NOT_APPLICABLE,No caliph/sultan in 1776,Hausa/Fulani societies before Usman dan Fodio's jihad,Not applicable,,No 1776 Sokoto executive,INDEPENDENT,,NO,NO,Tag is anachronistic; defer to map/political-structure rework.,MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,Sokoto Caliphate | https://en.wikipedia.org/wiki/Sokoto_Caliphate,Usman dan Fodio | https://en.wikipedia.org/wiki/Usman_dan_Fodio,,The Sokoto Caliphate emerged from the jihad beginning in 1804.
SWZ,kaNgwane / early Swazi kingdom,Swaziland,SOUTHERN_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Ngwane III,King / Ngwenyama,,,UNKNOWN_NO_INVENTION,Ngwenyama of the Swazi polity,Hereditary Dlamini monarchy with dual royal institutions,Dynastic succession,,Ngwane III,INDEPENDENT,,NO,NO,Implement Ngwane III with the local Ngwenyama title if feasible.,IMPLEMENT_HISTORICAL_RULER,HIGH,MEDIUM,HIGH,Ngwane III | https://en.wikipedia.org/wiki/Ngwane_III,History of Eswatini | https://en.wikipedia.org/wiki/History_of_Eswatini,,Ngwane III is conventionally dated as ruler about 1745–1780.
TGI,Tungi Sultanate,Tungi,EAST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,Sultan,,,NOT_APPLICABLE,Sultan of Tungi; exact 1776 holder unresolved,Swahili coastal sultanate/polity,Dynastic/lineage succession,,Exact holder unresolved,INDEPENDENT,,NO,NO,Retain a Sultan-type government but do not invent a personal ruler; defer individual identity until a secure chronology is found.,IDENTITY_RESEARCH_DEFERRED_PROCEDURAL_ALLOWED,LOW,MEDIUM,MEDIUM,Coastal East African historical traditions — Tungi | https://www.jstor.org/,"Tungi, Tanzania | https://en.wikipedia.org/wiki/Tungi%2C_Tanzania",,Sources support an old coastal settlement/sultanate tradition but did not securely identify the 1776 officeholder.
TRI,Tripolitania,Tripolitania,NORTH_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Ali I Qaramanli,Pasha,,,UNKNOWN_NO_INVENTION,Pasha of Tripoli,Qaramanli hereditary-autonomous dynasty under nominal Ottoman sovereignty,Hereditary dynastic rule with Ottoman recognition,Abdülhamid I,Ali I Qaramanli,puppet,TUR,NO,MINOR,Implement Ali I as Pasha and preserve nominal Ottoman sovereignty; do not title him king.,IMPLEMENT_DELEGATED_DYNASTIC_RULER,HIGH,HIGH,HIGH,Ali I Pasha | https://en.wikipedia.org/wiki/Ali_I_Pasha,Karamanli dynasty | https://en.wikipedia.org/wiki/Karamanli_dynasty,,Ali I ruled 1754–1793.
TRN,Transvaal / South African Republic,Transvaal,SOUTHERN_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_presidential_republic,,No 1776 state ruler,,,NOT_APPLICABLE,No South African Republic in 1776,Indigenous polities and communities before 19th-century Boer republic formation,Not applicable,,No 1776 executive,INDEPENDENT,,NO,NO,Tag is anachronistic; defer to map/population/political-structure rework.,MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,South African Republic | https://en.wikipedia.org/wiki/South_African_Republic,South African History Online — South African Republic | https://www.sahistory.org.za/,,The South African Republic/Transvaal state belongs to the mid-19th century.
TUG,Sultanate of Touggourt,Touggourt,NORTH_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Ahmed VIII ben Amrane,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of Touggourt,Beni Djellab hereditary oasis sultanate under Regency of Algiers suzerainty/tribute,Dynastic succession,Dey of Algiers,Ahmed VIII ben Amrane,INDEPENDENT,,NO,NO,Implement Ahmed VIII as Sultan while documenting the Regency of Algiers overlord/tributary context.,IMPLEMENT_HISTORICAL_RULER_WITH_DEPENDENCY,HIGH,HIGH,HIGH,Sultanate of Tuggurt | https://en.wikipedia.org/wiki/Sultanate_of_Tuggurt,Beni Djellab | https://en.wikipedia.org/wiki/Beni_Djellab,,Beni Djellab ruler lists place Ahmed VIII in office 1766–1778.
TUN,Beylik of Tunis,Tunis,NORTH_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Ali II ibn Hussein,Bey,1712-11-24,63,EXACT_IF_SOURCED,Bey of Tunis,Husainid hereditary beylik under nominal Ottoman sovereignty,Hereditary Husainid succession with Ottoman suzerainty,Abdülhamid I,Ali II ibn Hussein,puppet,TUR,NO,MINOR,Implement Ali II as Bey; preserve Ottoman nominal sovereignty and avoid a king title.,IMPLEMENT_DELEGATED_DYNASTIC_RULER,HIGH,HIGH,HIGH,Ali II ibn Hussein | https://en.wikipedia.org/wiki/Ali_II_ibn_Hussein,Beylik of Tunis | https://en.wikipedia.org/wiki/Beylik_of_Tunis,,Ali II ruled 1759–1782.
WAD,Wadai Empire,Wadai,CENTRAL_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Muhammad Jawda,Kolak / Sultan,,,UNKNOWN_NO_INVENTION,Kolak of Wadai,Centralized Wadai monarchy/sultanate,Dynastic succession,,Muhammad Jawda,INDEPENDENT,,NO,NO,"Implement Muhammad Jawda, preferably with title Kolak (Sultan as explanatory localisation if needed).",IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Wadai Empire | https://en.wikipedia.org/wiki/Wadai_Empire,African History Extra — Wadai | https://www.africanhistoryextra.com/,,Ruler chronologies place Muhammad Jawda/Joda in office 1747–1795.
WBL,Griqua/Xarixuriqua community abstraction,Griqualand,SOUTHERN_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Adam Kok I,Kaptyn / community leader,1710,~65,YEAR_ONLY_APPROX_AGE,Leading Kok-family community chief,Khoekhoe/Griqua community leadership before later territorial Griqualand states,Community/chiefly succession,,Adam Kok I,INDEPENDENT,,NO,NO,"If the tag must temporarily retain a visible leader, use Adam Kok I as Kaptyn/community leader; the territorial state mapping remains deferred.",MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED_WITH_HISTORICAL_LEADER,MEDIUM,MEDIUM,LOW,Adam Kok I | https://en.wikipedia.org/wiki/Adam_Kok_I,Griqua people | https://en.wikipedia.org/wiki/Griqua_people,,"Adam Kok I was a real 18th-century community leader, but a later territorial 'Griqualand' state should not be projected backward wholesale."
WSG,Warsangali Sultanate,Warsangali,HORN_OF_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Garaad Ali,Garaad / Sultan,,,UNKNOWN_CHRONOLOGY_APPROXIMATE,Ruler of Warsangali,Somali clan sultanate,Dynastic/clan succession,,Garaad Ali,INDEPENDENT,,NO,NO,Implement Garaad Ali with medium confidence; retain local Garaad title if technically possible.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Warsangali Sultanate | https://en.wikipedia.org/wiki/Warsangali_Sultanate,,,"Ruler chronologies place a Garaad Ali in power through 1776, though accession/name styling differs between lists."
WTU,Witu Sultanate,Witu,EAST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,No Witu Sultanate in 1776,,,NOT_APPLICABLE,No 1776 Sultan of Witu,Coastal mainland communities before the 19th-century Witu state,Not applicable,,No 1776 executive,INDEPENDENT,,NO,NO,Do not invent an 18th-century Sultan of Witu. Defer the tag to map/political-structure rework.,MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,Witu Sultanate | https://en.wikipedia.org/wiki/Witu_Sultanate,,,The Witu Sultanate is a 19th-century polity; its known founding/ruler chronology does not extend to 1776.
ALK,Russian America had no permanent Russian colony/company polity in Alaska on 1776-01-01,Alaska,NORTH_AMERICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,,,,,APPROXIMATE_OR_UNKNOWN,,No centralized Russian-American Company government existed,N/A,Catherine II of Russia,,chartered_company,RUS,YES,MAJOR,"No historical ruler. Leave procedural only if tag must remain technically materialised, and classify the territory for future map/political reconstruction.",MAP_REWORK_DEFERRED,HIGH,HIGH,LOW,Russian-American Company | https://en.wikipedia.org/wiki/Russian-American_Company,Kodiak / Three Saints Bay | https://en.wikipedia.org/wiki/Three_Saints_Bay,,Russian-American Company dates from 1799; first permanent Russian settlement on Kodiak dates from 1784.
BRZ,State of Brazil / Portuguese America,Brazil,SOUTH_AMERICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,"Luís de Almeida Portugal, 2nd Marquis of Lavradio",Viceroy of Brazil,1729-06-27,46,EXACT_IF_SOURCED,Viceroy and Captain-General of Brazil,Portuguese colonial viceroyal administration,Appointed by Portuguese Crown,Joseph I of Portugal,Marquis of Lavradio,colony,POR,YES,MAJOR,Visible delegated executive; never sovereign monarch.,IMPLEMENT_DELEGATED_EXECUTIVE,HIGH,HIGH,MEDIUM,Marquis of Lavradio | https://en.wikipedia.org/wiki/Lu%C3%ADs_de_Almeida_Portugal%2C_2nd_Marquis_of_Lavradio,Viceroyalty of Brazil | https://en.wikipedia.org/wiki/Viceroyalty_of_Brazil,,
CUB,Captaincy General of Cuba,Cuba,CARIBBEAN,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,"Felipe de Fonsdeviela y Ondeano, Marqués de la Torre",Governor and Captain General of Cuba,1725,~50,EXACT_IF_SOURCED,Governor and Captain General,Spanish colonial captaincy general,Appointed by Spanish Crown,Charles III of Spain,Felipe de Fonsdeviela,colony,SPA,YES,MAJOR,Delegated colonial executive with appointed transfer.,IMPLEMENT_DELEGATED_EXECUTIVE,HIGH,HIGH,MEDIUM,Felipe de Fondesviela | https://en.wikipedia.org/wiki/Felipe_de_Fondesviela,Captaincy General of Cuba | https://en.wikipedia.org/wiki/Captaincy_General_of_Cuba,,
GR5,Captaincy General of Santo Domingo,Santo Domingo,CARIBBEAN,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,José Solano y Bote,Governor and Captain General of Santo Domingo,1726-03-06,49,EXACT_IF_SOURCED,Governor and Captain General,Spanish colonial captaincy general,Appointed by Spanish Crown,Charles III of Spain,José Solano y Bote,colony,SPA,YES,MAJOR,Delegated colonial executive.,IMPLEMENT_DELEGATED_EXECUTIVE,HIGH,HIGH,MEDIUM,José Solano y Bote | https://en.wikipedia.org/wiki/Jos%C3%A9_Solano_y_Bote,Captaincy General of Santo Domingo | https://en.wikipedia.org/wiki/Captaincy_General_of_Santo_Domingo,,
HAI,French colony of Saint-Domingue,Haiti,CARIBBEAN,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,"Victor-Thérèse Charpentier, comte d'Ennery",Governor-General of Saint-Domingue,1732-03-24,43,EXACT_IF_SOURCED,Governor-General,French slave-plantation colony under royal administration,Appointed by French Crown,Louis XVI of France,d'Ennery,colony,FRA,YES,MAJOR,"Delegated governor, not sovereign.",IMPLEMENT_DELEGATED_EXECUTIVE,HIGH,HIGH,MEDIUM,Victor-Thérèse Charpentier | https://en.wikipedia.org/wiki/Victor-Th%C3%A9r%C3%A8se_Charpentier,Saint-Domingue | https://en.wikipedia.org/wiki/Saint-Domingue,,
HBC,Hudson's Bay Company territories,Hudson's Bay Company,NORTH_AMERICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,Sir Bibye Lake Jr.,Governor of the Hudson's Bay Company,,,APPROXIMATE_OR_UNKNOWN,Company Governor in London,Chartered joint-stock company under royal charter,Governor/committee elected by company proprietors,George III of Great Britain,Sir Bibye Lake Jr. and the Company Committee,chartered_company,GBR,YES,MAJOR,"Company executive abstraction; title Governor of the Hudson's Bay Company, never King.",IMPLEMENT_DELEGATED_EXECUTIVE,HIGH,HIGH,MEDIUM,Hudson's Bay Company — Governors | https://www.hbcheritage.ca/history/people/governors,Hudson's Bay Company | https://en.wikipedia.org/wiki/Hudson%27s_Bay_Company,,
IQU,Huanta highlands under the Viceroyalty of Peru; no 1776 'Iquicha Republic',Iquicha,SOUTH_AMERICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_presidential_republic,,,,,APPROXIMATE_OR_UNKNOWN,,Spanish colonial district/local indigenous communities,N/A,Charles III of Spain,,colony,SPA,YES,MAJOR,No historical 1776 sovereign/executive for an Iquicha state. Do not back-project Antonio Huachaca.,MAP_REWORK_DEFERRED,HIGH,HIGH,LOW,Iquicha War 1825–1828 | https://en.wikipedia.org/wiki/Iquicha_War_of_1825%E2%80%931828,Iquicha | https://en.wikipedia.org/wiki/Iquicha,,"The political Iquicha entity belongs to the independence-era royalist movements, not 1776."
LOU,Spanish Louisiana,Louisiana,NORTH_AMERICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,Luis de Unzaga y Amézaga,Governor of Louisiana,1717,~58,EXACT_IF_SOURCED,Governor,Spanish colonial province,Appointed by Spanish Crown,Charles III of Spain,Luis de Unzaga,colony,SPA,YES,MAJOR,Delegated colonial governor.,IMPLEMENT_DELEGATED_EXECUTIVE,MEDIUM,HIGH,MEDIUM,Luis de Unzaga | https://en.wikipedia.org/wiki/Luis_de_Unzaga,Louisiana (New Spain) | https://en.wikipedia.org/wiki/Louisiana_(New_Spain),,"Some secondary sources differ on Unzaga's birth year; use approximate age, not an invented exact date."
MKT,Miskito Kingdom,Miskitia,CENTRAL_AMERICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,George I,King of the Miskito,,,APPROXIMATE_OR_UNKNOWN,King,Hereditary indigenous monarchy with British alliance/protectorate influence,Hereditary; George II succeeded later in 1776,,George I,protectorate,GBR,NO,MINOR,Historical monarch; preserve the unusual British relationship as diplomatic context rather than direct colonial governorship.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,MEDIUM,George I of the Miskito | https://en.wikipedia.org/wiki/George_I_of_the_Miskito,Miskito Kingdom | https://en.wikipedia.org/wiki/Miskito_Kingdom,,George II belongs later in 1776; at 1 January George I remains the safest assignment.
NBS,"Territory later called New Brunswick, then part of Nova Scotia",New Brunswick,NORTH_AMERICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,,,,,APPROXIMATE_OR_UNKNOWN,,Part of the British colony of Nova Scotia,N/A,George III of Great Britain,Francis Legge as governor of Nova Scotia,colony,GBR,YES,MAJOR,No separate New Brunswick ruler/tag in 1776.,MAP_REWORK_DEFERRED,HIGH,HIGH,LOW,New Brunswick history | https://en.wikipedia.org/wiki/History_of_New_Brunswick,New Brunswick (colony) | https://en.wikipedia.org/wiki/Colony_of_New_Brunswick,,New Brunswick was separated from Nova Scotia only in 1784.
NVS,Province of Nova Scotia,Nova Scotia,NORTH_AMERICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,Francis Legge,Governor of Nova Scotia,c.1719,~56,APPROXIMATE_OR_UNKNOWN,Governor,British royal colony,Appointed by British Crown,George III of Great Britain,Francis Legge,colony,GBR,YES,MAJOR,Delegated colonial governor.,IMPLEMENT_DELEGATED_EXECUTIVE,HIGH,HIGH,MEDIUM,Francis Legge | https://en.wikipedia.org/wiki/Francis_Legge,Nova Scotia | https://en.wikipedia.org/wiki/Nova_Scotia,,
ONT,Western part of the Province of Quebec / Indigenous territories; no Upper Canada,Ontario,NORTH_AMERICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,,,,,APPROXIMATE_OR_UNKNOWN,,Province of Quebec and indigenous polities; Upper Canada did not exist,N/A,George III of Great Britain,Guy Carleton for the Province of Quebec where applicable,colony,GBR,YES,MAJOR,Do not create a separate Ontario/Upper Canada governor in 1776.,MAP_REWORK_DEFERRED,HIGH,HIGH,LOW,Ontario Legislative Assembly — Constitutional Act 1791 | https://www.ola.org/en/visit-learn/about-parliament/history-heritage/timeline/constitutional-act-1791,Constitutional Act 1791 | https://en.wikipedia.org/wiki/Constitutional_Act_1791,,
PCO,Captaincy General of Puerto Rico,Puerto Rico,CARIBBEAN,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,Miguel de Muesas,Governor and Captain General of Puerto Rico,,,APPROXIMATE_OR_UNKNOWN,Governor and Captain General,Spanish colonial captaincy,Appointed by Spanish Crown,Charles III of Spain,Miguel de Muesas,colony,SPA,YES,MAJOR,Delegated colonial governor.,IMPLEMENT_DELEGATED_EXECUTIVE,MEDIUM,HIGH,MEDIUM,List of governors of Puerto Rico | https://en.wikipedia.org/wiki/List_of_governors_of_Puerto_Rico,Captaincy General of Puerto Rico | https://en.wikipedia.org/wiki/Captaincy_General_of_Puerto_Rico,,Muesas remained in office until June 1776; exact life dates are not sufficiently secure here.
QUE,Province of Quebec,Quebec,NORTH_AMERICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,Guy Carleton,Governor of Quebec,1724-09-03,51,EXACT_IF_SOURCED,Governor,British royal province under Quebec Act,Appointed by British Crown,George III of Great Britain,Guy Carleton,colony,GBR,YES,MAJOR,Delegated governor; no separate king.,IMPLEMENT_DELEGATED_EXECUTIVE,HIGH,HIGH,MEDIUM,NPS — Guy Carleton | https://www.nps.gov/people/guy-carleton.htm,Guy Carleton | https://en.wikipedia.org/wiki/Guy_Carleton%2C_1st_Baron_Dorchester,,
SC1,Viceroyalty of New Spain,Nueva España,CENTRAL_AMERICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,Antonio María de Bucareli y Ursúa,Viceroy of New Spain,1717-01-24,58,EXACT_IF_SOURCED,Viceroy,Spanish viceroyal monarchy/colonial administration,Appointed by Spanish Crown,Charles III of Spain,Bucareli,colony,SPA,YES,MAJOR,Delegated viceroy.,IMPLEMENT_DELEGATED_EXECUTIVE,HIGH,HIGH,MEDIUM,Antonio María de Bucareli y Ursúa | https://en.wikipedia.org/wiki/Antonio_Mar%C3%ADa_de_Bucareli_y_Urs%C3%BAa,Viceroyalty of New Spain | https://en.wikipedia.org/wiki/Viceroyalty_of_New_Spain,,
SC2,Viceroyalty of New Granada,Nueva Granada,SOUTH_AMERICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,Manuel de Guirior,Viceroy of New Granada,1708-03-23,67,EXACT_IF_SOURCED,Viceroy,Spanish viceroyal administration,Appointed by Spanish Crown,Charles III of Spain,Manuel de Guirior,colony,SPA,YES,MAJOR,Delegated viceroy.,IMPLEMENT_DELEGATED_EXECUTIVE,HIGH,HIGH,MEDIUM,Manuel de Guirior | https://en.wikipedia.org/wiki/Manuel_de_Guirior,Viceroyalty of New Granada | https://en.wikipedia.org/wiki/Viceroyalty_of_New_Granada,,Guirior remained viceroy of New Granada until 1776 before moving to Peru.
SC3,Viceroyalty of Peru,Perú,SOUTH_AMERICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,Manuel de Amat y Junyent,Viceroy of Peru,1707-03,~68,EXACT_IF_SOURCED,Viceroy,Spanish viceroyal administration,Appointed by Spanish Crown,Charles III of Spain,Manuel de Amat,colony,SPA,YES,MAJOR,Delegated viceroy.,IMPLEMENT_DELEGATED_EXECUTIVE,MEDIUM,HIGH,MEDIUM,Manuel de Amat y Junyent | https://en.wikipedia.org/wiki/Manuel_de_Amat_y_Junyent,Viceroyalty of Peru | https://en.wikipedia.org/wiki/Viceroyalty_of_Peru,,Secondary sources disagree on exact birth year/date; keep age approximate.
SC4,Governorate of Buenos Aires within the Viceroyalty of Peru on 1776-01-01,Río de la Plata,SOUTH_AMERICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,Juan José de Vértiz y Salcedo,Governor of Buenos Aires,1719,~56,EXACT_IF_SOURCED,Governor of Buenos Aires,Spanish colonial governorate; Río de la Plata viceroyalty not yet operational,Appointed by Spanish Crown,Charles III of Spain,Juan José de Vértiz y Salcedo,colony,SPA,YES,MAJOR,"If tag remains, use only as temporary governorate abstraction and mark the later viceroyal structure for map/political rework.",MAP_REWORK_DEFERRED_WITH_TEMPORARY_EXECUTIVE,HIGH,HIGH,LOW,Juan José de Vértiz y Salcedo | https://en.wikipedia.org/wiki/Juan_Jos%C3%A9_de_V%C3%A9rtiz_y_Salcedo,Viceroyalty of the Río de la Plata | https://en.wikipedia.org/wiki/Viceroyalty_of_the_R%C3%ADo_de_la_Plata,,The viceroyalty was created during 1776 and took practical form in 1777; do not present it as an established viceroyalty on 1 January.
BUK,Emirate of Bukhara,Bukhara,CENTRAL_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Daniyal Biy Ataliq,Ataliq / de facto ruler,1720,~55,YEAR_ONLY_APPROX_AGE,Manghit ataliq and effective ruler of Bukhara,Manghit de facto rule under a nominal Chinggisid khan,Dynastic Manghit succession in effective office; Chinggisid puppet khan retained,Abu'l-Ghazi Khan,Daniyal Biy Ataliq,INDEPENDENT,,NO,NO,Represent Daniyal as effective ruler; preserve Abu'l-Ghazi as nominal sovereign in notes rather than duplicating a monarch.,IMPLEMENT_EFFECTIVE_HISTORICAL_RULER,HIGH,HIGH,HIGH,Daniyal Biy | https://en.wikipedia.org/wiki/Daniyal_Biy,Manghit dynasty | https://en.wikipedia.org/wiki/Manghit_dynasty,,Daniyal held effective power 1758–1785 while Abu'l-Ghazi Khan supplied Chinggisid legitimacy.
KHI,Khanate of Khiva,Khiva,CENTRAL_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Muhammad Amin Inaq,Inaq / de facto ruler,,,UNKNOWN_NO_INVENTION,Inaq and effective ruler of Khiva,Qongrat de facto rule behind a nominal khan,Qongrat household succession in effective office; puppet khan system,Abu'l Fayz Khan,Muhammad Amin Inaq,INDEPENDENT,,NO,NO,Use Muhammad Amin Inaq as the effective visible executive; do not present the puppet khan as the sole effective sovereign.,IMPLEMENT_EFFECTIVE_HISTORICAL_RULER,HIGH,HIGH,HIGH,Muhammad Amin Inaq | https://en.wikipedia.org/wiki/Muhammad_Amin_Inaq,Khanate of Khiva | https://en.wikipedia.org/wiki/Khanate_of_Khiva,,The khanate's late-18th-century constitution separated nominal khanship from effective Qongrat inaq power.
KOK,Khanate of Kokand,Kokand,CENTRAL_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Narbuta Biy,Biy / ruler,,,UNKNOWN_NO_INVENTION,Ruler of Kokand,Central Asian dynastic principality/khanate under Ming house,"Hereditary-dynastic succession, with chronology varying slightly by source",,Narbuta Biy,INDEPENDENT,,NO,NO,Use Narbuta Biy; avoid inventing a birth date and note the small disagreement over accession chronology.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Narbuta Beg | https://en.wikipedia.org/wiki/Narbuta_Beg,Khanate of Kokand | https://en.wikipedia.org/wiki/Khanate_of_Kokand,,Sources place Narbuta's accession around 1770–1774; all place him in power on 1776-01-01.
