"historical_identity","normalized_message","country_if_known","country_tag_if_known","law_or_variant_if_known","law_script_key","fallback_law","script_path_if_known","line_if_known","source_mode","historical_occurrences","generation_seen","source_log","current_reproduced","current_occurrences","root_cause_group","fork_attribution","classification","vanilla_1_13_behavior","notes"
"CL-045","Country {COUNTRY} is not permitted to retain law Serfdom, fix this or consider Manorialism instead","GAL","GAL","Serfdom","law_serfdom","Manorialism","common/history/countries/gal - austrian poland.txt","21","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G02_VARIANT_VISIBILITY","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Vanilla 1.13.9 enforces parent/variant visibility by country, subject, culture, or geography.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-046","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","GR3","GR3","Censorship","law_censorship","Right of Assembly","common/history/countries/gr3 - sicily.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-047","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","GR5","GR5","Censorship","law_censorship","Right of Assembly","common/history/countries/gr5 - spanish haiti.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-048","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","GR5","GR5","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/gr5 - spanish haiti.txt","19","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-049","Country {COUNTRY} is not permitted to retain law Mercantilism, fix this or consider Isolationism instead","GR7","GR7","Mercantilism","law_mercantilism","Isolationism","","","IMPLICIT_DEFAULT_NO_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-050","Country {COUNTRY} is not permitted to retain law Outlawed Dissent, fix this or consider Right of Assembly instead","GR7","GR7","Outlawed Dissent","law_outlawed_dissent","Right of Assembly","","","IMPLICIT_DEFAULT_NO_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-051","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","HAM","HAM","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/ham - hamburg.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-052","Country {COUNTRY} is not permitted to retain law Public Schools, fix this or consider No Schools instead","HAW","HAW","Public Schools","law_public_schools","No Schools","common/history/countries/haw - hawaii.txt","14","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-053","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","HEK","HEK","Censorship","law_censorship","Right of Assembly","common/history/countries/hek - hesse-kassel.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-054","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","HEK","HEK","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/hek - hesse-kassel.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-055","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","HES","HES","Censorship","law_censorship","Right of Assembly","common/history/countries/hes - hesse.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-056","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","HES","HES","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/hes - hesse.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-057","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","HOH","HOH","Censorship","law_censorship","Right of Assembly","common/history/countries/hoh - hohenzollern.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-058","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","HOH","HOH","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/hoh - hohenzollern.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-059","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","HOL","HOL","Censorship","law_censorship","Right of Assembly","common/history/countries/hol - holstein.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-060","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","HOL","HOL","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/hol - holstein.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-061","Country {COUNTRY} Bay Company is not permitted to retain law Religious Schools, fix this or consider No Schools instead","Hudson’s Bay Company","HBC","Religious Schools","law_religious_schools","No Schools","common/history/countries/hbc - hubson bay company.txt","20","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-062","Country {COUNTRY} Bay Company is not permitted to retain law Total Separation, fix this or consider State Religion instead","Hudson’s Bay Company","HBC","Total Separation","law_total_separation","State Religion","common/history/countries/hbc - hudson bay company.txt","11","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-063","Country {COUNTRY} is not permitted to retain law Mercantilism, fix this or consider Isolationism instead","INDOP","INDOP","Mercantilism","law_mercantilism","Isolationism","","","IMPLICIT_DEFAULT_NO_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-064","Country {COUNTRY} is not permitted to retain law Outlawed Dissent, fix this or consider Right of Assembly instead","INDOP","INDOP","Outlawed Dissent","law_outlawed_dissent","Right of Assembly","","","IMPLICIT_DEFAULT_NO_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-065","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","LIP","LIP","Censorship","law_censorship","Right of Assembly","common/history/countries/lip - lippe.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-066","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","LIP","LIP","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/lip - lippe.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-067","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","LUB","LUB","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/lub - lubeck.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-068","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","LUC","LUC","Censorship","law_censorship","Right of Assembly","common/history/countries/luc - lucca.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-069","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","LUC","LUC","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/luc - lucca.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-070","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","LUX","LUX","Censorship","law_censorship","Right of Assembly","common/history/countries/lux - luxemburg.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-071","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","LUX","LUX","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/lux - luxemburg.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-072","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","MEC","MEC","Censorship","law_censorship","Right of Assembly","common/history/countries/mec - mecklenburg.txt","15","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-073","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","MEI","MEI","Censorship","law_censorship","Right of Assembly","common/history/countries/mei - saxe-meiningen.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-074","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","MEI","MEI","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/mei - saxe-meiningen.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-075","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","MOD","MOD","Censorship","law_censorship","Right of Assembly","common/history/countries/mod - modena.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-076","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","MOD","MOD","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/mod - modena.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-077","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","MON","MON","Censorship","law_censorship","Right of Assembly","common/history/countries/mon - montenegro.txt","12","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-078","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","MST","MST","Censorship","law_censorship","Right of Assembly","common/history/countries/mst - mecklenburg-strelitz.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-079","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","MST","MST","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/mst - mecklenburg-strelitz.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-080","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","NAS","NAS","Censorship","law_censorship","Right of Assembly","common/history/countries/nas - nassau.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-081","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","NAS","NAS","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/nas - nassau.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-082","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","OLD","OLD","Censorship","law_censorship","Right of Assembly","common/history/countries/old - oldenburg.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-083","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","OLD","OLD","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/old - oldenburg.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-084","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","PAR","PAR","Censorship","law_censorship","Right of Assembly","common/history/countries/par - parma.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-085","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","PAR","PAR","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/par - parma.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-086","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","PCO","PCO","Censorship","law_censorship","Right of Assembly","common/history/countries/pco - puerto rico.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-087","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","PCO","PCO","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/pco - puerto rico.txt","14","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-088","Country {COUNTRY} Company is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","Russian-American Company","ALK","Censorship","law_censorship","Right of Assembly","common/history/countries/alk - alyaska.txt","15","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
