vanilla_tech_id,vanilla_name,category,matching_branch,matching_v1_node,overlap_class,primary_action,recommended_target_era,confidence,notes
psychoanalysis,Psychoanalysis,Society,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
zeppelins,Zeppelins,Society,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
analytical_philosophy,Analytical Philosophy,Society,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
antibiotics,Antibiotics,Society,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
behaviorism,Behaviorism,Society,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
macroeconomics,Macroeconomics,Society,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
mass_propaganda,Mass Propaganda,Society,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
mass_surveillance,Mass Surveillance,Society,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
modern_financial_instruments,Modern Financial Instruments,Society,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
paved_roads,Paved Roads,Society,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
