tag,country_name,land_units_3b,effective_barracks_before,effective_barracks_after,land_capacity_shortfall_after,naval_crew_3b,naval_admin_before,naval_admin_after,naval_capacity_after,naval_shortfall_after,structural_defer,structural_defer_shortfall_preserved,budget_risk,confidence,notes
TUR,Ottoman Empire,65,65,65,0,5400,9,6,6000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
TUS,Tuscany,7,7,7,0,500,1,1,1000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
UBD,United Baltic Provinces,6,5,5,1,0,0,0,0,0,YES,YES,MEDIUM,HIGH,One unit recruits from PLC-owned Courland; structural land shortfall preserved.
UNT,United Tribes,0,0,0,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
USA,America,20,20,20,0,2500,0,3,3000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
UZH,Uly Zhuz,0,0,0,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
VEN,Venice,11,11,11,0,4100,5,5,5000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
WAD,Wadai,4,14,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
WAL,Wallachia,4,4,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
WBL,Griqualand,1,2,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
WEI,Saxe-Weimar-Eisenach,1,4,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
WLD,Waldeck,1,1,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
WSG,Warsangali,1,3,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
WTU,Witu,0,1,1,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
WUR,Württemberg,13,13,13,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
YOG,Yogyakarta,1,3,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
ZAI,Azal,2,7,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
