tag,formation_type,formation_name_key,english_value_after,french_value_after,generic_after,native_language_policy,duplicate_localization_after,file
DUR,army,cleanup2d3e_r1_dur_land_2,Lashkar-e Qabayeli-ye Durrani,Lashkar-e Qabayeli-ye Durrani,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,04_military_formations_middle_east.txt
ARB,army,cleanup2d3e_r1_arb_land_1,Jaysh Arabistan,Jaysh Arabistan,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,04_military_formations_middle_east.txt
HDJ,army,cleanup2d3b_hdj_land_1,Jaysh al-Ḥijāz,Jaysh al-Ḥijāz,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,04_military_formations_middle_east.txt
ZAI,army,cleanup2d3b_zai_land_1,Jaysh Azāl,Jaysh Azāl,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,04_military_formations_middle_east.txt
PAN,army,FaujiKhas,FaujiKhas,FaujiKhas,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
PAN,army,FaujiAin,FaujiAin,FaujiAin,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
BIC,army,cleanup2d3b_bic_land_2,Madras Army,Madras Army,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
BIC,army,cleanup2d3b_bic_land_3,Bombay Army,Bombay Army,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
BIC,army,Bengal_Army,Bengal_Army,Bengal_Army,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
HYD,army,sarf_e_khas,sarf_e_khas,sarf_e_khas,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
AWA,army,OudhRoyalArmy,OudhRoyalArmy,OudhRoyalArmy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
MARATH,army,cleanup2d3b_marath_land_2,Deccan Mobile Force,Deccan Mobile Force,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
MARATH,army,cleanup2d3b_marath_land_1,Confederal Core Army,Confederal Core Army,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
MARATH,fleet,Konkan_Flotilla,Konkan_Flotilla,Konkan_Flotilla,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
GWA,army,GwaliorArmy,GwaliorArmy,GwaliorArmy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
NAG,army,NagpurArmy,NagpurArmy,NagpurArmy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
MYS,army,cleanup2d3b_mys_land_2,Mysore Garrison and Artillery Command,Mysore Garrison and Artillery Command,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
MYS,army,cleanup2d3b_mys_land_1,Mysore Field Army,Mysore Field Army,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
COO,army,CoochBeharArmy,CoochBeharArmy,CoochBeharArmy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
GAR,army,GarhwalArmy,GarhwalArmy,GarhwalArmy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
SAT,army,SataraArmy,SataraArmy,SataraArmy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
KHP,army,KolhapurArmy,KolhapurArmy,KolhapurArmy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
KNO,army,KurnoolArmy,KurnoolArmy,KurnoolArmy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
BHV,army,BhavnagarArmy,BhavnagarArmy,BhavnagarArmy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
PUD,army,PudukottaiArmy,PudukottaiArmy,PudukottaiArmy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
JEY,army,JeyporeArmy,JeyporeArmy,JeyporeArmy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
COC,army,CochinArmy,CochinArmy,CochinArmy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
TRA,army,TravancoreArmy,TravancoreArmy,TravancoreArmy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
TRA,fleet,TravancoreNavy,TravancoreNavy,TravancoreNavy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
SIN,army,SindhArmy,SindhArmy,SindhArmy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
MUG,army,MughalArmy,MughalArmy,MughalArmy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,05_military_formations_india.txt
CHI,army,cleanup2d3b_chi_land_1,Yellow Banner Command,Yellow Banner Command,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
CHI,army,cleanup2d3b_chi_land_2,White Banner Command,White Banner Command,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
CHI,army,cleanup2d3b_chi_land_3,Red Banner Command,Red Banner Command,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
CHI,army,cleanup2d3b_chi_land_4,Blue Banner Command,Blue Banner Command,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
CHI,army,cleanup2d3b_chi_land_5,Zhili-Shaanxi Green Standard,Zhili-Shaanxi Green Standard,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
CHI,army,cleanup2d3b_chi_land_6,Liangjiang-MinZhe Green Standard,Liangjiang-MinZhe Green Standard,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
CHI,army,cleanup2d3b_chi_land_7,Lianghu-Liangguang Green Standard,Lianghu-Liangguang Green Standard,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
CHI,army,cleanup2d3b_chi_land_8,Sichuan-Yungui Green Standard,Sichuan-Yungui Green Standard,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
CHI,fleet,cleanup2d3b_chi_naval_1,Bohai Coastal Fleet,Bohai Coastal Fleet,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
CHI,fleet,cleanup2d3b_chi_naval_2,Guangdong Coastal Fleet,Guangdong Coastal Fleet,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
DEI,army,Koninklijk_Nederlandsch_Indisch_Leger,Koninklijk_Nederlandsch_Indisch_Leger,Koninklijk_Nederlandsch_Indisch_Leger,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
DEI,fleet,Koloniale_Marine,Koloniale_Marine,Koloniale_Marine,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
BUR,army,tatmadaw,tatmadaw,tatmadaw,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
PHI,army,ejercito_de_filipinas,ejercito_de_filipinas,ejercito_de_filipinas,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
JAP,army,Edo_Guard_Army,Edo_Guard_Army,Edo_Guard_Army,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
JAP,army,Kinai_Guard_Army,Kinai_Guard_Army,Kinai_Guard_Army,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
ACE,army,cleanup2d3b_ace_land_1,Pasukan Kesultanan Aceh,Pasukan Kesultanan Aceh,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
BAL,army,cleanup2d3b_bal_land_1,Bala Tentara Bali,Bala Tentara Bali,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
BLG,army,cleanup2d3b_blg_land_1,Pasukan Kesultanan Bulungan,Pasukan Kesultanan Bulungan,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
BNJ,army,cleanup2d3b_bnj_land_1,Pasukan Kesultanan Banjar,Pasukan Kesultanan Banjar,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
BRU,army,cleanup2d3b_bru_land_1,Pasukan Kesultanan Brunei,Pasukan Kesultanan Brunei,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
BTN,army,cleanup2d3b_btn_land_1,Pasukan Kesultanan Buton,Pasukan Kesultanan Buton,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
CAM,army,cleanup2d3b_cam_land_1,Kâng Yothâ Khemara,Kâng Yothâ Khemara,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
CHP,army,cleanup2d3b_chp_land_1,Kong Thap Champasak,Kong Thap Champasak,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
CMI,army,cleanup2d3b_cmi_land_1,Kong Thap Lanna,Kong Thap Lanna,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
JMB,army,cleanup2d3b_jmb_land_1,Pasukan Kesultanan Jambi,Pasukan Kesultanan Jambi,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
JOH,army,cleanup2d3b_joh_land_1,Pasukan Kesultanan Johor,Pasukan Kesultanan Johor,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
KTI,army,cleanup2d3b_kti_land_1,Pasukan Kesultanan Kutai,Pasukan Kesultanan Kutai,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
LAN,army,cleanup2d3b_lan_land_1,Lanfang Gongsi Tuanlian,Lanfang Gongsi Tuanlian,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
LUA,army,cleanup2d3b_lua_land_1,Kong Thap Luang Prabang,Kong Thap Luang Prabang,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
MGD,army,cleanup2d3b_mgd_land_1,Hukbong Maguindanao,Hukbong Maguindanao,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
PON,army,cleanup2d3b_pon_land_1,Pasukan Kesultanan Pontianak,Pasukan Kesultanan Pontianak,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
PRK,army,cleanup2d3b_prk_land_1,Pasukan Kesultanan Perak,Pasukan Kesultanan Perak,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
SAK,army,cleanup2d3b_sak_land_1,Pasukan Kesultanan Siak,Pasukan Kesultanan Siak,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
SEL,army,cleanup2d3b_sel_land_1,Pasukan Kesultanan Selangor,Pasukan Kesultanan Selangor,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
SIA,army,cleanup2d3b_sia_land_1,Kong Thap Siam,Kong Thap Siam,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
SMB,army,cleanup2d3b_smb_land_1,Pasukan Kesultanan Sambas,Pasukan Kesultanan Sambas,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
SRK,army,cleanup2d3b_srk_land_1,Prajurit Kasunanan Surakarta,Prajurit Kasunanan Surakarta,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
STG,army,cleanup2d3b_stg_land_1,Pasukan Kerajaan Sintang,Pasukan Kerajaan Sintang,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
SUL,army,cleanup2d3b_sul_land_1,Hukbong Sultanato ng Sulu,Hukbong Sultanato ng Sulu,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
TID,army,cleanup2d3b_tid_land_1,Pasukan Kesultanan Tidore,Pasukan Kesultanan Tidore,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
YOG,army,cleanup2d3b_yog_land_1,Prajurit Kasultanan Yogyakarta,Prajurit Kasultanan Yogyakarta,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,06_military_formations_asia.txt
AGC,army,army_of_angoche,army_of_angoche,army_of_angoche,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
ANK,army,cleanup2d3b_ank_land_1,Eihe rya Ankole,Eihe rya Ankole,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
ASH,army,cleanup2d3b_ash_land_1,Asante Asafo,Asante Asafo,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
BEN,army,cleanup2d3b_ben_land_1,Royal Forces of Benin,Royal Forces of Benin,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
BGI,army,cleanup2d3b_bgi_land_1,Jaysh Bāqirmī,Jaysh Bāqirmī,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
BNY,army,cleanup2d3b_bny_land_1,Eihe rya Bunyoro,Eihe rya Bunyoro,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
BOR,army,cleanup2d3b_bor_land_1,Jaysh Bornu,Jaysh Bornu,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
BRD,army,cleanup2d3b_brd_land_1,Ingabo z'i Burundi,Ingabo z'i Burundi,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
BRG,army,cleanup2d3b_brg_land_1,Forces of Borgu,Forces of Borgu,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
BST,army,cleanup2d3b_bst_land_1,Sesotho Royal Host,Sesotho Royal Host,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
BUG,army,cleanup2d3b_bug_land_1,Eggye lya Buganda,Eggye lya Buganda,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
DAH,army,cleanup2d3b_dah_land_1,Agaja Forces of Dahomey,Agaja Forces of Dahomey,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
ETH,army,cleanup2d3b_eth_land_1,Ye-Ityopya Serawit,Ye-Ityopya Serawit,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
FTJ,army,cleanup2d3b_ftj_land_1,Futa Jallon Almamy's Host,Futa Jallon Almamy's Host,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
FTR,army,cleanup2d3b_ftr_land_1,Futa Toro Almamy's Host,Futa Toro Almamy's Host,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
GLD,army,cleanup2d3b_gld_land_1,Ciidanka Geledi,Ciidanka Geledi,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
HAU,army,cleanup2d3b_hau_land_1,Rundunar Gobir,Rundunar Gobir,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
ISQ,army,cleanup2d3b_isq_land_1,Ciidanka Isaaq,Ciidanka Isaaq,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
KON,army,cleanup2d3b_kon_land_1,Kongo Royal Host,Kongo Royal Host,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
KRG,army,cleanup2d3b_krg_land_1,Jeshi la Karagwe,Jeshi la Karagwe,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
KRT,army,cleanup2d3b_krt_land_1,Kaarta Ton,Kaarta Ton,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
MAD,army,cleanup2d3b_mad_land_1,Tafika Merina,Tafika Merina,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
MBS,army,cleanup2d3b_mbs_land_1,Jeshi la Mombasa,Jeshi la Mombasa,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
MJT,army,cleanup2d3b_mjt_land_1,Ciidanka Majeerteen,Ciidanka Majeerteen,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
MSN,army,cleanup2d3b_msn_land_1,Massina Dina Host,Massina Dina Host,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
OYO,army,cleanup2d3b_oyo_land_1,Ọ̀yọ́ Eso,Ọ̀yọ́ Eso,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
RWD,army,cleanup2d3b_rwd_land_1,Ingabo z'u Rwanda,Ingabo z'u Rwanda,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
SGU,army,cleanup2d3b_sgu_land_1,Segu Ton,Segu Ton,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
SWZ,army,cleanup2d3b_swz_land_1,Umbutfo weSwatini,Umbutfo weSwatini,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
TGI,army,cleanup2d3b_tgi_land_1,Tungi Royal Host,Tungi Royal Host,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
WAD,army,cleanup2d3b_wad_land_1,Jaysh Waddāy,Jaysh Waddāy,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
WBL,army,cleanup2d3b_wbl_land_1,Griqua Commando,Griqua Commando,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
WSG,army,cleanup2d3b_wsg_land_1,Ciidanka Warsangeli,Ciidanka Warsangeli,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,07_military_formations_subsaharan_africa.txt
