record_id,tag,formation,hq_region,current_2d4_general,regional_source,regional_decision,regional_candidate,global_override,final_decision,final_historical_character,reuse_existing_character,birth_date_source_value,birth_date_precision,birth_place_source_value,mapped_v3_origin_state,culture_final,religion_final,dna_action,historical_profile_action,notes
GEN1776-066,SPA,cleanup2d3b_spa_land_1,region_southern_europe,Alejandro O'Reilly,2D5B,REPLACE_EXISTING_HISTORICAL,Félix O'Neille y O'Neille,,IMPLEMENT_HISTORICAL,Félix O'Neille y O'Neille,NO,1720-11-01,DAY,"Creggan, County Armagh, Kingdom of Ireland",STATE_ULSTER,irish,catholic,DNA_PENDING_FUTURE_PORTRAIT_PHASE,REPLACE_2D4_HISTORICAL_SELECTION_AND_BUILD_PROFILE,
GEN1776-067,SPA,cleanup2d3b_spa_land_3,region_central_america,DEFAULT_TEMPLATE_PROCEDURAL,2D5A+2D5B,USE_HISTORICAL_GENERAL | IMPLEMENT_HISTORICAL,"José Francisco Antonio Solano y Bote, Marqués del Socorro | Felipe de Fonsdeviela y Ondeano, II marqués de la Torre",2D5A Caribbean authority: Solano; Fonsdeviela reserved for CUB,IMPLEMENT_HISTORICAL,José Francisco Antonio Solano y Bote,NO,1726-03-06,DAY,"Zorita, Cáceres, Extremadura",STATE_EXTREMADURA,spanish,catholic (MEDIUM; historical recommendation),DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-068,UBD,cleanup2d3e_r1_ubd_land_1,region_eastern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5M,REUSE_EXISTING_HISTORICAL_CHARACTER_AS_GENERAL,George Browne,,REUSE_EXISTING_HISTORICAL_CHARACTER,George Browne,YES,1698-06-15,DAY,"Moyne / Castle Mahan, County Limerick",STATE_MUNSTER,irish,catholic,DNA_PENDING_FUTURE_PORTRAIT_PHASE,REUSE_EXISTING_CHARACTER_ADD_GENERAL_ROLE_AND_ATTACH,2D5M: reuse George Browne; preserve 1698.6.15 Old Style and ruler political profile under DUAL_ROLE_CHARACTER_LEVEL_PROFILE_CONSTRAINT.
GEN1776-069,BHU,cleanup2d3b_bhu_land_1,region_himalayas,DEFAULT_TEMPLATE_PROCEDURAL,2D5M,KEEP_PROCEDURAL_PENDING_STRUCTURE_REWORK,NONE — no defensible named individual at 1776-01-01,,KEEP_EXISTING_PROCEDURAL,,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRESOLVED,UNRESOLVED,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,2D5M researched closure: KEEP_PROCEDURAL_PENDING_STRUCTURE_REWORK.
GEN1776-070,BUK,cleanup2d3b_buk_land_1,region_central_asia,DEFAULT_TEMPLATE_PROCEDURAL,2D5I,REUSE_EXISTING_RULER_AS_HISTORICAL_GENERAL,Daniyal Biy,,REUSE_EXISTING_HISTORICAL_CHARACTER,Daniyal Biy,YES,UNKNOWN,UNKNOWN—no reliable birth date found in consulted academic/national encyclopedic sources,UNKNOWN,UNRESOLVED,Uzbek (Manghit),Sunni Islam,DNA_PENDING_FUTURE_PORTRAIT_PHASE,REUSE_EXISTING_CHARACTER_ADD_GENERAL_ROLE_AND_ATTACH,
GEN1776-071,COB,cleanup2d3b_cob_land_1,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-072,GAL,cleanup2d3b_gal_land_1,region_eastern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C+2D5D,KEEP_PROCEDURAL | DEFER_TO_CLEANUP-2D-5C,DEFER_TO_CLEANUP-2D-5C,KEEP_PROCEDURAL; apply 2D5C after 2D5D deferral,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-073,HOH,cleanup2d3b_hoh_land_1,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-074,KHI,cleanup2d3b_khi_land_1,region_central_asia,DEFAULT_TEMPLATE_PROCEDURAL,2D5I,REUSE_EXISTING_RULER_AS_HISTORICAL_GENERAL,Muhammad Amin Inaq,,REUSE_EXISTING_HISTORICAL_CHARACTER,Muhammad Amin Inaq,YES,UNKNOWN,"UNKNOWN—no reliable birth date found; the 1762/1763 dates in some sources mark rise/office chronology, not birth",UNKNOWN,UNRESOLVED,Uzbek (Qongrat/Qungrat),Sunni Islam,DNA_PENDING_FUTURE_PORTRAIT_PHASE,REUSE_EXISTING_CHARACTER_ADD_GENERAL_ROLE_AND_ATTACH,
GEN1776-075,KOK,cleanup2d3b_kok_land_1,region_central_asia,DEFAULT_TEMPLATE_PROCEDURAL,2D5I,KEEP_PROCEDURAL,Narbuta Biy,,KEEP_EXISTING_PROCEDURAL,,NO,UNKNOWN,UNKNOWN—conflicting unsourced/secondary birth years were rejected,UNKNOWN,UNRESOLVED,Uzbek (Ming),Sunni Islam,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-076,KOR,cleanup2d3b_kor_land_1,region_northeast_asia,DEFAULT_TEMPLATE_PROCEDURAL,2D5M,IMPLEMENT_NAMED_HISTORICAL_GENERAL,Gu Seon-bok,,IMPLEMENT_HISTORICAL,Gu Seon-bok,NO,1718,YEAR,UNKNOWN,UNKNOWN,korean,UNRESOLVED,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,2D5M: implement Gu Seon-bok; YEAR birth encoded as age 57 without invented month/day.
GEN1776-077,KZH,cleanup2d3b_kzh_land_1,region_central_asia,DEFAULT_TEMPLATE_PROCEDURAL,2D5I,COLLECTIVE_STRUCTURE,Nuraly Khan,,KEEP_EXISTING_PROCEDURAL,,NO,1710/1711,"DISPUTED_YEAR—current e-history biography gives 1710/1711; some e-history chronology material gives 1704, so no exact day/month should be encoded",UNKNOWN,UNRESOLVED,Kazakh,Sunni Islam,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-078,MEI,cleanup2d3b_mei_land_1,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-079,MST,cleanup2d3b_mst_land_1,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-080,NEP,cleanup2d3b_nep_land_1,region_himalayas,DEFAULT_TEMPLATE_PROCEDURAL,2D5M,IMPLEMENT_NAMED_HISTORICAL_GENERAL,Abhiman Singh Basnyat,,IMPLEMENT_HISTORICAL,Abhiman Singh Basnyat,NO,1744,YEAR,Gorkha,STATE_HIMALAYAS,nepali,UNRESOLVED,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,2D5M: implement Abhiman Singh Basnyat; YEAR birth encoded as age 31 without invented month/day.
GEN1776-081,OZH,cleanup2d3b_ozh_land_1,region_central_asia,DEFAULT_TEMPLATE_PROCEDURAL,2D5I,REUSE_EXISTING_RULER_AS_HISTORICAL_GENERAL,Ablai Khan,,REUSE_EXISTING_HISTORICAL_CHARACTER,Ablai Khan,YES,1711 (alternative 1713),"SOURCE_CONFLICT—Institute gives 1711, other information 1713; broader institute heading 1711/12",Turkestan (alternative Tashkent),UNRESOLVED—birthplace itself is disputed and a confident mod-state mapping was not established,Kazakh,Islam (Sunni contextual),DNA_PENDING_FUTURE_PORTRAIT_PHASE,REUSE_EXISTING_CHARACTER_ADD_GENERAL_ROLE_AND_ATTACH,
GEN1776-082,SCW,cleanup2d3b_scw_land_1,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-083,SIK,cleanup2d3b_sik_land_1,region_himalayas,DEFAULT_TEMPLATE_PROCEDURAL,2D5M,KEEP_PROCEDURAL,NONE — no defensible named individual at 1776-01-01,,KEEP_EXISTING_PROCEDURAL,,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRESOLVED,UNRESOLVED,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,2D5M researched closure: KEEP_PROCEDURAL; no defensible individual mapping.
GEN1776-084,SWI,cleanup2d3b_swi_land_1,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-085,TIB,cleanup2d3b_tib_land_1,region_himalayas,DEFAULT_TEMPLATE_PROCEDURAL,2D5M,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,NONE — no defensible named individual at 1776-01-01,,KEEP_EXISTING_PROCEDURAL,,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRESOLVED,UNRESOLVED,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,2D5M researched closure: PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE; collective high command.
GEN1776-086,WEI,cleanup2d3b_wei_land_1,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-087,USA,cleanup2d3b_usa_land_1,region_atlantic_coast,George Washington,2D5A,USE_HISTORICAL_GENERAL,George Washington,,IMPLEMENT_HISTORICAL,George Washington,NO,1732-02-22,DAY,"Pope's Creek, Westmoreland County, Colony of Virginia",STATE_VIRGINIA,dixie (Victoria 3 abstraction for an Anglo-Virginian born in colonial Virginia; not a historical self-label),protestant (historically Anglican),REUSE dna_washington_traitor,REBUILD_2D4_HISTORICAL_PROFILE,
GEN1776-088,HAI,ArmeeIndigene,region_central_america,DEFAULT_TEMPLATE_PROCEDURAL,2D5A,USE_HISTORICAL_GENERAL,"Victor-Thérèse Charpentier d'Ennery, comte d'Ennery",,REUSE_EXISTING_HISTORICAL_CHARACTER,Victor-Thérèse Charpentier d'Ennery,YES,1732-03-24,DAY,Paris,STATE_ILE_DE_FRANCE,french,catholic (MEDIUM; French royal noble/officer recommendation),DNA_PENDING_FUTURE_PORTRAIT_PHASE,REUSE_EXISTING_CHARACTER_ADD_GENERAL_ROLE_AND_ATTACH,
GEN1776-089,CUB,MiliciasdeCuba,region_central_america,DEFAULT_TEMPLATE_PROCEDURAL,2D5A,USE_HISTORICAL_GENERAL,"Felipe de Fonsdeviela y Ondeano, II Marqués de la Torre",,REUSE_EXISTING_HISTORICAL_CHARACTER,Felipe de Fonsdeviela y Ondeano,YES,1725,YEAR,Zaragoza,STATE_ARAGON,spanish,catholic (HIGH-MEDIUM; Knight of the Order of Santiago and Spanish royal service),DNA_PENDING_FUTURE_PORTRAIT_PHASE,REUSE_EXISTING_CHARACTER_ADD_GENERAL_ROLE_AND_ATTACH,
GEN1776-090,PCO,MiliciasDiciplinadas,region_central_america,DEFAULT_TEMPLATE_PROCEDURAL,2D5A,USE_HISTORICAL_GENERAL,Miguel de Muesas,,REUSE_EXISTING_HISTORICAL_CHARACTER,Miguel de Muesas,YES,ca. 1715 (unconfirmed),UNKNOWN,"Trujillo, Extremadura",STATE_EXTREMADURA,spanish,catholic (DIRECTLY ATTESTED in his 1782 testament),DNA_PENDING_FUTURE_PORTRAIT_PHASE,REUSE_EXISTING_CHARACTER_ADD_GENERAL_ROLE_AND_ATTACH,
GEN1776-091,HBC,cleanup2d3b_hbc_land_1,region_canada,DEFAULT_TEMPLATE_PROCEDURAL,2D5A,KEEP_PROCEDURAL,NONE,,KEEP_EXISTING_PROCEDURAL,,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-092,MKT,cleanup2d3b_mkt_land_1,region_central_america,DEFAULT_TEMPLATE_PROCEDURAL,2D5A,USE_HISTORICAL_GENERAL,Tempest,,IMPLEMENT_HISTORICAL,Tempest,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,miskito,UNKNOWN — do not force an animist or Protestant value from insufficient individual evidence,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-093,BRZ,Exrcito_Imperial_Brasileiro,region_brazil,DEFAULT_TEMPLATE_PROCEDURAL,2D5E,IMPLEMENT_HISTORICAL,João Henrique Böhm (Johann Heinrich Böhm),,IMPLEMENT_HISTORICAL,João Henrique Böhm,NO,1708,YEAR,Bremen,STATE_ELBE (mapping géographique proposé),north_german (historique : Brêmois/allemand),protestant / Reformed au 1776-01-01; conversion catholique en 1782,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-094,SC4,Ejrcito_Argentino,region_la_plata,DEFAULT_TEMPLATE_PROCEDURAL,2D5E,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-095,SC2,Ejrcito_del_Ecuador,region_andes,DEFAULT_TEMPLATE_PROCEDURAL,2D5E,IMPLEMENT_HISTORICAL,José Diguja,,IMPLEMENT_HISTORICAL,José Diguja,NO,,UNKNOWN,"Benavente, Castille la Vieille",STATE_LEON (mapping géographique proposé),spanish / castilian,catholic,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-096,SC2,Ejrcito_de_la_Nueva_Granada,region_gran_colombia,DEFAULT_TEMPLATE_PROCEDURAL,2D5E,IMPLEMENT_HISTORICAL,Manuel de Guirior,,REUSE_EXISTING_HISTORICAL_CHARACTER,Manuel de Guirior,YES,1708-05-23,DAY_WITH_SOURCE_CONFLICT,"Aoiz (Aoyz), Navarre",STATE_NAVARRA,spanish (navarrese origin),catholic,DNA_PENDING_FUTURE_PORTRAIT_PHASE,REUSE_EXISTING_CHARACTER_ADD_GENERAL_ROLE_AND_ATTACH,
GEN1776-097,SC2,Ejrcito_de_Venezuela,region_gran_colombia,DEFAULT_TEMPLATE_PROCEDURAL,2D5E,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-098,TUN,cleanup2d3b_tun_land_1,region_north_africa,DEFAULT_TEMPLATE_PROCEDURAL,2D5F,KEEP_PROCEDURAL,"Ismaʿil Kahiya / Ali Bey (examined, not adopted)",,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,Ottoman-Tunisian court elite; exact V3 culture mapping unresolved,Sunni/Ottoman-Tunisian court context,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-099,TRI,cleanup2d3b_tri_land_1,region_north_africa,DEFAULT_TEMPLATE_PROCEDURAL,2D5F,KEEP_PROCEDURAL,Ali Pasha Karamanli (examined),,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,Ottoman-Tripolitanian / Karamanli elite,Sunni Islam,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-100,MAS,Jaish_alMohammadi,region_north_africa,DEFAULT_TEMPLATE_PROCEDURAL,2D5F,IMPLEMENT_HISTORICAL,Ibrahim Bey of Mascara,,IMPLEMENT_HISTORICAL,Ibrahim Bey of Mascara,NO,,UNKNOWN,,,Ottoman-Algerian / Maghrebi; exact personal origin unresolved,Sunni Islam (office/polity context),DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-101,AIT,cleanup2d3b_ait_land_1,region_north_africa,DEFAULT_TEMPLATE_PROCEDURAL,2D5F,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,El Hadj Bouzid Mokrani (examined),,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,Kabyle/Amazigh,Islam (regional context),NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-102,CON,cleanup2d3b_con_land_1,region_north_africa,DEFAULT_TEMPLATE_PROCEDURAL,2D5F,IMPLEMENT_HISTORICAL,Salah Bey,,REUSE_EXISTING_HISTORICAL_CHARACTER,Salah Bey,YES,1725,YEAR,İzmir (Smyrna),STATE_AYDIN (repo ID exists; province-to-state mapping should be rechecked during implementation),Ottoman/Turkish-born; Algerian-Ottoman elite,Sunni Islam,DNA_PENDING_FUTURE_PORTRAIT_PHASE,REUSE_EXISTING_CHARACTER_ADD_GENERAL_ROLE_AND_ATTACH,
GEN1776-103,DFR,cleanup2d3b_dfr_land_1,region_nile_basin,DEFAULT_TEMPLATE_PROCEDURAL,2D5F,KEEP_PROCEDURAL,Muhammad Tayrab ibn Ahmad Bukr (examined),,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,Fur / Darfur court,Islam,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-104,MOR,cleanup2d3b_mor_land_1,region_north_africa,DEFAULT_TEMPLATE_PROCEDURAL,2D5F,IMPLEMENT_HISTORICAL,Sidi Tahar ben Abdelhaq Fennich,,IMPLEMENT_HISTORICAL,Sidi Tahar ben Abdelhaq Fennich,NO,,UNKNOWN,Salé (probable family/local association; exact birth evidence remains insufficient),,"Moroccan/Maghrebi; Salé notable family, often described as Andalusi-origin",Sunni Islam,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-105,TUG,cleanup2d3b_tug_land_1,region_north_africa,DEFAULT_TEMPLATE_PROCEDURAL,2D5F,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-106,IR1,cleanup2d3e_r1_ir1_land_1,region_near_east,DEFAULT_TEMPLATE_PROCEDURAL,2D5G,IMPLEMENT_HISTORICAL,Süleyman Ağa,,IMPLEMENT_HISTORICAL,Süleyman Ağa,NO,UNKNOWN (scholarly estimate only: 1720s),UNKNOWN — DECADE_ESTIMATE_ONLY,"Caucasus, exact locality unknown",UNRESOLVED,Caucasian Mamluk; exact ethnicity unresolved (do not force Georgian/Circassian),Sunni Muslim context highly probable; individual confession not separately verified,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-107,TUR,cleanup2d3b_tur_land_1,region_balkans,DEFAULT_TEMPLATE_PROCEDURAL,2D5G,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-108,TUR,cleanup2d3b_tur_land_2,region_balkans,DEFAULT_TEMPLATE_PROCEDURAL,2D5G,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-109,TUR,cleanup2d3b_tur_land_3,region_near_east,DEFAULT_TEMPLATE_PROCEDURAL,2D5G,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-110,TUR,cleanup2d3b_tur_land_4,region_near_east,DEFAULT_TEMPLATE_PROCEDURAL,2D5G,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-111,OMA,cleanup2d3e_r1_oma_land_1,region_greater_persia,DEFAULT_TEMPLATE_PROCEDURAL,2D5G,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-112,PER,cleanup2d3e_r1_per_land_1,region_greater_persia,DEFAULT_TEMPLATE_PROCEDURAL,2D5G,IMPLEMENT_HISTORICAL,Moḥammad Ṣādeq Khan Zand,,IMPLEMENT_HISTORICAL,Moḥammad Ṣādeq Khan Zand,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNRESOLVED,Zand; Lak branch of the northern Lors (historical ethnographic classification); exact V3 culture key unresolved,"Twelver Shi’a — high-confidence Zand/army context, not separately documented as a personal confession in the sources used",DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-113,DUR,cleanup2d3e_r1_dur_land_1,region_greater_persia,DEFAULT_TEMPLATE_PROCEDURAL,2D5G,IMPLEMENT_HISTORICAL,Tīmūr Shah Dorrānī,,REUSE_EXISTING_HISTORICAL_CHARACTER,Tīmūr Shah Dorrānī,YES,1746,YEAR,Mashhad,STATE_KHORASAN,"Pashtun, Durrani/Pōpalzay-Sadōzay; repo has pashtun",Sunni Muslim,DNA_PENDING_FUTURE_PORTRAIT_PHASE,REUSE_EXISTING_CHARACTER_ADD_GENERAL_ROLE_AND_ATTACH,
GEN1776-114,DUR,cleanup2d3e_r1_dur_land_2,region_greater_persia,DEFAULT_TEMPLATE_PROCEDURAL,2D5G,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-115,ARB,cleanup2d3e_r1_arb_land_1,region_greater_persia,DEFAULT_TEMPLATE_PROCEDURAL,2D5G,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-116,HDJ,cleanup2d3b_hdj_land_1,region_arabia,DEFAULT_TEMPLATE_PROCEDURAL,2D5G,IMPLEMENT_HISTORICAL,Sharīf Surūr ibn Musāʿid,,REUSE_EXISTING_HISTORICAL_CHARACTER,Sharīf Surūr ibn Musāʿid,YES,1167 AH (≈1754 CE),HIJRI_YEAR / APPROXIMATE_CE_YEAR,UNKNOWN,UNRESOLVED,"Hijazi Arab; Hasani Sharif, Banu Qatada/Dhawu Zayd aristocratic milieu",Sunni Muslim,DNA_PENDING_FUTURE_PORTRAIT_PHASE,REUSE_EXISTING_CHARACTER_ADD_GENERAL_ROLE_AND_ATTACH,
GEN1776-117,ZAI,cleanup2d3b_zai_land_1,region_arabia,DEFAULT_TEMPLATE_PROCEDURAL,2D5G,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-118,PAN,FaujiKhas,region_north_india,Jassa Singh Ahluwalia,2D5H,RETAIN_NAMED_HISTORICAL_GENERAL,Jassa Singh Ahluwalia,,REUSE_EXISTING_HISTORICAL_CHARACTER,Jassa Singh Ahluwalia,YES,1718-05-03,exact_day_high_confidence,"Ahlu village, near Lahore",STATE_PUNJAB,panjabi/punjabi token — verify exact mod token,sikh,DNA_PENDING_FUTURE_PORTRAIT_PHASE,REUSE_EXISTING_CHARACTER_ADD_GENERAL_ROLE_AND_ATTACH,
GEN1776-119,PAN,FaujiAin,region_north_india,DEFAULT_TEMPLATE_PROCEDURAL,2D5H,KEEP_PROCEDURAL_COLLECTIVE_STRUCTURE,,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-120,BIC,cleanup2d3b_bic_land_2,region_south_india,DEFAULT_TEMPLATE_PROCEDURAL,2D5H,ADD_NAMED_HISTORICAL_GENERAL,Sir Robert Fletcher,,IMPLEMENT_HISTORICAL,Robert Fletcher,NO,c.1738,circa_year,Unknown in sources consulted,UNRESOLVED_OUTSIDE_SOUTH_ASIA,english only after birthplace/family verification; never Indian culture,protestant provisional,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-121,BIC,cleanup2d3b_bic_land_3,region_south_india,DEFAULT_TEMPLATE_PROCEDURAL,2D5H,ADD_NAMED_HISTORICAL_GENERAL,James Stuart,,IMPLEMENT_HISTORICAL,James Stuart,NO,,unknown_18th_century,Unknown in sources consulted,UNRESOLVED_OUTSIDE_SOUTH_ASIA,scottish probable; verify exact personal birthplace before hardcoding,protestant provisional,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-122,BIC,Bengal_Army,region_north_india,John Clavering,2D5H,RETAIN_NAMED_HISTORICAL_GENERAL,Sir John Clavering,,IMPLEMENT_HISTORICAL,John Clavering,NO,1722,year_only; baptised 1722-08-31 at Lanchester,"Lanchester, County Durham",UNRESOLVED_OUTSIDE_SOUTH_ASIA,english,protestant,DNA_PENDING_FUTURE_PORTRAIT_PHASE,REBUILD_2D4_HISTORICAL_PROFILE,
GEN1776-123,HYD,sarf_e_khas,region_south_india,DEFAULT_TEMPLATE_PROCEDURAL,2D5H,KEEP_PROCEDURAL_REFERENCE_DATE_UNCERTAIN,,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-124,AWA,OudhRoyalArmy,region_north_india,DEFAULT_TEMPLATE_PROCEDURAL,2D5H,KEEP_PROCEDURAL_NO_INDEPENDENT_COMMANDER_SECURE,,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-125,MARATH,cleanup2d3b_marath_land_2,region_south_india,Haripant Phadke,2D5H,RETAIN_NAMED_HISTORICAL_GENERAL,Haripant Phadke,,IMPLEMENT_HISTORICAL,Haripant Phadke,NO,c.1729,circa_year; exact date explicitly unknown,"Exact birthplace not securely established; family originally from Guhagar, Konkan",STATE_BOMBAY provisional if Guhagar association is used,marathi,hindu,DNA_PENDING_FUTURE_PORTRAIT_PHASE,REBUILD_2D4_HISTORICAL_PROFILE,
GEN1776-126,MARATH,cleanup2d3b_marath_land_1,region_north_india,Tukoji Holkar,2D5H,RETAIN_NAMED_REVIEW_FORMATION_MAPPING,Tukoji Rao Holkar I,,IMPLEMENT_HISTORICAL,Tukoji Holkar,NO,1723-06-26,claimed_exact_day_but_source_conflict; same secondary page also says 1725; verify before hardcoding,Unknown in sources consulted,UNRESOLVED,marathi,hindu,DNA_PENDING_FUTURE_PORTRAIT_PHASE,REBUILD_2D4_HISTORICAL_PROFILE,
