tag,country_name,state,population_relevant,incorporated,military_law,technology_factor,existing_modifier_factor,native_conscription_rate,native_max_capacity,allocated_target,implemented_capacity,shortfall,shortfall_reason,temporary_modifier_candidate,confidence,notes
ETH,Ethiopia,STATE_AMHARA,616380,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,14,14,14,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2373464; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
ETH,Ethiopia,STATE_ERITREA,7750,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=28000; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
ETH,Ethiopia,STATE_GONDER,809483,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,19,24,19,5,LAW,NO,MEDIUM_HIGH_STATIC,Total population=2943513; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
ETH,Ethiopia,STATE_OROMIA,439318,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,10,10,10,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1692191; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
EZO,Ezochi,STATE_HOKKAIDO,7582,NO,law_warrior_caste,1.0,church_law=-0.4;unincorporated=-0.5,0.001000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=30331; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=10; techs=NONE.
EZO,Ezochi,STATE_SAKHALIN,352,NO,law_warrior_caste,1.0,church_law=-0.4;unincorporated=-0.5,0.001000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1411; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=10; techs=NONE.
FRA,France,STATE_ALSACE_LORRAINE,359032,YES,law_professional_army,1.0,church_law=-0.4,0.006000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1436128; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_AQUITAINE,461044,YES,law_professional_army,1.0,church_law=-0.4,0.006000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1844177; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_AUVERGNE_LIMOUSIN,581971,YES,law_professional_army,1.0,church_law=-0.4,0.006000,3,3,3,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2327887; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_BRITTANY,655069,YES,law_professional_army,1.0,church_law=-0.4,0.006000,3,3,3,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2620278; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_BURGUNDY,394229,YES,law_professional_army,1.0,church_law=-0.4,0.006000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1576918; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_CHAMPAGNE,290486,YES,law_professional_army,1.0,church_law=-0.4,0.006000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1161945; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_CORSICA,51972,NO,law_professional_army,1.0,church_law=-0.4;unincorporated=-0.5,0.001000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=207889; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_FRANCHE_COMTE,233731,YES,law_professional_army,1.0,church_law=-0.4,0.006000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=934927; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_FRENCH_LOW_COUNTRIES,422767,YES,law_professional_army,1.0,church_law=-0.4,0.006000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1691071; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_GUAYANA,4098,NO,law_professional_army,1.0,church_law=-0.4;unincorporated=-0.5,0.001000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=16392; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_GUYENNE,433510,YES,law_professional_army,1.0,church_law=-0.4,0.006000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1734040; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_ILE_DE_FRANCE,470588,YES,law_professional_army,1.0,church_law=-0.4,0.006000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1882354; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_INDIAN_OCEAN_TERRITORY,26498,NO,law_professional_army,1.0,church_law=-0.4;unincorporated=-0.5,0.001000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=105992; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_IVORY_COAST,22000,NO,law_professional_army,1.0,church_law=-0.4;unincorporated=-0.5,0.001000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=88000; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_LANGUEDOC,593282,YES,law_professional_army,1.0,church_law=-0.4,0.006000,3,3,3,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2373128; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_LORRAINE,288275,YES,law_professional_army,1.0,church_law=-0.4,0.006000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1153101; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_MADRAS,57652,NO,law_professional_army,1.0,church_law=-0.4;unincorporated=-0.5,0.001000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=230609; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_MAINE_ANJOU,402548,YES,law_professional_army,1.0,church_law=-0.4,0.006000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1610194; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_NORMANDY,671283,YES,law_professional_army,1.0,church_law=-0.4,0.006000,4,44,4,40,LAW,NO,MEDIUM_HIGH_STATIC,Total population=2685132; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
FRA,France,STATE_ORLEANS,344873,YES,law_professional_army,1.0,church_law=-0.4,0.006000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1379493; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_PICARDY,369610,YES,law_professional_army,1.0,church_law=-0.4,0.006000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1478442; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_POITOU,437048,YES,law_professional_army,1.0,church_law=-0.4,0.006000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1748194; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_PROVENCE,272711,YES,law_professional_army,1.0,church_law=-0.4,0.006000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1090845; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_RHONE,651191,YES,law_professional_army,1.0,church_law=-0.4,0.006000,3,3,3,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2604767; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_SENEGAL,35098,NO,law_professional_army,1.0,church_law=-0.4;unincorporated=-0.5,0.001000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=140392; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRA,France,STATE_WEST_INDIES,59576,NO,law_professional_army,1.0,church_law=-0.4;unincorporated=-0.5,0.001000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=238304; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FRM,Frankfurt,STATE_HESSE,28218,YES,law_professional_army,1.0,NONE,0.010000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=112872; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
FTJ,Futa Jallon,STATE_GUINEA,111590,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,2,12,2,10,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=421360; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
FTR,Futa Toro,STATE_MAURITANIA,22250,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,12,0,12,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=80000; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
FTR,Futa Toro,STATE_SENEGAL,28600,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=100400; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
GAL,Galicia-Lodomeria,STATE_EAST_GALICIA,733282,YES,law_professional_army,1.0,NONE,0.010000,7,18,0,18,STRUCTURAL,NO,MEDIUM_HIGH_STATIC,Total population=2448608; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
GAL,Galicia-Lodomeria,STATE_WEST_GALICIA,684121,YES,law_professional_army,1.0,NONE,0.010000,6,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2280404; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
GAR,Garhwal,STATE_AGRA,48205,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,3,0,3,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=192822; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
GBR,Great Britain,STATE_BAHAMAS,29900,NO,law_professional_army,1.2,church_law=-0.4;unincorporated=-0.5,0.003000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=119600; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_BALEARIC_ISLANDS,31421,NO,law_professional_army,1.2,church_law=-0.4;unincorporated=-0.5,0.003000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=125684; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_BERMUDA,6800,NO,law_professional_army,1.2,church_law=-0.4;unincorporated=-0.5,0.003000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=27200; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_CEYLON,733,YES,law_professional_army,1.2,church_law=-0.4,0.008000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2944; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_EAST_ANGLIA,393302,YES,law_professional_army,1.2,church_law=-0.4,0.008000,3,3,3,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1573208; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_FLORIDA,18544,NO,law_professional_army,1.2,church_law=-0.4;unincorporated=-0.5,0.003000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=42996; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_GUATEMALA,1802,NO,law_professional_army,1.2,church_law=-0.4;unincorporated=-0.5,0.003000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=7208; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_HIGHLANDS,187891,YES,law_professional_army,1.2,church_law=-0.4,0.008000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=751566; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_HOME_COUNTIES,701499,YES,law_professional_army,1.2,church_law=-0.4,0.008000,5,36,5,31,LAW,NO,MEDIUM_HIGH_STATIC,Total population=2805996; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service. Country-level residual recorded once; no unit attempted above state capacity.
GBR,Great Britain,STATE_INDIAN_OCEAN_TERRITORY,25850,NO,law_professional_army,1.2,church_law=-0.4;unincorporated=-0.5,0.003000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=103400; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_JAMAICA,95409,NO,law_professional_army,1.2,church_law=-0.4;unincorporated=-0.5,0.003000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=381636; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_LANCASHIRE,538201,YES,law_professional_army,1.2,church_law=-0.4,0.008000,4,4,4,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2152804; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_LOWLANDS,409400,YES,law_professional_army,1.2,church_law=-0.4,0.008000,3,3,3,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1637600; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_MIDLANDS,645001,YES,law_professional_army,1.2,church_law=-0.4,0.008000,5,5,5,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2580004; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_NEWFOUNDLAND,21994,NO,law_professional_army,1.2,church_law=-0.4;unincorporated=-0.5,0.003000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=87976; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_SOUTH_ATLANTIC_ISLANDS,3635,NO,law_professional_army,1.2,church_law=-0.4;unincorporated=-0.5,0.003000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=14540; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_UPPER_ANDALUSIA,3446,NO,law_professional_army,1.2,church_law=-0.4;unincorporated=-0.5,0.003000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=13785; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_WALES,243299,YES,law_professional_army,1.2,church_law=-0.4,0.008000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=973196; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_WEST_COUNTRY,496600,YES,law_professional_army,1.2,church_law=-0.4,0.008000,3,3,3,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1986400; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_WEST_INDIES,67467,NO,law_professional_army,1.2,church_law=-0.4;unincorporated=-0.5,0.003000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=269868; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GBR,Great Britain,STATE_YORKSHIRE,522648,YES,law_professional_army,1.2,church_law=-0.4,0.008000,4,4,4,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2090592; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=mandatory_service.
GEN,Most Serene Republic of Genoa,STATE_PIEDMONT,115997,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,1,0,1,LAW,NO,MEDIUM_HIGH_STATIC,Total population=463988; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
GLD,Geledi,STATE_SOMALILAND,60640,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,1,6,1,5,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=222280; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
GR3,Sicily,STATE_SICILY,411899,YES,law_professional_army,1.0,church_law=-0.4,0.006000,2,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1647596; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
GR5,Santo Domingo,STATE_SANTO_DOMINGO,32847,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=131530; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
GWA,Gwalior,STATE_MALWA,433410,YES,law_professional_army,1.0,church_law=-0.4,0.006000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1733642; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
GWA,Gwalior,STATE_RAJPUTANA,1324705,YES,law_professional_army,1.0,church_law=-0.4,0.006000,7,48,7,41,LAW,NO,MEDIUM_HIGH_STATIC,Total population=5298865; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
HAI,Haiti,STATE_HAITI,214567,YES,law_professional_army,1.0,church_law=-0.4,0.006000,1,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=858270; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
HAM,Hamburg,STATE_ELBE,37601,YES,law_professional_army,1.0,NONE,0.010000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=150404; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
HAN,Hanover,STATE_BRUNSWICK,46000,YES,law_professional_army,1.0,NONE,0.010000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=184000; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
HAN,Hanover,STATE_ELBE,128197,YES,law_professional_army,1.0,NONE,0.010000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=512788; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
HAN,Hanover,STATE_HANNOVER,287552,YES,law_professional_army,1.0,NONE,0.010000,2,9,2,7,LAW,NO,MEDIUM_HIGH_STATIC,Total population=1150208; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
HAU,Gobir,STATE_OUTER_HAUSALAND,107159,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,2,12,2,10,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=400137; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
HAW,Hawaii,STATE_HAWAIIAN_ISLANDS,57631,YES,law_peasant_levies,1.0,NONE,0.040000,2,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=192104; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=25; techs=NONE.
HBC,Hudson's Bay Company,STATE_MANITOBA,16712,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,1,0,1,LAW,NO,MEDIUM_HIGH_STATIC,Total population=66848; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
HBC,Hudson's Bay Company,STATE_NUNAVUT,4490,NO,law_professional_army,1.0,church_law=-0.4;unincorporated=-0.5,0.001000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=17960; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
HBC,Hudson's Bay Company,STATE_ONTARIO,12049,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=48196; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
HBC,Hudson's Bay Company,STATE_QUEBEC,12351,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=49404; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
HBC,Hudson's Bay Company,STATE_SASKATCHEWAN,5800,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=23200; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
HDJ,Hedjaz,STATE_HEDJAZ,123525,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,2,8,2,6,TECH,NO,MEDIUM_HIGH_STATIC,Total population=463100; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
HDJ,Hedjaz,STATE_YEMEN,17950,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=63600; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
HEK,Hesse-Kassel,STATE_HESSE,158322,YES,law_professional_army,1.0,NONE,0.010000,1,2,1,1,LAW,NO,MEDIUM_HIGH_STATIC,Total population=633288; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
HES,Hesse-Darmstadt,STATE_HESSE,182277,YES,law_professional_army,1.0,NONE,0.010000,1,2,1,1,LAW,NO,MEDIUM_HIGH_STATIC,Total population=729108; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
HOH,Hohenzollern,STATE_WURTTEMBERG,15333,YES,law_professional_army,1.0,NONE,0.010000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=61334; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
HOL,Holstein,STATE_SCHLESWIG_HOLSTEIN,101151,YES,law_professional_army,1.0,NONE,0.010000,1,2,1,1,LAW,NO,MEDIUM_HIGH_STATIC,Total population=404604; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
HUN,Hungary,STATE_BANAT,356898,YES,law_professional_army,1.0,church_law=-0.4,0.006000,2,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1189660; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
HUN,Hungary,STATE_BEKES,456647,YES,law_professional_army,1.0,church_law=-0.4,0.006000,2,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1524492; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
HUN,Hungary,STATE_CENTRAL_HUNGARY,358596,YES,law_professional_army,1.0,church_law=-0.4,0.006000,2,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1198988; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
HUN,Hungary,STATE_DELVIDEK,228418,YES,law_professional_army,1.0,church_law=-0.4,0.006000,1,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=761396; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
HUN,Hungary,STATE_RUTHENIA,102506,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=342154; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
HUN,Hungary,STATE_SLOVAKIA,612975,YES,law_professional_army,1.0,church_law=-0.4,0.006000,3,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2046586; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
HUN,Hungary,STATE_TRANSDANUBIA,705847,YES,law_professional_army,1.0,church_law=-0.4,0.006000,4,35,0,35,STRUCTURAL,NO,MEDIUM_HIGH_STATIC,Total population=2356492; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
HYD,Hyderabad,STATE_CENTRAL_PROVINCES,607505,NO,law_professional_army,1.0,church_law=-0.4;unincorporated=-0.5,0.001000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2305617; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
HYD,Hyderabad,STATE_HYDERABAD,2223118,YES,law_professional_army,1.0,church_law=-0.4,0.006000,13,50,13,37,LAW,NO,MEDIUM_HIGH_STATIC,Total population=8549837; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
IQU,Iquicha,STATE_ICA,13750,YES,law_professional_army,1.4,church_law=-0.4,0.010000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=55000; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=army_reserves;mandatory_service.
IR1,Mamluk Iraq,STATE_BAGHDAD,128998,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,3,14,3,11,TECH,NO,MEDIUM_HIGH_STATIC,Total population=500994; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
IR1,Mamluk Iraq,STATE_BASRA,110226,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=425904; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
IR1,Mamluk Iraq,STATE_DEIR_EZ_ZOR,63649,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=254096; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
