"tag","country_name","current_frigates","current_ship_of_the_line","current_other_ships","current_total_crew","current_naval_admin","historical_registered_hulls","historical_ready_or_commissioned_hulls","historical_active_personnel","hull_based_frigate_equivalent","hull_based_sol_equivalent","crew_based_frigate_equivalent","crew_based_sol_equivalent","readiness_factor","readiness_rationale","target_frigates_low","target_frigates_high","target_frigates_recommended","target_sol_low","target_sol_high","target_sol_recommended","target_other_ships","target_total_crew","target_naval_admin_levels","target_fleet_count","current_to_target_delta","structural_defer","structural_resolution","conversion_confidence","notes"
"HBC","Hudson's Bay Company","0","0","0","0","0","","No evidence in this research pass for a first-rank state combat navy; company vessels/fort supply craft are not automatically V3 combat fleets.","","0","0","","","QUALITATIVE_RECONCILIATION","Supply craft are not a standing combat fleet.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","Keep corporate security/logistics distinct from Royal Navy. Supply craft are not a standing combat fleet."
"HDJ","Hedjaz","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"HEK","Hesse-Kassel","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"HES","Hesse-Darmstadt","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"HOH","Hohenzollern","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"HOL","Holstein","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"HUN","Hungary","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","ALLOCATE_FROM_OVERLORD_POOL","VERY_LOW","Hungarian components contribute to Habsburg military establishment; avoid double-counting Austria and Hungary as separate full armies. Independent fleet target withheld pending structural resolution."
"HYD","Hyderabad","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"IQU","Iquicha","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","MAP_REWORK_DEFERRED","VERY_LOW","The fork tag does not map cleanly to an independent 1776 sovereign navy. Imperial/colonial/local vessels must be attributed before V3 conversion. Independent fleet target withheld pending structural resolution."
"IR1","Mamluk Iraq","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"IREK","Kingdom of Ireland","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","ALLOCATE_FROM_OVERLORD_POOL","VERY_LOW","Kingdom of Ireland is under the British Crown; British Army establishment/garrison attribution must avoid double-counting. Independent fleet target withheld pending structural resolution."
"ISQ","Isaaq","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"JAP","Japan","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"JEY","Jeypore","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"JMB","Jambi","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
"JOH","Johore","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
"KAU","Kaurna","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","LOCAL_MILITIA_ONLY","VERY_LOW","The fork tag does not map cleanly to an independent 1776 sovereign navy. Imperial/colonial/local vessels must be attributed before V3 conversion. Independent fleet target withheld pending structural resolution."
"KHI","Khiva","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"KHP","Kolhapur","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"KNO","Kurnool","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"KOK","Kokand","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"KON","Kongo","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"KOR","Korea","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"KRG","Karagwe","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"KRT","Kaarta","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"KTI","Kutai","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
"KZH","Kishi Zhuz","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"LAH","Lahej","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"LAN","Lanfang","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
"LIP","Lippe-Detmold","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"LOU","Louisiana","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","ALLOCATE_FROM_OVERLORD_POOL","VERY_LOW","Louisiana is a Spanish colonial possession in 1776; not an independent national military. Independent fleet target withheld pending structural resolution."
"LUA","Luang Prabang","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
"LUB","Lübeck","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"LUC","Lucca","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"LUX","Luxembourg","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MAD","Madagascar","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MARATH","Maratha Confederacy","2","0","0","1000","1","","","","2","0","","","QUALITATIVE_RECONCILIATION","Konkan company/confederal coastal flotilla retained as two frigate equivalents.","1","3","2","0","0","0","0","1000","1","1","0","NO","","LOW","Konkan company/confederal coastal flotilla retained as two frigate equivalents."
"MAS","Mascara","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MBS","Mombasa","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MEC","Mecklenburg-Schwerin","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MEI","Saxe-Meiningen","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MGD","Maguindanao","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
"MJT","Majerteen","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MKT","Miskitia","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MLD","Maldives","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MLT","Order of Malta","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MOD","Modena","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MOL","Moldavia","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MON","Montenegro","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MOR","Morocco","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MSN","Massina","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MST","Mecklenburg-Strelitz","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MUG","Hindustan","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"MYS","Mysore","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"NAG","Nagpur","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"NAS","Nassau","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"NBS","New Brunswick","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","NO_INDEPENDENT_1776_FORCE","VERY_LOW","New Brunswick as a separate colony dates from after the American Revolution; 1776 forces belong to the wider British colonial structure. Independent fleet target withheld pending structural resolution."
"NEP","Nepal","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"NET","Netherlands","18","6","0","13800","13","","","typical peacetime service required only a few thousand seamen annually","8","6","","","QUALITATIVE_RECONCILIATION","Reduced peacetime activity: few-thousand active-seamen evidence reconciled with a real second-tier fleet.","6","10","8","4","8","6","0","8800","9","2","-10","NO","","LOW","Current fork 24 ship units should be reviewed downward/upward by active commission evidence rather than Golden-Age reputation. Reduced peacetime activity: few-thousand active-seamen evidence reconciled with a real second-tier fleet."
"NVS","Nova Scotia","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","ALLOCATE_FROM_OVERLORD_POOL","VERY_LOW","Nova Scotia is a British colony; garrison belongs to imperial/colonial structure. Independent fleet target withheld pending structural resolution."
"OLD","Oldenburg","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"OMA","Oman","10","5","0","9000","4","","","","8","0","","","QUALITATIVE_RECONCILIATION","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; regional armed-vessel capacity represented as frigate equivalents, not European SOL.","6","10","8","0","0","0","0","4000","4","1","-7","NO","","LOW","Oman was a meaningful regional maritime power; current 15 V3 units should not be dismissed merely because European-style ship lists are sparse. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; regional armed-vessel capacity represented as frigate equivalents, not European SOL."
"ONT","Ontario","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","NO_INDEPENDENT_1776_FORCE","VERY_LOW","Ontario/Upper Canada as represented is not a 1776 sovereign military polity; forces belong to British North American structures. Independent fleet target withheld pending structural resolution."
"ORA","Oranje","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","MAP_REWORK_DEFERRED","VERY_LOW","Orange/Boer state representation is anachronistic for 1776. Independent fleet target withheld pending structural resolution."
"OYO","Oyo","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"OZH","Orta Zhuz","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"PAN","Punjab","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"PAP","Papal States","1","0","0","500","1","","","","1","0","","","QUALITATIVE_RECONCILIATION","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; current regional combat mix retained as a provisional center point pending ship-list evidence.","0","2","1","0","0","0","0","500","1","1","0","NO","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; current regional combat mix retained as a provisional center point pending ship-list evidence."
"PAR","Parma","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"PCO","Puerto Rico","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","ALLOCATE_FROM_OVERLORD_POOL","VERY_LOW","Puerto Rico is Spanish imperial territory. Independent fleet target withheld pending structural resolution."
"PER","Persia","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"PHI","Philippines","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","ALLOCATE_FROM_OVERLORD_POOL","VERY_LOW","Philippines is Spanish imperial territory. Independent fleet target withheld pending structural resolution."
"PHL","Philippolis","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","MAP_REWORK_DEFERRED","VERY_LOW","Philippolis/Griqua polity representation is later/anachronistic for 1776. Independent fleet target withheld pending structural resolution."
"PLC","Poland-Lithuania","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"PLY","Tahiti","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"PON","Pontianak","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
