"tag","country_name","domain","proposed_formation_name","historical_or_modeled","historical_role","proposed_hq","proposed_base_region","infantry","cavalry","artillery","other_land","frigates","ships_of_the_line","other_ships","total_units","crew_or_manpower","commander_needed_later","historical_commander_candidate_if_packet_has_one","confidence","source_basis","current_formation_action","notes"
"FRA","France","land","ArmÃ©e du Midi","HISTORICAL_MODEL","SOUTHERN_FIELD_FORCE","region_southern_europe","","34","5","2","0","0","0","0","41","41000","YES","","MEDIUM","Saint-Germain transitional range; composition normalized from personnel reform trajectory.","RESIZE","Target division is arithmetic and preserves national composition; current formations: 1er_Corps_dArme; 2e_Corps_dArme; 3e_Corps_dArme; Arme_dAfrique."
"FRA","France","land","Garnisons Coloniales","HISTORICAL_MODEL","OVERSEAS_GARRISONS","region_central_america","","34","4","2","0","0","0","0","40","40000","YES","","MEDIUM","Saint-Germain transitional range; composition normalized from personnel reform trajectory.","RESIZE","Target division is arithmetic and preserves national composition; current formations: 1er_Corps_dArme; 2e_Corps_dArme; 3e_Corps_dArme; Arme_dAfrique."
"FRM","Frankfurt","land","Linienbataillon_Frankfurt","MODELED","STANDING_CORE","region_central_europe","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","KEEP","Target division is arithmetic and preserves national composition; current formations: Linienbataillon_Frankfurt."
"FTJ","Futa Jallon","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","3","1","0","0","0","0","0","4","4000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"FTR","Futa Toro","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","3","1","0","0","0","0","0","4","4000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"GAL","Galicia-Lodomeria","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_central_europe","","9","2","1","0","0","0","0","12","12000","YES","","VERY_LOW","Habsburg Galicia garrison allocation from parent pool.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"GAR","Garhwal","land","GarhwalArmy","MODELED","STANDING_CORE","region_north_india","","1","1","0","0","0","0","0","2","2000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: GarhwalArmy."
"GBR","Great Britain","land","Home Army","HISTORICAL_MODEL","HOME_DEFENCE_AND_RESERVE","region_western_europe","","9","1","1","0","0","0","0","11","11000","YES","","HIGH","Global Crown regular establishment only; overseas deployments are subsets and auxiliaries are excluded.","SPLIT","Target division is arithmetic and preserves national composition; current formations: Home_Army; Army_of_the_Mediterranean; Army_of_the_West_Indies; Army_of_India."
"GBR","Great Britain","land","North American Command","HISTORICAL_MODEL","1775_NORTH_AMERICAN_DEPLOYMENT","region_atlantic_coast","","9","1","1","0","0","0","0","11","11000","YES","","HIGH","Global Crown regular establishment only; overseas deployments are subsets and auxiliaries are excluded.","SPLIT","Target division is arithmetic and preserves national composition; current formations: Home_Army; Army_of_the_Mediterranean; Army_of_the_West_Indies; Army_of_India."
"GBR","Great Britain","land","West Indies Garrison","HISTORICAL_MODEL","IMPERIAL_GARRISON","region_central_america","","8","1","0","0","0","0","0","9","9000","YES","","HIGH","Global Crown regular establishment only; overseas deployments are subsets and auxiliaries are excluded.","SPLIT","Target division is arithmetic and preserves national composition; current formations: Home_Army; Army_of_the_Mediterranean; Army_of_the_West_Indies; Army_of_India."
"GBR","Great Britain","land","Mediterranean Garrison","HISTORICAL_MODEL","IMPERIAL_GARRISON","region_southern_europe","","8","1","0","0","0","0","0","9","9000","YES","","HIGH","Global Crown regular establishment only; overseas deployments are subsets and auxiliaries are excluded.","SPLIT","Target division is arithmetic and preserves national composition; current formations: Home_Army; Army_of_the_Mediterranean; Army_of_the_West_Indies; Army_of_India."
"GBR","Great Britain","land","India Crown Detachment","HISTORICAL_MODEL","CROWN_NOT_COMPANY","region_south_india","","8","1","0","0","0","0","0","9","9000","YES","","HIGH","Global Crown regular establishment only; overseas deployments are subsets and auxiliaries are excluded.","CREATE","Target division is arithmetic and preserves national composition; current formations: Home_Army; Army_of_the_Mediterranean; Army_of_the_West_Indies; Army_of_India."
"GEN","Most Serene Republic of Genoa","land","<unnamed@505>","MODELED","STANDING_CORE","region_southern_europe","","2","0","0","0","0","0","0","2","2000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","KEEP","Target division is arithmetic and preserves national composition; current formations: <unnamed@505>."
"GLD","Geledi","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","1","1","0","0","0","0","0","2","2000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"GWA","Gwalior","land","GwaliorArmy","MODELED","STANDING_CORE","region_north_india","","18","10","2","0","0","0","0","30","30000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; Maratha-state core only.","RESIZE","Target division is arithmetic and preserves national composition; current formations: GwaliorArmy."
"HAI","Haiti","land","ArmeeIndigene","STRUCTURAL_DEFER","NO_INDEPENDENT_TARGET","region_central_america","","0","0","0","0","0","0","0","0","0","NO","","VERY_LOW","NO_INDEPENDENT_1776_FORCE","STRUCTURAL_DEFER","Current formation frozen for map/overlord decision; do not interpret as approved target."
"HAM","Hamburg","land","Hamburger_Burgermilitar","MODELED","STANDING_CORE","region_central_europe","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","KEEP","Target division is arithmetic and preserves national composition; current formations: Hamburger_Burgermilitar."
"HAN","Hanover","land","Kniglich_Hannoversche_Armee","HISTORICAL_MODEL","STANDING_CORE","region_central_europe","","16","3","2","0","0","0","0","21","21000","YES","","HIGH","Near-date 21,000 establishment.","RESIZE","Target division is arithmetic and preserves national composition; current formations: Kniglich_Hannoversche_Armee."
"HAU","Gobir","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","3","1","0","0","0","0","0","4","4000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"HBC","Hudson's Bay Company","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_central_europe","","1","0","0","0","0","0","0","1","1000","YES","","LOW","Corporate fort/security scale only; no national field army.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"HDJ","Hedjaz","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_near_east","","2","1","0","1","0","0","0","4","4000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"HEK","Hesse-Kassel","land","Kurfrstlich_Hessische_Armee","MODELED","STANDING_CORE","region_central_europe","","4","1","0","0","0","0","0","5","5000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: Kurfrstlich_Hessische_Armee."
"HES","Hesse-Darmstadt","land","Groherzoglich_Hessische_Armee","MODELED","STANDING_CORE","region_central_europe","","3","1","0","0","0","0","0","4","4000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: Groherzoglich_Hessische_Armee."
"HOH","Hohenzollern","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_central_europe","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"HOL","Holstein","land","Holsteinische_Armee","MODELED","STANDING_CORE","region_central_europe","","3","1","0","0","0","0","0","4","4000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","KEEP","Target division is arithmetic and preserves national composition; current formations: Holsteinische_Armee."
"HUN","Hungary","land","generalkommando_ofen","MODELED","STANDING_CORE","region_balkans","","20","6","2","0","0","0","0","28","28000","YES","","VERY_LOW","Habsburg allocation; not an additional Hungarian national establishment.","RESIZE","Target division is arithmetic and preserves national composition; current formations: generalkommando_ofen."
"HYD","Hyderabad","land","sarf_e_khas","MODELED","STANDING_CORE","region_south_india","","18","8","2","0","0","0","0","28","28000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; household/paid core only.","RESIZE","Target division is arithmetic and preserves national composition; current formations: sarf_e_khas."
"IR1","Mamluk Iraq","land","<unnamed@3>","MODELED","STANDING_CORE","region_near_east","","5","4","1","0","0","0","0","10","10000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: <unnamed@3>."
"ISQ","Isaaq","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"JAP","Japan","land","Edo_Guard_Army","MODELED","STANDING_CORE","region_northeast_asia","","19","2","0","0","0","0","0","21","21000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; hereditary/domain field core below administrative obligations.","MERGE","Target division is arithmetic and preserves national composition; current formations: Edo_Guard_Army; Kinai_Guard_Army; Kyushu_Guard_Army."
"JAP","Japan","land","Kinai_Guard_Army","MODELED","STANDING_CORE","region_northeast_asia","","19","2","0","0","0","0","0","21","21000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; hereditary/domain field core below administrative obligations.","MERGE","Target division is arithmetic and preserves national composition; current formations: Edo_Guard_Army; Kinai_Guard_Army; Kyushu_Guard_Army."
"JEY","Jeypore","land","JeyporeArmy","MODELED","STANDING_CORE","region_south_india","","2","1","0","0","0","0","0","3","3000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: JeyporeArmy."
"JMB","Jambi","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_indochina","","2","0","0","0","0","0","0","2","2000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"JOH","Johore","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_indochina","","2","0","0","0","0","0","0","2","2000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"KHI","Khiva","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_greater_persia","","4","4","0","0","0","0","0","8","8000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"KHP","Kolhapur","land","KolhapurArmy","MODELED","STANDING_CORE","region_south_india","","3","1","0","0","0","0","0","4","4000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: KolhapurArmy."
"KNO","Kurnool","land","KurnoolArmy","MODELED","STANDING_CORE","region_south_india","","3","1","0","1","0","0","0","5","5000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: KurnoolArmy."
"KOK","Kokand","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_greater_persia","","4","4","0","0","0","0","0","8","8000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"KON","Kongo","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","1","1","0","0","0","0","0","2","2000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"KOR","Korea","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_northeast_asia","","16","2","0","0","0","0","0","18","18000","YES","","LOW","Five central camps modeled as a modest on-duty core; local obligation registers mobilizable.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"KRG","Karagwe","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"KRT","Kaarta","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","3","1","0","0","0","0","0","4","4000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"KTI","Kutai","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_indochina","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"KZH","Kishi Zhuz","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_greater_persia","","0","1","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"LAN","Lanfang","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_indochina","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"LUA","Luang Prabang","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_indochina","","2","0","0","1","0","0","0","3","3000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"LUB","Lübeck","land","Lubecker_Militar","MODELED","STANDING_CORE","region_central_europe","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","KEEP","Target division is arithmetic and preserves national composition; current formations: Lubecker_Militar."
"LUC","Lucca","land","Esercito_Ducale","MODELED","STANDING_CORE","region_southern_europe","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","KEEP","Target division is arithmetic and preserves national composition; current formations: Esercito_Ducale."
"LUX","Luxembourg","land","Luxemburger_Miliz","MODELED","STANDING_CORE","region_western_europe","","2","0","0","1","0","0","0","3","3000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","KEEP","Target division is arithmetic and preserves national composition; current formations: Luxemburger_Miliz."
"MAD","Madagascar","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","6","2","0","0","0","0","0","8","8000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"MARATH","Maratha Confederacy","land","Confederal Core Army","MODELED","CENTRAL_CONFEDERAL_CORE","region_north_india","","14","8","2","0","0","0","0","24","24000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; confederal core only, chiefly contingents mobilizable.","SPLIT","Target division is arithmetic and preserves national composition; current formations: OudhRoyalArmy."
"MARATH","Maratha Confederacy","land","Deccan Mobile Force","MODELED","CAVALRY_HEAVY_MOBILE_CORE","region_south_india","","13","7","1","0","0","0","0","21","21000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; confederal core only, chiefly contingents mobilizable.","CREATE","Target division is arithmetic and preserves national composition; current formations: OudhRoyalArmy."
"MAS","Mascara","land","Jaish_alMohammadi","MODELED","STANDING_CORE","region_north_africa","","10","6","1","0","0","0","0","17","17000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: Jaish_alMohammadi."
"MBS","Mombasa","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"MEC","Mecklenburg-Schwerin","land","Groherzoglich_MecklenburgischSchwerinsche_Armee","MODELED","STANDING_CORE","region_central_europe","","4","1","0","0","0","0","0","5","5000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: Groherzoglich_MecklenburgischSchwerinsche_Armee."
"MEI","Saxe-Meiningen","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_central_europe","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"MGD","Maguindanao","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_indochina","","2","0","0","0","0","0","0","2","2000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"MJT","Majerteen","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","2","1","0","0","0","0","0","3","3000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"MKT","Miskitia","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_atlantic_coast","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"MOD","Modena","land","Esercito_del_Ducato_di_Modena_e_Reggio","MODELED","STANDING_CORE","region_southern_europe","","3","1","0","0","0","0","0","4","4000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","KEEP","Target division is arithmetic and preserves national composition; current formations: Esercito_del_Ducato_di_Modena_e_Reggio."
"MOL","Moldavia","land","Armata_Principatului_Moldovei","MODELED","STANDING_CORE","region_balkans","","2","0","0","1","0","0","0","3","3000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","KEEP","Target division is arithmetic and preserves national composition; current formations: Armata_Principatului_Moldovei."
"MON","Montenegro","land","Montengrin_Raiders","MODELED","STANDING_CORE","region_balkans","","5","1","0","0","0","0","0","6","6000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: Montengrin_Raiders."
"MOR","Morocco","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_near_east","","6","4","1","0","0","0","0","11","11000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"MSN","Massina","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","6","2","0","0","0","0","0","8","8000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"MST","Mecklenburg-Strelitz","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_central_europe","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"MUG","Hindustan","land","MughalArmy","MODELED","STANDING_CORE","region_north_india","","1","1","0","0","0","0","0","2","2000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: MughalArmy."
"MYS","Mysore","land","Mysore Field Army","MODELED","CENTRALIZING_FIELD_CORE","region_south_india","","11","3","2","0","0","0","0","16","16000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; Haidar Ali centralizing core, later Tipu totals excluded.","SPLIT","Target division is arithmetic and preserves national composition; current formations: MysoreArmy."
"MYS","Mysore","land","Mysore Garrison and Artillery Command","MODELED","GARRISON_AND_ARTILLERY","region_south_india","","11","3","2","0","0","0","0","16","16000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; Haidar Ali centralizing core, later Tipu totals excluded.","CREATE","Target division is arithmetic and preserves national composition; current formations: MysoreArmy."
"NAG","Nagpur","land","NagpurArmy","MODELED","STANDING_CORE","region_north_india","","10","4","1","1","0","0","0","16","16000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: NagpurArmy."
"NAS","Nassau","land","Herzoglich_Nassauische_Armee","MODELED","STANDING_CORE","region_central_europe","","2","0","0","1","0","0","0","3","3000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","KEEP","Target division is arithmetic and preserves national composition; current formations: Herzoglich_Nassauische_Armee."
"NEP","Nepal","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_north_india","","9","4","1","0","0","0","0","14","14000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
