tag,country_name,centralized,barracks_levels,land_formations,infantry_units,cavalry_units,artillery_units,other_land_units,total_land_units,land_manpower_equivalent,naval_base_levels,fleets,frigate_units,ship_of_the_line_units,other_ship_units,total_naval_units,naval_manpower_equivalent,generals,admirals,empty_armies,empty_fleets,duplicate_army_names,duplicate_fleet_names,invalid_land_unit_refs,invalid_naval_unit_refs,structural_risk,notes
ACE,Aceh,YES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_ACEH:4; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_ACEH:4; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
DUR,Afghanistan,YES,0,8,66,10,0,0,76,76000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_BALKH:14|STATE_BALUCHISTAN:9|STATE_HERAT:13|STATE_KABUL:19|STATE_KANDAHAR:16|STATE_PASHTUNISTAN:4|STATE_SISTAN:1; capacity_floor_by_state=STATE_BALKH:14|STATE_BALUCHISTAN:9|STATE_HERAT:13|STATE_KABUL:19|STATE_KANDAHAR:16|STATE_PASHTUNISTAN:4|STATE_SISTAN:1; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
ETH,Ethiopia,YES,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_AMHARA:10|STATE_GONDER:14|STATE_OROMIA:15; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_AMHARA:10|STATE_GONDER:14|STATE_OROMIA:15; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
EZO,Ezochi,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=NONE; capacity_floor_by_state=NONE; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
FRA,France,YES,0,4,127,35,25,0,187,187000,24,4,47,27,0,74,45100,6,0,0,0,0,0,0,0,P1,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_ALGIERS:2|STATE_ALSACE_LORRAINE:15|STATE_AUVERGNE_LIMOUSIN:25|STATE_BURGUNDY:10|STATE_CHAMPAGNE:10|STATE_CORSICA:5|STATE_FRANCHE_COMTE:10|STATE_FRENCH_LOW_COUNTRIES:20|STATE_GUYENNE:15|STATE_ILE_DE_FRANCE:10|STATE_LANGUEDOC:15|STATE_LORRAINE:15|STATE_NORMANDY:10|STATE_ORLEANS:5|STATE_PROVENCE:5|STATE_RHONE:15; capacity_floor_by_state=STATE_ALGIERS:2|STATE_ALSACE_LORRAINE:15|STATE_AUVERGNE_LIMOUSIN:25|STATE_BURGUNDY:10|STATE_CHAMPAGNE:10|STATE_CORSICA:5|STATE_FRANCHE_COMTE:10|STATE_FRENCH_LOW_COUNTRIES:20|STATE_GUYENNE:15|STATE_ILE_DE_FRANCE:10|STATE_LANGUEDOC:15|STATE_LORRAINE:15|STATE_NORMANDY:10|STATE_ORLEANS:5|STATE_PROVENCE:5|STATE_RHONE:15; naval_administration_by_state=STATE_BRITTANY:12|STATE_POITOU:4|STATE_PROVENCE:8; naval_sailor_capacity=24000; naval_crew_requirement=45100. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
FRM,Frankfurt,YES,0,1,1,0,0,0,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_HESSE:1; capacity_floor_by_state=STATE_HESSE:1; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
FTJ,Futa Jallon,YES,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_GUINEA:10; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_GUINEA:10; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
FTR,Futa Toro,YES,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_MAURITANIA:5|STATE_SENEGAL:5; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_MAURITANIA:5|STATE_SENEGAL:5; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
GAL,Galicia-Lodomeria,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=NONE; capacity_floor_by_state=NONE; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
GAR,Garhwal,YES,0,1,3,0,0,0,3,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_HILL_PUNJAB:3; capacity_floor_by_state=STATE_HILL_PUNJAB:3; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
GBR,Great Britain,YES,0,4,93,20,8,0,121,121000,33,10,110,86,0,196,123800,6,0,0,0,0,0,0,0,P0,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_EAST_ANGLIA:7|STATE_HIGHLANDS:10|STATE_HOME_COUNTIES:7|STATE_LANCASHIRE:20|STATE_LOWLANDS:10|STATE_MIDLANDS:38|STATE_WALES:11|STATE_WEST_COUNTRY:4|STATE_YORKSHIRE:14; capacity_floor_by_state=STATE_EAST_ANGLIA:7|STATE_HIGHLANDS:10|STATE_HOME_COUNTIES:7|STATE_LANCASHIRE:20|STATE_LOWLANDS:10|STATE_MIDLANDS:38|STATE_WALES:11|STATE_WEST_COUNTRY:4|STATE_YORKSHIRE:14; naval_administration_by_state=STATE_HOME_COUNTIES:20|STATE_LANCASHIRE:10|STATE_UPPER_ANDALUSIA:3; naval_sailor_capacity=33000; naval_crew_requirement=123800. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
GEN,Most Serene Republic of Genoa,YES,0,1,2,0,0,0,2,2000,3,1,5,0,0,5,2500,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_PIEDMONT:2; capacity_floor_by_state=STATE_PIEDMONT:2; naval_administration_by_state=STATE_PIEDMONT:3; naval_sailor_capacity=3000; naval_crew_requirement=2500. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
GLD,Geledi,YES,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_SOMALILAND:5; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_SOMALILAND:5; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
GR3,Sicily,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=NONE; capacity_floor_by_state=NONE; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
GR5,Santo Domingo,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=NONE; capacity_floor_by_state=NONE; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
GWA,Gwalior,YES,0,1,30,10,3,0,43,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_MALWA:43; capacity_floor_by_state=STATE_MALWA:43; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
HAI,Haiti,YES,0,1,17,2,1,0,20,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_HAITI:20; capacity_floor_by_state=STATE_HAITI:20; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
HAM,Hamburg,YES,0,1,1,0,0,0,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_ELBE:1; capacity_floor_by_state=STATE_ELBE:1; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
HAN,Hanover,YES,0,1,9,8,1,0,18,18000,0,1,1,0,0,1,500,0,0,0,0,0,0,0,0,P0,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_ELBE:4|STATE_HANNOVER:14; capacity_floor_by_state=STATE_ELBE:4|STATE_HANNOVER:14; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=500. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
HAU,Gobir,YES,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_OUTER_HAUSALAND:10; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_OUTER_HAUSALAND:10; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
HAW,Hawaii,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=NONE; capacity_floor_by_state=NONE; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
HBC,Hudson's Bay Company,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_MANITOBA:2; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_MANITOBA:2; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
HDJ,Hedjaz,YES,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_HEDJAZ:10; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_HEDJAZ:10; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
HEK,Hesse-Kassel,YES,0,1,4,1,1,0,6,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_HESSE:6; capacity_floor_by_state=STATE_HESSE:6; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
HES,Hesse-Darmstadt,YES,0,1,3,1,1,0,5,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_HESSE:5; capacity_floor_by_state=STATE_HESSE:5; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
HOH,Hohenzollern,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_WURTTEMBERG:1; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_WURTTEMBERG:1; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
HOL,Holstein,YES,0,1,2,1,1,0,4,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_SCHLESWIG_HOLSTEIN:4; capacity_floor_by_state=STATE_SCHLESWIG_HOLSTEIN:4; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
HUN,Hungary,YES,0,1,26,9,2,0,37,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_BANAT:6|STATE_CENTRAL_HUNGARY:13|STATE_SLOVAKIA:9|STATE_TRANSDANUBIA:9; capacity_floor_by_state=STATE_BANAT:6|STATE_CENTRAL_HUNGARY:13|STATE_SLOVAKIA:9|STATE_TRANSDANUBIA:9; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
HYD,Hyderabad,YES,0,1,28,4,2,0,34,34000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_CENTRAL_PROVINCES:4|STATE_HYDERABAD:30; capacity_floor_by_state=STATE_CENTRAL_PROVINCES:4|STATE_HYDERABAD:30; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
IQU,Iquicha,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_ICA:1; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_ICA:1; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
IR1,Mamluk Iraq,YES,0,1,10,2,2,0,14,14000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_BAGHDAD:5|STATE_BASRA:5|STATE_DEIR_EZ_ZOR:2|STATE_MOSUL:2; capacity_floor_by_state=STATE_BAGHDAD:5|STATE_BASRA:5|STATE_DEIR_EZ_ZOR:2|STATE_MOSUL:2; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
IREK,Kingdom of Ireland,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=NONE; capacity_floor_by_state=NONE; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
ISQ,Isaaq,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_SOMALILAND:2; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_SOMALILAND:2; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
JAP,Japan,YES,0,3,58,0,0,0,58,58000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_CHUGOKU:6|STATE_KANSAI:10|STATE_KANTO:18|STATE_KYOTO:4|STATE_KYUSHU:8|STATE_SHIKOKU:2|STATE_TOKAI:10; capacity_floor_by_state=STATE_CHUGOKU:6|STATE_KANSAI:10|STATE_KANTO:18|STATE_KYOTO:4|STATE_KYUSHU:8|STATE_SHIKOKU:2|STATE_TOKAI:10; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
JEY,Jeypore,YES,0,1,3,1,0,0,4,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_CIRCARS:4; capacity_floor_by_state=STATE_CIRCARS:4; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
JMB,Jambi,YES,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_NORTH_SUMATRA:5; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_NORTH_SUMATRA:5; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
JOH,Johore,YES,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_MALAYA:5; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_MALAYA:5; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
KAU,Kaurna,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=NONE; capacity_floor_by_state=NONE; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
KHI,Khiva,YES,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_KHIVA:14|STATE_TURKMENIA:6; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_KHIVA:14|STATE_TURKMENIA:6; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
KHP,Kolhapur,YES,0,1,4,1,0,0,5,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_BOMBAY:5; capacity_floor_by_state=STATE_BOMBAY:5; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
KNO,Kurnool,YES,0,1,5,1,1,0,7,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_KURNOOL:7; capacity_floor_by_state=STATE_KURNOOL:7; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
KOK,Kokand,YES,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_KIRGHIZIA:10|STATE_TAJIKISTAN:10; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_KIRGHIZIA:10|STATE_TAJIKISTAN:10; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
KON,Kongo,YES,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_BAS_CONGO:5; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_BAS_CONGO:5; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
KOR,Korea,YES,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_BUSAN:3|STATE_PYONGYANG:10|STATE_SARIWON:5|STATE_SEOUL:10|STATE_YANGHO:2; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_BUSAN:3|STATE_PYONGYANG:10|STATE_SARIWON:5|STATE_SEOUL:10|STATE_YANGHO:2; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
KRG,Karagwe,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_TANGANYIKA:2; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_TANGANYIKA:2; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
KRT,Kaarta,YES,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_WESTERN_MALI:10; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_WESTERN_MALI:10; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
KTI,Kutai,YES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_EAST_BORNEO:3; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_EAST_BORNEO:3; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
KZH,Kishi Zhuz,YES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_URALSK:3; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_URALSK:3; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
LAH,Lahej,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=NONE; capacity_floor_by_state=NONE; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
LAN,Lanfang,YES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_WEST_BORNEO:3; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_WEST_BORNEO:3; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
LIP,Lippe-Detmold,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=NONE; capacity_floor_by_state=NONE; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
LOU,Louisiana,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=NONE; capacity_floor_by_state=NONE; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
LUA,Luang Prabang,YES,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_LAOS:8; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_LAOS:8; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
LUB,Lübeck,YES,0,1,1,0,0,0,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_SCHLESWIG_HOLSTEIN:1; capacity_floor_by_state=STATE_SCHLESWIG_HOLSTEIN:1; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
LUC,Lucca,YES,0,1,1,0,0,0,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_EMILIA:1; capacity_floor_by_state=STATE_EMILIA:1; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
