tag,country_name,state,direct_owner,incorporated_if_required,conscription_eligible,target_conscript_units,infantry,cavalry,artillery,other,formation,service_type,historical_role,mechanism,static_result,notes
DUR,Afghanistan,STATE_KANDAHAR,YES,YES,YES,5,5,0,0,0,DUR_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
DUR,Afghanistan,STATE_KASHMIR,YES,YES,YES,10,10,0,0,0,DUR_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
DUR,Afghanistan,STATE_PASHTUNISTAN,YES,YES,YES,13,13,0,0,0,DUR_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
DUR,Afghanistan,STATE_PUNJAB,YES,YES,YES,1,1,0,0,0,DUR_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
DUR,Afghanistan,STATE_QUETTA,YES,YES,YES,1,1,0,0,0,DUR_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
ETH,Ethiopia,STATE_AMHARA,YES,YES,YES,14,14,0,0,0,cleanup2d3b_eth_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
ETH,Ethiopia,STATE_GONDER,YES,YES,YES,19,19,0,0,0,cleanup2d3b_eth_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
ETH,Ethiopia,STATE_OROMIA,YES,YES,YES,10,10,0,0,0,cleanup2d3b_eth_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
FRA,France,STATE_ALSACE_LORRAINE,YES,YES,YES,2,2,0,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_AQUITAINE,YES,YES,YES,2,2,0,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_AUVERGNE_LIMOUSIN,YES,YES,YES,3,3,0,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_BRITTANY,YES,YES,YES,3,3,0,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_BURGUNDY,YES,YES,YES,2,2,0,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_CHAMPAGNE,YES,YES,YES,1,0,0,1,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_FRANCHE_COMTE,YES,YES,YES,1,1,0,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_FRENCH_LOW_COUNTRIES,YES,YES,YES,2,2,0,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_GUYENNE,YES,YES,YES,2,2,0,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_ILE_DE_FRANCE,YES,YES,YES,2,2,0,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_LANGUEDOC,YES,YES,YES,3,3,0,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_LORRAINE,YES,YES,YES,1,0,1,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_MAINE_ANJOU,YES,YES,YES,2,2,0,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_NORMANDY,YES,YES,YES,4,4,0,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_ORLEANS,YES,YES,YES,2,2,0,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_PICARDY,YES,YES,YES,2,2,0,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_POITOU,YES,YES,YES,2,1,1,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_PROVENCE,YES,YES,YES,1,0,0,1,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FRA,France,STATE_RHONE,YES,YES,YES,3,3,0,0,0,cleanup2d3b_fra_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
FTJ,Futa Jallon,STATE_GUINEA,YES,YES,YES,2,2,0,0,0,cleanup2d3b_ftj_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
GBR,Great Britain,STATE_EAST_ANGLIA,YES,YES,YES,3,3,0,0,0,cleanup2d3b_gbr_land_2,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
GBR,Great Britain,STATE_HIGHLANDS,YES,YES,YES,1,0,1,0,0,cleanup2d3b_gbr_land_2,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
GBR,Great Britain,STATE_HOME_COUNTIES,YES,YES,YES,5,5,0,0,0,cleanup2d3b_gbr_land_2,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
GBR,Great Britain,STATE_LANCASHIRE,YES,YES,YES,4,4,0,0,0,cleanup2d3b_gbr_land_2,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
GBR,Great Britain,STATE_LOWLANDS,YES,YES,YES,3,3,0,0,0,cleanup2d3b_gbr_land_2,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
GBR,Great Britain,STATE_MIDLANDS,YES,YES,YES,5,5,0,0,0,cleanup2d3b_gbr_land_2,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
GBR,Great Britain,STATE_WALES,YES,YES,YES,1,0,0,1,0,cleanup2d3b_gbr_land_2,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
GBR,Great Britain,STATE_WEST_COUNTRY,YES,YES,YES,3,2,1,0,0,cleanup2d3b_gbr_land_2,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
GBR,Great Britain,STATE_YORKSHIRE,YES,YES,YES,4,4,0,0,0,cleanup2d3b_gbr_land_2,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
GLD,Geledi,STATE_SOMALILAND,YES,YES,YES,1,1,0,0,0,cleanup2d3b_gld_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
GWA,Gwalior,STATE_MALWA,YES,YES,YES,2,1,1,0,0,GwaliorArmy,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
GWA,Gwalior,STATE_RAJPUTANA,YES,YES,YES,7,7,0,0,0,GwaliorArmy,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
HAN,Hanover,STATE_ELBE,YES,YES,YES,1,1,0,0,0,Kniglich_Hannoversche_Armee,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
HAN,Hanover,STATE_HANNOVER,YES,YES,YES,2,2,0,0,0,Kniglich_Hannoversche_Armee,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
HAU,Gobir,STATE_OUTER_HAUSALAND,YES,YES,YES,2,2,0,0,0,cleanup2d3b_hau_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
HDJ,Hedjaz,STATE_HEDJAZ,YES,YES,YES,2,2,0,0,0,cleanup2d3b_hdj_land_1,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
HEK,Hesse-Kassel,STATE_HESSE,YES,YES,YES,1,1,0,0,0,Kurfrstlich_Hessische_Armee,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE; unsupported unit groups shifted to infantry.
HES,Hesse-Darmstadt,STATE_HESSE,YES,YES,YES,1,1,0,0,0,Groherzoglich_Hessische_Armee,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE; unsupported unit groups shifted to infantry.
HOL,Holstein,STATE_SCHLESWIG_HOLSTEIN,YES,YES,YES,1,1,0,0,0,Holsteinische_Armee,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE; unsupported unit groups shifted to infantry.
HYD,Hyderabad,STATE_HYDERABAD,YES,YES,YES,13,12,1,0,0,sarf_e_khas,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
IR1,Mamluk Iraq,STATE_BAGHDAD,YES,YES,YES,3,3,0,0,0,IR1_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
IR1,Mamluk Iraq,STATE_BASRA,YES,YES,YES,2,2,0,0,0,IR1_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
IR1,Mamluk Iraq,STATE_DEIR_EZ_ZOR,YES,YES,YES,1,1,0,0,0,IR1_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
IR1,Mamluk Iraq,STATE_MOSUL,YES,YES,YES,3,3,0,0,0,IR1_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
JAP,Japan,STATE_CHUGOKU,YES,YES,YES,8,8,0,0,0,Edo_Guard_Army,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
JAP,Japan,STATE_HOKUSHINETSU,YES,YES,YES,8,8,0,0,0,Edo_Guard_Army,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
JAP,Japan,STATE_KANSAI,YES,YES,YES,8,8,0,0,0,Edo_Guard_Army,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
JAP,Japan,STATE_KANTO,YES,YES,YES,8,8,0,0,0,Edo_Guard_Army,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
JAP,Japan,STATE_KYOTO,YES,YES,YES,7,7,0,0,0,Edo_Guard_Army,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
JAP,Japan,STATE_KYUSHU,YES,YES,YES,8,8,0,0,0,Edo_Guard_Army,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
JAP,Japan,STATE_SHIKOKU,YES,YES,YES,5,5,0,0,0,Edo_Guard_Army,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
JAP,Japan,STATE_TOHOKU,YES,YES,YES,9,9,0,0,0,Edo_Guard_Army,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
JAP,Japan,STATE_TOKAI,YES,YES,YES,9,9,0,0,0,Edo_Guard_Army,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
JOH,Johore,STATE_MALAYA,YES,YES,YES,3,3,0,0,0,cleanup2d3b_joh_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
KHI,Khiva,STATE_KHIVA,YES,YES,YES,7,7,0,0,0,cleanup2d3b_khi_land_1,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
KNO,Kurnool,STATE_KURNOOL,YES,YES,YES,2,2,0,0,0,KurnoolArmy,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE; unsupported unit groups shifted to infantry.
KOK,Kokand,STATE_FERGANA,YES,YES,YES,5,5,0,0,0,cleanup2d3b_kok_land_1,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
KOK,Kokand,STATE_KIRGHIZIA,YES,YES,YES,2,2,0,0,0,cleanup2d3b_kok_land_1,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
KOK,Kokand,STATE_TAJIKISTAN,YES,YES,YES,1,1,0,0,0,cleanup2d3b_kok_land_1,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
KON,Kongo,STATE_BAS_CONGO,YES,YES,YES,3,3,0,0,0,cleanup2d3b_kon_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
KON,Kongo,STATE_NORTH_ANGOLA,YES,YES,YES,2,2,0,0,0,cleanup2d3b_kon_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
KOR,Korea,STATE_BUSAN,YES,YES,YES,6,6,0,0,0,cleanup2d3b_kor_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
KOR,Korea,STATE_PYONGYANG,YES,YES,YES,6,6,0,0,0,cleanup2d3b_kor_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
KOR,Korea,STATE_SARIWON,YES,YES,YES,4,4,0,0,0,cleanup2d3b_kor_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
KOR,Korea,STATE_SEOUL,YES,YES,YES,7,7,0,0,0,cleanup2d3b_kor_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
KOR,Korea,STATE_YANGHO,YES,YES,YES,7,7,0,0,0,cleanup2d3b_kor_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
KRT,Kaarta,STATE_WESTERN_MALI,YES,YES,YES,1,1,0,0,0,cleanup2d3b_krt_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
KTI,Kutai,STATE_EAST_BORNEO,YES,YES,YES,1,1,0,0,0,cleanup2d3b_kti_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
KZH,Kishi Zhuz,STATE_SAMARA,YES,YES,YES,3,3,0,0,0,cleanup2d3b_kzh_land_1,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
LUA,Luang Prabang,STATE_LAOS,YES,YES,YES,1,1,0,0,0,cleanup2d3b_lua_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
MAD,Madagascar,STATE_NORTH_MADAGASCAR,YES,YES,YES,6,6,0,0,0,cleanup2d3b_mad_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
MAD,Madagascar,STATE_SOUTH_MADAGASCAR,YES,YES,YES,5,5,0,0,0,cleanup2d3b_mad_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
MARATH,Maratha Confederacy,STATE_AGRA,YES,YES,YES,25,25,0,0,0,cleanup2d3b_marath_land_2,conscript,MARATHA_CONFEDERAL,NATIVE_CONSCRIPT_UNIT,PASS,MARATHA_CONFEDERAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
MARATH,Maratha Confederacy,STATE_BOMBAY,YES,YES,YES,25,25,0,0,0,cleanup2d3b_marath_land_2,conscript,MARATHA_CONFEDERAL,NATIVE_CONSCRIPT_UNIT,PASS,MARATHA_CONFEDERAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
MARATH,Maratha Confederacy,STATE_BUNDELKHAND,YES,YES,YES,12,12,0,0,0,cleanup2d3b_marath_land_2,conscript,MARATHA_CONFEDERAL,NATIVE_CONSCRIPT_UNIT,PASS,MARATHA_CONFEDERAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
MARATH,Maratha Confederacy,STATE_MALWA,YES,YES,YES,3,3,0,0,0,cleanup2d3b_marath_land_2,conscript,MARATHA_CONFEDERAL,NATIVE_CONSCRIPT_UNIT,PASS,MARATHA_CONFEDERAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
MAS,Mascara,STATE_ALGIERS,YES,YES,YES,1,1,0,0,0,Jaish_alMohammadi,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL
MAS,Mascara,STATE_ORAN,YES,YES,YES,1,0,1,0,0,Jaish_alMohammadi,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL
MEC,Mecklenburg-Schwerin,STATE_MECKLENBURG,YES,YES,YES,1,1,0,0,0,Groherzoglich_MecklenburgischSchwerinsche_Armee,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE; unsupported unit groups shifted to infantry.
MGD,Maguindanao,STATE_MINDANAO,YES,YES,YES,1,1,0,0,0,cleanup2d3b_mgd_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
MJT,Majerteen,STATE_SOMALILAND,YES,YES,YES,3,3,0,0,0,cleanup2d3b_mjt_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
MOL,Moldavia,STATE_MOLDAVIA,YES,YES,YES,2,2,0,0,0,Armata_Principatului_Moldovei,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
MOR,Morocco,STATE_FEZ,YES,YES,YES,7,7,0,0,0,cleanup2d3b_mor_land_1,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
MOR,Morocco,STATE_MARRAKECH,YES,YES,YES,6,6,0,0,0,cleanup2d3b_mor_land_1,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
MSN,Massina,STATE_EASTERN_MALI,YES,YES,YES,6,6,0,0,0,cleanup2d3b_msn_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
MSN,Massina,STATE_TIMBUKTU,YES,YES,YES,1,1,0,0,0,cleanup2d3b_msn_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
MUG,Hindustan,STATE_DELHI,YES,NO_NOT_REQUIRED,YES,3,3,0,0,0,MughalArmy,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
MYS,Mysore,STATE_MYSORE,YES,YES,YES,6,6,0,0,0,cleanup2d3b_mys_land_2,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
NAG,Nagpur,STATE_CENTRAL_PROVINCES,YES,YES,YES,5,5,0,0,0,NagpurArmy,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
NAG,Nagpur,STATE_ORISSA,YES,YES,YES,1,1,0,0,0,NagpurArmy,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
NAS,Nassau,STATE_HESSE,YES,YES,YES,1,1,0,0,0,Herzoglich_Nassauische_Armee,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE; unsupported unit groups shifted to infantry.
NEP,Nepal,STATE_HIMALAYAS,YES,YES,YES,6,6,0,0,0,cleanup2d3b_nep_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
