tag,country_name,current_v3_land_units,current_v3_land_manpower_equivalent,historical_standing_force_low,historical_standing_force_high,land_gap_direction,land_gap_severity,current_v3_naval_crew,historical_active_naval_personnel_low,historical_active_naval_personnel_high,naval_gap_direction,naval_gap_severity,current_frigate_units,historical_frigate_hulls,current_ship_of_the_line_units,historical_ship_of_the_line_hulls,structural_difference,conversion_warning,notes
HEK,Hesse-Kassel,6,6000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
HES,Hesse-Darmstadt,5,5000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
HOH,Hohenzollern,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
HOL,Holstein,4,4000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
HUN,Hungary,37,37000,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
HYD,Hyderabad,34,34000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
IQU,Iquicha,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
IR1,Mamluk Iraq,14,14000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
IREK,Kingdom of Ireland,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
ISQ,Isaaq,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
JAP,Japan,58,58000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
JEY,Jeypore,4,4000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
JMB,Jambi,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
JOH,Johore,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
KAU,Kaurna,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
KHI,Khiva,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
KHP,Kolhapur,5,5000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
KNO,Kurnool,7,7000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
KOK,Kokand,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
KON,Kongo,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
KOR,Korea,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
KRG,Karagwe,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
KRT,Kaarta,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
KTI,Kutai,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
KZH,Kishi Zhuz,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
LAH,Lahej,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
LAN,Lanfang,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
LIP,Lippe-Detmold,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
LOU,Louisiana,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
LUA,Luang Prabang,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
LUB,Lübeck,1,1000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
LUC,Lucca,1,1000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
LUX,Luxembourg,3,3000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MAD,Madagascar,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MARATH,Maratha Confederacy,59,59000,,,NOT_DIRECTLY_COMPARABLE,HIGH,1000,,,UNKNOWN,LOW,2,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MAS,Mascara,23,23000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MBS,Mombasa,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MEC,Mecklenburg-Schwerin,6,6000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MEI,Saxe-Meiningen,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MGD,Maguindanao,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MJT,Majerteen,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MKT,Miskitia,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MLD,Maldives,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MLT,Order of Malta,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MOD,Modena,4,4000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MOL,Moldavia,3,3000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MON,Montenegro,7,7000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MOR,Morocco,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MSN,Massina,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MST,Mecklenburg-Strelitz,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MUG,Hindustan,3,3000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
MYS,Mysore,7,7000,,,NOT_DIRECTLY_COMPARABLE,HIGH,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
NAG,Nagpur,21,21000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
NAS,Nassau,3,3000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
NBS,New Brunswick,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
NEP,Nepal,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
NET,Netherlands,24,24000,,,UNKNOWN,LOW,13800,,,NOT_DIRECTLY_COMPARABLE,MEDIUM,18,,6,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUANTITATIVE_LOW_CONFIDENCE.
NVS,Nova Scotia,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
OLD,Oldenburg,3,3000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
OMA,Oman,10,10000,,,UNKNOWN,LOW,9000,,,NOT_DIRECTLY_COMPARABLE,HIGH,10,,5,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
ONT,Ontario,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
ORA,Oranje,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
OYO,Oyo,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
OZH,Orta Zhuz,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
PAN,Punjab,86,86000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
PAP,Papal States,7,7000,,,UNKNOWN,LOW,500,,,UNKNOWN,LOW,1,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
PAR,Parma,3,3000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
PCO,Puerto Rico,7,7000,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
PER,Persia,85,85000,,,NOT_DIRECTLY_COMPARABLE,HIGH,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUANTITATIVE_LOW_CONFIDENCE; naval research status=QUALITATIVE_ONLY.
PHI,Philippines,7,7000,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
PHL,Philippolis,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
PLC,Poland-Lithuania,49,49000,12000,24000,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUANTITATIVE_LOW_CONFIDENCE; naval research status=QUALITATIVE_ONLY.
PLY,Tahiti,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
PON,Pontianak,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
POR,Portugal,24,24000,,,UNKNOWN,LOW,5900,,,NOT_DIRECTLY_COMPARABLE,MEDIUM,7,,3,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUANTITATIVE_LOW_CONFIDENCE.
PRK,Perak,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
