tag,country_name,region,total_registered_warships,commissioned_combat_warships,reserve_or_ordinary_warships,under_construction_warships,ships_of_the_line_total,ships_of_the_line_commissioned,frigates_total,frigates_commissioned,other_warships_total,other_warships_commissioned,total_naval_personnel,active_seagoing_personnel,typical_ship_of_the_line_crew,typical_frigate_crew,principal_bases,historical_squadrons,geographic_distribution,date_of_evidence,evidence_window,source_1,source_2,source_3,source_disagreement,recommended_historical_range,quantitative_confidence,organization_confidence,research_status,notes
HUN,Hungary,Europe,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Hungarian components contribute to Habsburg military establishment; avoid double-counting Austria and Hungary as separate full armies.
HYD,Hyderabad,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
IQU,Iquicha,Americas,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,The fork tag does not map cleanly to an independent 1776 sovereign navy. Imperial/colonial/local vessels must be attributed before V3 conversion.
IR1,Mamluk Iraq,Middle East / North Africa,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
IREK,Kingdom of Ireland,Europe,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Kingdom of Ireland is under the British Crown; British Army establishment/garrison attribution must avoid double-counting.
ISQ,Isaaq,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
JAP,Japan,East Asia,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
JEY,Jeypore,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
JMB,Jambi,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
JOH,Johore,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
KAU,Kaurna,Oceania,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,The fork tag does not map cleanly to an independent 1776 sovereign navy. Imperial/colonial/local vessels must be attributed before V3 conversion.
KHI,Khiva,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
KHP,Kolhapur,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
KNO,Kurnool,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
KOK,Kokand,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
KON,Kongo,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
KOR,Korea,East Asia,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
KRG,Karagwe,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
KRT,Kaarta,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
KTI,Kutai,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
KZH,Kishi Zhuz,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
LAH,Lahej,Middle East / North Africa,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
LAN,Lanfang,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
LIP,Lippe-Detmold,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
LOU,Louisiana,Americas,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Louisiana is a Spanish colonial possession in 1776; not an independent national military.
LUA,Luang Prabang,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
LUB,Lübeck,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
LUC,Lucca,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
LUX,Luxembourg,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MAD,Madagascar,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MARATH,Maratha Confederacy,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,
MAS,Mascara,Middle East / North Africa,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MBS,Mombasa,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MEC,Mecklenburg-Schwerin,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MEI,Saxe-Meiningen,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MGD,Maguindanao,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
MJT,Majerteen,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MKT,Miskitia,Americas,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MLD,Maldives,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MLT,Order of Malta,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MOD,Modena,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MOL,Moldavia,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MON,Montenegro,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MOR,Morocco,Middle East / North Africa,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MSN,Massina,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MST,Mecklenburg-Strelitz,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MUG,Hindustan,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
MYS,Mysore,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
NAG,Nagpur,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
NAS,Nassau,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
NBS,New Brunswick,Americas,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,New Brunswick as a separate colony dates from after the American Revolution; 1776 forces belong to the wider British colonial structure.
NEP,Nepal,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
NET,Netherlands,Europe,,,,,,,,,,,typical peacetime service required only a few thousand seamen annually,,,,Five Admiralties; Amsterdam handled roughly three-quarters of vessels in the period described,Convoy/commerce protection and Mediterranean anti-corsair duties; reduced peacetime activity,,post-1713 to late 18th century,Institutional peacetime pattern,https://www.cambridge.org/core/books/abs/dutch-navy-of-the-seventeenth-and-eighteenth-centuries/naval-seaman-a-poor-mans-job/9C70FB2D51C7815EFE66B881B28BA996,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,Second-rate but still meaningful navy; active 1776 manpower far below total national seafaring pool.,LOW,HIGH,QUANTITATIVE_LOW_CONFIDENCE,Current fork 24 ship units should be reviewed downward/upward by active commission evidence rather than Golden-Age reputation.
NVS,Nova Scotia,Americas,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Nova Scotia is a British colony; garrison belongs to imperial/colonial structure.
OLD,Oldenburg,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
OMA,Oman,Middle East / North Africa,,,,,,,,,,,,,,,Muscat,Gulf maritime order / convoy and coercive sea power,Persian Gulf and western Indian Ocean,second half of 18th century,,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,,,,QUALITATIVE_ONLY; exact 1776 battle-fleet hull count not established.,VERY_LOW,MEDIUM,QUALITATIVE_ONLY,Oman was a meaningful regional maritime power; current 15 V3 units should not be dismissed merely because European-style ship lists are sparse.
ONT,Ontario,Americas,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Ontario/Upper Canada as represented is not a 1776 sovereign military polity; forces belong to British North American structures.
ORA,Oranje,Americas,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Orange/Boer state representation is anachronistic for 1776.
OYO,Oyo,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
OZH,Orta Zhuz,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
PAN,Punjab,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
PAP,Papal States,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,
PAR,Parma,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
PCO,Puerto Rico,Americas,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Puerto Rico is Spanish imperial territory.
PER,Persia,Middle East / North Africa,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
PHI,Philippines,Southeast Asia,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Philippines is Spanish imperial territory.
PHL,Philippolis,Americas,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Philippolis/Griqua polity representation is later/anachronistic for 1776.
PLC,Poland-Lithuania,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
PLY,Tahiti,Oceania,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
PON,Pontianak,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
POR,Portugal,Europe,,Primary archive confirms an active Southern/Brazil squadron in 1776; exact total not exposed in catalogue,,,,At least one named nau in Southern squadron directly documented; broader squadron requires archival transcription,,,,,,,,,Lisbon; South Atlantic/Brazil stations,Esquadra do Sul / Santa Catarina evidence,Portugal and South Atlantic/Brazil,1776,Exact-date primary archival records,https://arquivohistorico.marinha.pt/details?detailsType=Description&id=59011,https://arquivohistorico.marinha.pt/details?id=34074,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,QUALITATIVE/LOW quantitative: active South Atlantic squadron proven; exact hull count deferred to 2D-2 source deepening if it materially changes balance.,LOW,MEDIUM,QUANTITATIVE_LOW_CONFIDENCE,Portugal should retain a real oceanic navy; do not infer its full strength from one surviving catalogue entry.
PRK,Perak,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
PRU,Prussia,Europe,,No meaningful 1776 Prussian state battle fleet established in the research pass,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,0 meaningful blue-water combat fleet unless new primary evidence emerges,MEDIUM,MEDIUM,QUANTITATIVE_MEDIUM_CONFIDENCE,Historical verdict for current empty 'Kniglich_Preuische_Marine': EMPTY FORMATION IS NOT EVIDENCE OF A NAVY; likely remove the empty fleet in implementation rather than populate it.
PUD,Pudukottai,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
QUE,Quebec,Americas,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Quebec is a British colony; garrison belongs to imperial/colonial structure.
RUS,Russia,Europe,,No single reliable Jan-1776 fleet total extracted in this pass,,,,,,,,,,,,,Kronstadt/Reval (Baltic); post-1768–74 southern/expeditionary experience,Baltic Fleet; recent Mediterranean expeditionary squadrons returning after the Ottoman war,Baltic primary; recent Mediterranean operations; southern naval structures developing,1775–1776 contextual,Postwar transition,https://books.google.fr/books?hl=fr&id=70KyBgAAQBAJ,https://www.cambridge.org/core/books/great-anglorussian-naval-alliance-of-the-eighteenth-century-and-beyond/naval-collaboration/88AE50FA956E42F56B14588E9D3C7CBA,,,QUALITATIVE_ONLY until ship-list reconstruction; current 76 V3 units must not be validated from reputation alone.,VERY_LOW,MEDIUM,QUALITATIVE_ONLY,"Russia is a significant regional naval power, but the current zero naval-administration levels are a separate structural bug from historical fleet size."
RWD,Rwanda,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
RYU,Ryukyu,East Asia,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
SAK,Siak,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
SAR,Sardinia-Piedmont,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,
SAT,Satara,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
SAX,Saxony,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
