tag,file,formation,hq,scripted_regular,materializable_regular,scripted_conscript,materializable_conscript,expected_runtime_total,expected_runtime_empty,disposition,r2_correlation
ANK,07_military_formations_subsaharan_africa.txt,cleanup2d3b_ank_land_1,region_east_africa,1,1,2,2,3,NO,PASS,STATIC_EFFECTIVE_AUDIT
ASH,07_military_formations_subsaharan_africa.txt,cleanup2d3b_ash_land_1,region_west_africa,18,18,11,11,29,NO,PASS,STATIC_EFFECTIVE_AUDIT
BEN,07_military_formations_subsaharan_africa.txt,cleanup2d3b_ben_land_1,region_west_africa,8,8,18,18,26,NO,PASS,STATIC_EFFECTIVE_AUDIT
BGI,07_military_formations_subsaharan_africa.txt,cleanup2d3b_bgi_land_1,region_equatorial_africa,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
BNY,07_military_formations_subsaharan_africa.txt,cleanup2d3b_bny_land_1,region_east_africa,1,1,2,2,3,NO,PASS,STATIC_EFFECTIVE_AUDIT
BOR,07_military_formations_subsaharan_africa.txt,cleanup2d3b_bor_land_1,region_west_africa,6,6,3,3,9,NO,PASS,STATIC_EFFECTIVE_AUDIT
BRD,07_military_formations_subsaharan_africa.txt,cleanup2d3b_brd_land_1,region_east_africa,2,2,4,4,6,NO,PASS,STATIC_EFFECTIVE_AUDIT
BRG,07_military_formations_subsaharan_africa.txt,cleanup2d3b_brg_land_1,region_west_africa,1,1,1,1,2,NO,PASS,STATIC_EFFECTIVE_AUDIT
BST,07_military_formations_subsaharan_africa.txt,cleanup2d3b_bst_land_1,region_southern_africa,2,2,1,1,3,NO,PASS,STATIC_EFFECTIVE_AUDIT
BUG,07_military_formations_subsaharan_africa.txt,cleanup2d3b_bug_land_1,region_east_africa,4,4,7,7,11,NO,PASS,STATIC_EFFECTIVE_AUDIT
DAH,07_military_formations_subsaharan_africa.txt,cleanup2d3b_dah_land_1,region_west_africa,7,7,4,4,11,NO,PASS,STATIC_EFFECTIVE_AUDIT
ETH,07_military_formations_subsaharan_africa.txt,cleanup2d3b_eth_land_1,region_east_africa,16,16,48,48,64,NO,PASS,STATIC_EFFECTIVE_AUDIT
FTJ,07_military_formations_subsaharan_africa.txt,cleanup2d3b_ftj_land_1,region_west_africa,4,4,2,2,6,NO,PASS,STATIC_EFFECTIVE_AUDIT
FTR,07_military_formations_subsaharan_africa.txt,cleanup2d3b_ftr_land_1,region_west_africa,4,4,0,0,4,NO,PASS,STATIC_EFFECTIVE_AUDIT
GLD,07_military_formations_subsaharan_africa.txt,cleanup2d3b_gld_land_1,region_east_africa,2,2,1,1,3,NO,PASS,STATIC_EFFECTIVE_AUDIT
HAU,07_military_formations_subsaharan_africa.txt,cleanup2d3b_hau_land_1,region_west_africa,4,4,2,2,6,NO,PASS,STATIC_EFFECTIVE_AUDIT
ISQ,07_military_formations_subsaharan_africa.txt,cleanup2d3b_isq_land_1,region_east_africa,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
KON,07_military_formations_subsaharan_africa.txt,cleanup2d3b_kon_land_1,region_equatorial_africa,2,2,6,6,8,NO,PASS,STATIC_EFFECTIVE_AUDIT
KRG,07_military_formations_subsaharan_africa.txt,cleanup2d3b_krg_land_1,region_east_africa,1,1,1,1,2,NO,PASS,STATIC_EFFECTIVE_AUDIT
KRT,07_military_formations_subsaharan_africa.txt,cleanup2d3b_krt_land_1,region_west_africa,4,4,2,2,6,NO,PASS,STATIC_EFFECTIVE_AUDIT
MAD,07_military_formations_subsaharan_africa.txt,cleanup2d3b_mad_land_1,region_east_africa,8,8,19,19,27,NO,PASS,STATIC_EFFECTIVE_AUDIT
MBS,07_military_formations_subsaharan_africa.txt,cleanup2d3b_mbs_land_1,region_east_africa,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
MJT,07_military_formations_subsaharan_africa.txt,cleanup2d3b_mjt_land_1,region_east_africa,3,3,3,3,6,NO,PASS,STATIC_EFFECTIVE_AUDIT
MSN,07_military_formations_subsaharan_africa.txt,cleanup2d3b_msn_land_1,region_west_africa,8,8,7,7,15,NO,PASS,STATIC_EFFECTIVE_AUDIT
OYO,07_military_formations_subsaharan_africa.txt,cleanup2d3b_oyo_land_1,region_west_africa,12,12,16,16,28,NO,PASS,STATIC_EFFECTIVE_AUDIT
RWD,07_military_formations_subsaharan_africa.txt,cleanup2d3b_rwd_land_1,region_east_africa,2,2,5,5,7,NO,PASS,STATIC_EFFECTIVE_AUDIT
SGU,07_military_formations_subsaharan_africa.txt,cleanup2d3b_sgu_land_1,region_west_africa,4,4,3,3,7,NO,PASS,STATIC_EFFECTIVE_AUDIT
SWZ,07_military_formations_subsaharan_africa.txt,cleanup2d3b_swz_land_1,region_southern_africa,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
TGI,07_military_formations_subsaharan_africa.txt,cleanup2d3b_tgi_land_1,region_east_africa,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
WAD,07_military_formations_subsaharan_africa.txt,cleanup2d3b_wad_land_1,region_equatorial_africa,4,4,1,1,5,NO,PASS,STATIC_EFFECTIVE_AUDIT
WBL,07_military_formations_subsaharan_africa.txt,cleanup2d3b_wbl_land_1,region_southern_africa,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
WSG,07_military_formations_subsaharan_africa.txt,cleanup2d3b_wsg_land_1,region_east_africa,1,1,0,0,1,NO,PASS,STATIC_EFFECTIVE_AUDIT
