Market_or_Country,Historical_Target_Supply,Calibrated_Target_Supply,Estimated_Demand,Coverage_Ratio,Trade_Access,Risk,Runtime_Required
SRK,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SUL,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SWE,375.0,870.0,225.0,3.867,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
SWI,0.0,40.0,35.0,1.143,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
SWZ,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
TBI,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
TEK,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
TIB,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
TID,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
TNG,0.0,0.0,40.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
TRA,80.0,80.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
TRI,0.0,0.0,50.0,0.000,COASTAL_OR_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
TRM,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
TRN,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
TRS,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
TRZ,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
TSW,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
TUA,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
TUG,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
TUN,0.0,80.0,50.0,1.600,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
TUR,80.0,700.0,355.0,1.972,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
TUS,80.0,240.0,10.0,24.000,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
UBD,80.0,80.0,95.0,0.842,COASTAL_OR_PORT_ACCESS,MEDIUM_TRADE_DEPENDENT,YES
USA,220.0,770.0,660.0,1.167,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
UZH,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
VND,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
WAD,0.0,0.0,5.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
WAL,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
WEI,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
WLD,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
WTU,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
WUR,0.0,55.0,35.0,1.571,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
XHO,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,COASTAL_OR_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
YOG,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
ZAI,0.0,0.0,5.0,0.000,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,HIGH_RUNTIME_SHORTAGE_RISK,YES
ZWY,0.0,0.0,0.0,N/A_NO_STATIC_DEMAND,LANDLOCKED_OR_NO_STATIC_PORT_ACCESS,LOW_STATIC_BUILDING_DEMAND,YES
