TAG,Country,Region,Research_Status,Current_Technology_Count,Historical_Target_Count,Add_Count_vs_Local,Remove_Count_vs_Local,Unresolved_Count,Tree_Blocker_Count,Classification_Blocker_Count,Historical_Target_Technologies,Unresolved_Technologies,Tree_Blockers,Classification_Blockers,Implementation_Status
CON,Constantine,AFRICA,RESEARCHED,5,16,14,3,0,2,2,codified_practical_knowledge;distillation;improved_agricultural_implements;improved_husbandry;institutionalized_scientific_exchange;international_relations;organized_elementary_schooling;organized_textile_production;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery;state_dockyard_systems;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;variolation_networks,,codified_practical_knowledge->periodical_print_networks;organized_elementary_schooling->periodical_print_networks,improved_agricultural_implements;organized_elementary_schooling,READY_AFTER_CLASSIFICATION_DECISION
COO,Cooch Behar,SOUTH_ASIA,RESEARCHED,4,5,3,2,1,0,1,distillation;improved_husbandry;organized_textile_production;sugar_refining;traditional_food_processing,cotton_gin,,sugar_refining,NEEDS_REVIEW
CRI,Crimea,NORTHERN_EASTERN_EUROPE,RESEARCHED,4,5,2,1,0,0,0,distillation;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing,,,,READY
CRO,Croatia,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,RESEARCHED,14,20,6,0,0,0,1,armament_standardization_inspection;distillation;improved_husbandry;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;organized_forestry;organized_textile_production;periodical_print_networks;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;shaft_mining;specialized_technical_academies;standardized_field_artillery;systematic_administrative_statistics;systematic_legal_codification;traditional_food_processing;traditional_furniture_making;urbanization,,,systematic_legal_codification,READY_AFTER_CLASSIFICATION_DECISION
CUB,Cuba,AMERICAS_CARIBBEAN,RESEARCHED,11,17,8,2,0,3,2,distillation;enclosed_dock_systems;improved_husbandry;international_relations;light_infantry_tactics;medical_degrees;organized_textile_production;periodical_print_networks;permanent_engineer_services;scientific_fortification_siegecraft;scientific_naval_architecture;standardized_field_artillery;state_dockyard_systems;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making,,light_infantry_tactics->regulated_small_arms;medical_degrees->institutionalized_scientific_exchange;standardized_field_artillery->regulated_small_arms,medical_degrees;sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
DAH,Dahomey,AFRICA,RESEARCHED,6,6,3,3,0,0,1,improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
DAI,Dai Nam,EAST_ASIA_SE_ASIA,RESEARCHED,9,17,11,3,0,2,3,advanced_crop_rotations;codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery;state_dockyard_systems;sugar_refining;systematic_administrative_statistics;systematic_legal_codification;traditional_food_processing;traditional_furniture_making;traditional_papermaking,,"advanced_crop_rotations->selective_breeding;codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks",advanced_crop_rotations;sugar_refining;systematic_legal_codification,READY_AFTER_CLASSIFICATION_DECISION
DAK,Dar al Kuti,AFRICA,RESEARCHED,1,2,1,0,0,0,0,improved_husbandry;traditional_food_processing,,,,READY
DEI,East Indies,EAST_ASIA_SE_ASIA,RESEARCHED,15,24,11,2,1,2,2,codified_practical_knowledge;colonization;commercial_insurance_markets;distillation;enclosed_dock_systems;improved_husbandry;international_relations;light_infantry_tactics;military_topographic_surveying;organized_forestry;organized_textile_production;periodical_print_networks;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;standardized_field_artillery;state_dockyard_systems;sugar_refining;systematic_administrative_statistics;systematic_population_registration;traditional_food_processing;traditional_furniture_making,joint_stock_companies,codified_practical_knowledge->institutionalized_scientific_exchange;commercial_insurance_markets->institutionalized_public_credit,sugar_refining;systematic_population_registration,NEEDS_REVIEW
DEN,Denmark,NORTHERN_EASTERN_EUROPE,RESEARCHED,20,42,23,1,1,0,9,advanced_crop_rotations;armament_standardization_inspection;codified_practical_knowledge;colonization;commercial_insurance_markets;distillation;enclosed_dock_systems;improved_agricultural_implements;improved_husbandry;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;medical_degrees;military_topographic_surveying;organized_elementary_schooling;organized_forestry;organized_textile_production;periodical_print_networks;permanent_engineer_services;permanent_military_hospitals;political_economy;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;selective_breeding;ship_classification_surveying;specialized_technical_academies;standardized_field_artillery;state_dockyard_systems;sugar_refining;systematic_administrative_statistics;systematic_cadastral_surveying;systematic_legal_codification;systematic_population_registration;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking;variolation_networks;veterinary_science,military_veterinary_services,,advanced_crop_rotations;improved_agricultural_implements;industrial_ceramics;medical_degrees;organized_elementary_schooling;sugar_refining;systematic_cadastral_surveying;systematic_legal_codification;systematic_population_registration,NEEDS_REVIEW
DENNOR,Denmark-Norway,NORTHERN_EASTERN_EUROPE,RESEARCHED,22,44,23,1,1,0,9,advanced_crop_rotations;applied_mineralogy;armament_standardization_inspection;codified_practical_knowledge;colonization;commercial_insurance_markets;distillation;enclosed_dock_systems;improved_agricultural_implements;improved_husbandry;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;medical_degrees;military_topographic_surveying;organized_elementary_schooling;organized_forestry;organized_textile_production;periodical_print_networks;permanent_engineer_services;permanent_military_hospitals;political_economy;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;selective_breeding;shaft_mining;ship_classification_surveying;specialized_technical_academies;standardized_field_artillery;state_dockyard_systems;sugar_refining;systematic_administrative_statistics;systematic_cadastral_surveying;systematic_legal_codification;systematic_population_registration;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking;variolation_networks;veterinary_science,military_veterinary_services,,advanced_crop_rotations;improved_agricultural_implements;industrial_ceramics;medical_degrees;organized_elementary_schooling;sugar_refining;systematic_cadastral_surveying;systematic_legal_codification;systematic_population_registration,NEEDS_REVIEW
DFR,Darfur,AFRICA,RESEARCHED,6,6,4,4,0,1,0,codified_practical_knowledge;improved_husbandry;institutionalized_scientific_exchange;international_relations;traditional_food_processing;variolation_networks,,codified_practical_knowledge->periodical_print_networks,,READY_AFTER_TREE_FIX
DFT,Dar Fertit,AFRICA,RESEARCHED,1,1,0,0,0,0,0,improved_husbandry,,,,READY
DGR,Degar,EAST_ASIA_SE_ASIA,RESEARCHED,1,1,0,0,0,0,0,improved_husbandry,,,,READY
DHA,Dharampur,SOUTH_ASIA,RESEARCHED,6,4,2,4,0,0,1,distillation;improved_husbandry;sugar_refining;traditional_food_processing,,,sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
DIN,Kel Dinnik,AFRICA,RESEARCHED,2,1,0,1,0,0,0,improved_husbandry,,,,READY
DIO,Diola,AFRICA,RESEARCHED,1,5,4,0,0,0,1,improved_agricultural_implements;improved_husbandry;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
DLA,Duala,AFRICA,RESEARCHED,1,3,2,0,0,0,0,improved_husbandry;international_relations;traditional_food_processing,,,,READY
DLM,Delim,AFRICA,RESEARCHED,2,1,0,1,0,0,0,improved_husbandry,,,,READY
DNK,Dinka,AFRICA,RESEARCHED,1,1,0,0,0,0,0,improved_husbandry,,,,READY
DUR,Afghanistan,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,RESEARCHED,6,8,4,2,0,2,0,codified_practical_knowledge;improved_husbandry;international_relations;organized_textile_production;regulated_small_arms;traditional_food_processing;traditional_furniture_making;urbanization,,"codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks;regulated_small_arms->scientific_fortification_siegecraft",,READY_AFTER_TREE_FIX
ECU,Ecuador,AMERICAS_CARIBBEAN,RESEARCHED,9,11,4,2,0,2,1,colonization;distillation;improved_husbandry;international_relations;light_infantry_tactics;medical_degrees;organized_textile_production;shaft_mining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making,,light_infantry_tactics->regulated_small_arms;medical_degrees->institutionalized_scientific_exchange,medical_degrees,READY_AFTER_CLASSIFICATION_DECISION
EGY,Egypt,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,RESEARCHED,8,13,6,1,0,2,0,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;standardized_field_artillery;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;urbanization,,"codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks;regulated_small_arms->scientific_fortification_siegecraft",,READY_AFTER_TREE_FIX
ETH,Ethiopia,AFRICA,RESEARCHED,6,12,9,3,0,3,3,codified_practical_knowledge;distillation;improved_agricultural_implements;improved_husbandry;institutionalized_scientific_exchange;international_relations;organized_elementary_schooling;organized_textile_production;systematic_legal_codification;traditional_food_processing;traditional_furniture_making;variolation_networks,,codified_practical_knowledge->periodical_print_networks;organized_elementary_schooling->periodical_print_networks;systematic_legal_codification->systematic_administrative_statistics,improved_agricultural_implements;organized_elementary_schooling;systematic_legal_codification,READY_AFTER_CLASSIFICATION_DECISION
EWE,Ewe,AFRICA,RESEARCHED,1,5,4,0,0,0,1,improved_agricultural_implements;improved_husbandry;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
EZO,Ezochi,EAST_ASIA_SE_ASIA,RESEARCHED,6,4,0,2,0,0,0,distillation;improved_husbandry;international_relations;organized_textile_production,,,,READY
FIN,Finland,NORTHERN_EASTERN_EUROPE,RESEARCHED,17,34,19,2,0,3,8,advanced_crop_rotations;applied_mineralogy;codified_practical_knowledge;distillation;enclosed_dock_systems;improved_agricultural_implements;improved_husbandry;institutionalized_scientific_exchange;light_infantry_tactics;medical_degrees;military_topographic_surveying;organized_elementary_schooling;organized_textile_production;periodical_print_networks;permanent_engineer_services;permanent_military_hospitals;political_economy;scientific_fortification_siegecraft;scientific_naval_architecture;selective_breeding;shaft_mining;ship_classification_surveying;standardized_field_artillery;state_dockyard_systems;sugar_refining;systematic_administrative_statistics;systematic_cadastral_surveying;systematic_legal_codification;systematic_population_registration;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking;variolation_networks,,light_infantry_tactics->regulated_small_arms;political_economy->commercial_insurance_markets;standardized_field_artillery->regulated_small_arms,advanced_crop_rotations;improved_agricultural_implements;medical_degrees;organized_elementary_schooling;sugar_refining;systematic_cadastral_surveying;systematic_legal_codification;systematic_population_registration,READY_AFTER_CLASSIFICATION_DECISION
FJI,Fiji,OCEANIA_PACIFIC,RESEARCHED,3,4,1,0,0,1,0,improved_husbandry;international_relations;scientific_naval_architecture;traditional_food_processing,,scientific_naval_architecture->state_dockyard_systems,,READY_AFTER_TREE_FIX
FNG,Fang,AFRICA,RESEARCHED,1,2,1,0,0,0,0,improved_husbandry;traditional_food_processing,,,,READY
FRA,France,WESTERN_EUROPE,RESEARCHED,24,42,20,2,4,3,8,advanced_crop_rotations;armament_standardization_inspection;atmospheric_engine;codified_practical_knowledge;colonization;commercial_insurance_markets;distillation;enclosed_dock_systems;improved_agricultural_implements;improved_husbandry;industrial_acids;industrial_canals;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;marine_chronometry;medical_degrees;military_topographic_surveying;organized_forestry;organized_textile_production;periodical_print_networks;permanent_engineer_services;permanent_military_hospitals;political_economy;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;shaft_mining;specialized_technical_academies;standardized_field_artillery;state_dockyard_systems;stock_exchange;sugar_refining;systematic_administrative_statistics;systematic_population_registration;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking;veterinary_science,casemated_fortifications;hydrographic_surveying;professional_civil_engineering;romanticism,advanced_crop_rotations->selective_breeding;atmospheric_engine->coke_smelting;industrial_canals->turnpike_road_networks,advanced_crop_rotations;improved_agricultural_implements;industrial_acids;industrial_canals;industrial_ceramics;medical_degrees;sugar_refining;systematic_population_registration,NEEDS_REVIEW
FRM,Frankfurt,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,7,8,5,4,0,1,0,distillation;international_relations;organized_textile_production;periodical_print_networks;stock_exchange;traditional_food_processing;traditional_furniture_making;traditional_papermaking,,stock_exchange->institutionalized_public_credit,,READY_AFTER_TREE_FIX
FTJ,Futa Jallon,AFRICA,RESEARCHED,5,7,5,3,0,0,1,improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making;variolation_networks,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
FTR,Futa Toro,AFRICA,RESEARCHED,5,7,5,3,0,0,1,improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making;variolation_networks,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
FZN,Fezzan,AFRICA,RESEARCHED,7,6,3,4,0,0,1,improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
GAL,Galicia-Lodomeria,RESEARCH_GAP,RESEARCH_GAP,13,13,0,0,0,0,0,codified_practical_knowledge;distillation;improved_husbandry;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;systematic_legal_codification;urbanization,,,,RESEARCH_GAP
GAR,Garhwal,SOUTH_ASIA,RESEARCHED,6,5,2,3,0,0,1,distillation;improved_husbandry;international_relations;sugar_refining;traditional_food_processing,,,sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
GBR,Great Britain,WESTERN_EUROPE,RESEARCHED,31,50,20,1,3,0,9,advanced_crop_rotations;armament_standardization_inspection;atmospheric_engine;codified_practical_knowledge;coke_smelting;colonization;commercial_insurance_markets;constitutional_government;copper_sheathing;distillation;enclosed_dock_systems;improved_agricultural_implements;improved_husbandry;industrial_acids;industrial_canals;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;marine_chronometry;mechanized_spinning;medical_degrees;military_topographic_surveying;organized_elementary_schooling;organized_forestry;organized_textile_production;periodical_print_networks;permanent_engineer_services;permanent_military_hospitals;political_economy;precision_boring;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;selective_breeding;shaft_mining;ship_classification_surveying;specialized_technical_academies;standardized_field_artillery;state_dockyard_systems;stock_exchange;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking;turnpike_road_networks;variolation_networks,crystal_glass;hydraulic_cements;romanticism,,advanced_crop_rotations;constitutional_government;improved_agricultural_implements;industrial_acids;industrial_canals;industrial_ceramics;medical_degrees;organized_elementary_schooling;sugar_refining,NEEDS_REVIEW
GEN,Most Serene Republic of Genoa,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,13,21,13,5,0,0,3,codified_practical_knowledge;commercial_insurance_markets;distillation;enclosed_dock_systems;improved_husbandry;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;medical_degrees;organized_textile_production;periodical_print_networks;scientific_fortification_siegecraft;specialized_technical_academies;stock_exchange;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking,,,industrial_ceramics;medical_degrees;sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
GGO,Gogo,AFRICA,RESEARCHED,1,1,0,0,0,0,0,improved_husbandry,,,,READY
GJM,Gojjam,AFRICA,RESEARCHED,5,8,6,3,0,0,1,distillation;improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making;variolation_networks,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
GLD,Geledi,AFRICA,RESEARCHED,6,7,4,3,0,0,1,distillation;improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
GNI,Guarani,AMERICAS_CARIBBEAN,RESEARCHED,2,4,3,1,0,0,0,improved_husbandry;international_relations;organized_textile_production;traditional_food_processing,,,,READY
GR3,Sicily,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,7,7,4,4,0,1,1,distillation;enclosed_dock_systems;international_relations;medical_degrees;organized_textile_production;traditional_food_processing;traditional_furniture_making,,medical_degrees->institutionalized_scientific_exchange,medical_degrees,READY_AFTER_CLASSIFICATION_DECISION
GR4,Naples,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,13,26,16,3,0,0,3,codified_practical_knowledge;distillation;enclosed_dock_systems;industrial_ceramics;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;medical_degrees;organized_textile_production;periodical_print_networks;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;specialized_technical_academies;standardized_field_artillery;state_dockyard_systems;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking;variolation_networks,,,industrial_ceramics;medical_degrees;sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
GR5,Santo Domingo,AMERICAS_CARIBBEAN,RESEARCHED,6,11,6,1,0,3,2,distillation;improved_husbandry;international_relations;light_infantry_tactics;medical_degrees;organized_textile_production;standardized_field_artillery;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making,,light_infantry_tactics->regulated_small_arms;medical_degrees->institutionalized_scientific_exchange;standardized_field_artillery->regulated_small_arms,medical_degrees;sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
GRE,Greece,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,RESEARCHED,6,10,5,1,0,2,0,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;traditional_food_processing;traditional_furniture_making;urbanization,,"codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks;regulated_small_arms->scientific_fortification_siegecraft",,READY_AFTER_TREE_FIX
GRW,Garawa,OCEANIA_PACIFIC,RESEARCHED,2,1,0,1,0,0,0,traditional_food_processing,,,,READY
GWA,Gwalior,SOUTH_ASIA,RESEARCHED,6,13,8,1,1,2,3,advanced_crop_rotations;codified_practical_knowledge;distillation;improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;scientific_fortification_siegecraft;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making;traditional_papermaking,cotton_gin,"advanced_crop_rotations->selective_breeding;codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks",advanced_crop_rotations;improved_agricultural_implements;sugar_refining,NEEDS_REVIEW
GZA,Gaza,AFRICA,RESEARCHED,2,1,0,1,0,0,0,improved_husbandry,,,,READY
HAI,Haiti,AMERICAS_CARIBBEAN,RESEARCHED,10,12,5,3,0,2,1,colonization;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;periodical_print_networks;standardized_field_artillery;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making,,light_infantry_tactics->regulated_small_arms;standardized_field_artillery->regulated_small_arms,sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
HAM,Hamburg,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,7,10,7,4,0,1,1,commercial_insurance_markets;distillation;enclosed_dock_systems;international_relations;organized_textile_production;periodical_print_networks;sugar_refining;traditional_food_processing;traditional_furniture_making;traditional_papermaking,,commercial_insurance_markets->institutionalized_public_credit,sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
HAN,Hanover,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,7,23,17,1,0,1,2,codified_practical_knowledge;distillation;improved_husbandry;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;medical_degrees;organized_elementary_schooling;organized_forestry;organized_textile_production;periodical_print_networks;permanent_engineer_services;political_economy;regulated_small_arms;scientific_fortification_siegecraft;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking;turnpike_road_networks,,political_economy->commercial_insurance_markets,medical_degrees;organized_elementary_schooling,READY_AFTER_CLASSIFICATION_DECISION
HAR,Harar,AFRICA,RESEARCHED,6,10,7,3,0,2,2,codified_practical_knowledge;distillation;improved_agricultural_implements;improved_husbandry;institutionalized_scientific_exchange;international_relations;organized_elementary_schooling;organized_textile_production;traditional_food_processing;traditional_furniture_making,,codified_practical_knowledge->periodical_print_networks;organized_elementary_schooling->periodical_print_networks,improved_agricultural_implements;organized_elementary_schooling,READY_AFTER_CLASSIFICATION_DECISION
HAU,Gobir,AFRICA,RESEARCHED,5,7,5,3,0,0,1,improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making;variolation_networks,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
HAW,Hawaii,OCEANIA_PACIFIC,RESEARCHED,4,4,1,1,0,1,0,improved_husbandry;international_relations;scientific_naval_architecture;traditional_food_processing,,scientific_naval_architecture->state_dockyard_systems,,READY_AFTER_TREE_FIX
HBC,Hudson's Bay Company,AMERICAS_CARIBBEAN,RESEARCHED,8,9,2,1,0,1,0,colonization;distillation;improved_husbandry;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;organized_textile_production;systematic_administrative_statistics;traditional_food_processing,,light_infantry_tactics->regulated_small_arms,,READY_AFTER_TREE_FIX
HDJ,Hedjaz,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,RESEARCHED,5,8,3,0,0,2,0,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;traditional_food_processing;urbanization,,"codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks;light_infantry_tactics->regulated_small_arms",,READY_AFTER_TREE_FIX
HDY,Hadiya,AFRICA,RESEARCHED,6,8,5,3,0,0,1,distillation;improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making;variolation_networks,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
HEK,Hesse-Kassel,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,7,15,11,3,0,0,1,codified_practical_knowledge;distillation;improved_husbandry;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;medical_degrees;organized_textile_production;periodical_print_networks;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery;traditional_food_processing;traditional_furniture_making;traditional_glassmaking,,,medical_degrees,READY_AFTER_CLASSIFICATION_DECISION
HER,Herat,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,RESEARCHED,7,10,5,2,0,2,0,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;traditional_food_processing;traditional_furniture_making;urbanization,,"codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks;regulated_small_arms->scientific_fortification_siegecraft",,READY_AFTER_TREE_FIX
HES,Hesse,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,7,13,9,3,0,1,1,codified_practical_knowledge;distillation;improved_husbandry;institutionalized_scientific_exchange;international_relations;medical_degrees;organized_textile_production;periodical_print_networks;regulated_small_arms;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking,,regulated_small_arms->scientific_fortification_siegecraft,medical_degrees,READY_AFTER_CLASSIFICATION_DECISION
HHE,Hehe,AFRICA,RESEARCHED,1,1,0,0,0,0,0,improved_husbandry,,,,READY
HLA,Halia,OCEANIA_PACIFIC,RESEARCHED,0,1,1,0,0,0,0,traditional_food_processing,,,,READY
HMB,Hemba,AFRICA,RESEARCHED,1,2,1,0,0,0,0,improved_husbandry;traditional_food_processing,,,,READY
HOH,Hohenzollern,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,7,5,2,4,0,0,0,distillation;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,,READY
HOL,Holstein,CENTRAL_EUROPE_GERMAN_ITALY,RESEARCHED,7,5,2,4,0,0,0,distillation;international_relations;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,,READY
HRO,Herero,AFRICA,RESEARCHED,1,3,2,0,0,0,1,improved_agricultural_implements;improved_husbandry;traditional_food_processing,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
HUN,Hungary,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,RESEARCHED,13,31,18,0,0,2,5,applied_mineralogy;armament_standardization_inspection;atmospheric_engine;distillation;improved_agricultural_implements;improved_husbandry;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;medical_degrees;organized_forestry;organized_textile_production;periodical_print_networks;permanent_engineer_services;political_economy;regulated_small_arms;scientific_fortification_siegecraft;shaft_mining;specialized_technical_academies;standardized_field_artillery;systematic_administrative_statistics;systematic_cadastral_surveying;systematic_legal_codification;systematic_population_registration;traditional_food_processing;traditional_furniture_making;traditional_glassmaking;traditional_papermaking;urbanization;variolation_networks;veterinary_science,,"atmospheric_engine->coke_smelting;political_economy->codified_practical_knowledge,commercial_insurance_markets",improved_agricultural_implements;medical_degrees;systematic_cadastral_surveying;systematic_legal_codification;systematic_population_registration,READY_AFTER_CLASSIFICATION_DECISION
HYD,Hyderabad,SOUTH_ASIA,RESEARCHED,13,16,6,3,1,2,3,advanced_crop_rotations;codified_practical_knowledge;distillation;improved_agricultural_implements;improved_husbandry;institutionalized_public_credit;international_relations;organized_textile_production;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making;traditional_papermaking,cotton_gin,"advanced_crop_rotations->selective_breeding;codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks",advanced_crop_rotations;improved_agricultural_implements;sugar_refining,NEEDS_REVIEW
IBO,Igbo,AFRICA,RESEARCHED,1,5,4,0,0,0,1,improved_agricultural_implements;improved_husbandry;organized_textile_production;traditional_food_processing;traditional_furniture_making,,,improved_agricultural_implements,READY_AFTER_CLASSIFICATION_DECISION
IDA,Idar,SOUTH_ASIA,RESEARCHED,6,4,2,4,0,0,1,distillation;improved_husbandry;sugar_refining;traditional_food_processing,,,sugar_refining,READY_AFTER_CLASSIFICATION_DECISION
IND,Indore,SOUTH_ASIA,RESEARCHED,6,12,7,1,1,2,3,advanced_crop_rotations;codified_practical_knowledge;distillation;improved_agricultural_implements;improved_husbandry;international_relations;organized_textile_production;sugar_refining;systematic_administrative_statistics;traditional_food_processing;traditional_furniture_making;traditional_papermaking,cotton_gin,"advanced_crop_rotations->selective_breeding;codified_practical_knowledge->institutionalized_scientific_exchange,periodical_print_networks",advanced_crop_rotations;improved_agricultural_implements;sugar_refining,NEEDS_REVIEW
