tech_id,name,effective_definition_source,category,era,researchable,visible,in_TECH3A_index,vanilla_original,TECH1A_operation,TECH2H_disposition,mapped_TECH3A_owner,current_prerequisites,current_successors,unlock_count,reference_count,count_source,notes
diagonal_ship_framing,Diagonal Ship Framing,common/technology/technologies/25_tech3a_naval.txt,military,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,diagonal_ship_framing,scientific_naval_architecture,iron_hull_construction,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
explosive_field_ammunition,Explosive Ammunition,common/technology/technologies/20_tech3a_military.txt,military,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,explosive_field_ammunition,standardized_field_artillery,standardized_military_rockets,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
field_engineering_pontoon_trains,Engineers & Pontoons,common/technology/technologies/20_tech3a_military.txt,military,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_REWIRE,field_engineering_pontoon_trains,permanent_engineer_services;logistics,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
hydrographic_surveying,Hydrographic Surveying,common/technology/technologies/25_tech3a_naval.txt,military,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,hydrographic_surveying,marine_chronometry;military_topographic_surveying,maritime_safety_standards;modern_lighthouse_optics,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
logistics,Logistics,common/technology/technologies/20_tech3a_military.txt,military,era_5,yes,yes,yes,yes,REPLACE,TECH3A_IMPLEMENTED_REWIRE,logistics,corps_organization,battlefield_evacuation;electric_telegraph;enlistment_offices;field_engineering_pontoon_trains;general_staff;triage,2,12,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
mechanized_naval_dockyards,Mechanized Dockyards,common/technology/technologies/25_tech3a_naval.txt,military,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_RETIME,mechanized_naval_dockyards,scientific_naval_architecture;state_dockyard_systems;enclosed_dock_systems,gantry_cranes;iron_hull_construction,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
military_veterinary_services,Veterinary Services,common/technology/technologies/20_tech3a_military.txt,military,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,military_veterinary_services,horse_artillery,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
paddle_steamer,Paddle Steamer,common/technology/technologies/25_tech3a_naval.txt,military,era_5,yes,yes,yes,yes,RETIME,TECH3A_IMPLEMENTED_RETIME,paddle_steamer,scientific_naval_architecture,screw_frigate,0,3,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
rifling,Rifling,common/technology/technologies/20_tech3a_military.txt,military,era_5,yes,yes,yes,yes,REWIRE,TECH3A_IMPLEMENTED_REWIRE,rifling,light_infantry_tactics;armament_standardization_inspection,percussion_cap;repeaters,3,69,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
standardized_military_rockets,Military Rockets,common/technology/technologies/20_tech3a_military.txt,military,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,standardized_military_rockets,explosive_field_ammunition;armament_standardization_inspection,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
standardized_naval_signals,Naval Signals,common/technology/technologies/25_tech3a_naval.txt,military,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,standardized_naval_signals,scientific_naval_architecture,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
canneries,Canneries,common/technology/technologies/10_tech3a_production.txt,production,era_5,yes,yes,yes,yes,RETIME,TECH3A_IMPLEMENTED_RETIME,canneries,automated_flour_milling,mechanized_workshops,3,7,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
coal_gasification,Coal Gasification,common/technology/technologies/10_tech3a_production.txt,production,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,coal_gasification,industrial_acids;coke_smelting,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
continuous_papermaking,Continuous Papermaking,common/technology/technologies/10_tech3a_production.txt,production,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,continuous_papermaking,precision_boring,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
distillation,Distillation,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,production,era_5,yes,yes,no,yes,SPLIT,NOT_EXPLICITLY_DISPOSED_BY_TECH2H,distillation;fractional_distillation;industrial_acids,manufacturies,fractional_distillation,2,7,TECH1A_VANILLA_AUDIT,Active Era I-VI vanilla compatibility definition not present in the TECH3A implemented index.
high_pressure_steam,High-Pressure Steam,common/technology/technologies/10_tech3a_production.txt,production,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_KEEP,high_pressure_steam,atmospheric_engine;mechanical_tools,railways;watertube_boiler,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
improved_road_engineering,Road Engineering,common/technology/technologies/10_tech3a_production.txt,production,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,improved_road_engineering,turnpike_road_networks,professional_civil_engineering;systematic_field_drainage,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
industrial_alkalis,Industrial Alkalis,common/technology/technologies/10_tech3a_production.txt,production,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_KEEP,industrial_alkalis,industrial_acids,pressed_glass,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
intensive_agriculture,Intensive Agriculture,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,production,era_5,yes,yes,no,yes,SPLIT,TECH2H_SPLIT_RELATIONSHIPS_ASSIGNED_9,advanced_crop_rotations;selective_breeding;industrial_acids;deep_mine_engineering,enclosure,improved_fertilizer,6,17,TECH1A_VANILLA_AUDIT,Active Era I-VI vanilla compatibility definition not present in the TECH3A implemented index.
lathe,Lathe,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,production,era_5,yes,yes,no,yes,MERGE,NOT_EXPLICITLY_DISPOSED_BY_TECH2H,mechanical_tools;precision_boring;crystal_glass,cotton_gin,crystal_glass,3,10,TECH1A_VANILLA_AUDIT,Active Era I-VI vanilla compatibility definition not present in the TECH3A implemented index.
mechanical_tools,Mechanical Tools,common/technology/technologies/10_tech3a_production.txt,production,era_5,yes,yes,yes,yes,MERGE,TECH3A_IMPLEMENTED_MERGE,mechanical_tools,precision_boring,fractional_distillation;high_pressure_steam;hydraulic_turbines;interchangeable_manufacture;mechanized_workshops;pressed_glass,9,20,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
mechanized_weaving,Mechanized Weaving,common/technology/technologies/10_tech3a_production.txt,production,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,mechanized_weaving,advanced_spinning;rotative_steam_power,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
mine_safety_engineering,Mine Safety Engineering,common/technology/technologies/10_tech3a_production.txt,production,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,mine_safety_engineering,deep_mine_engineering,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
professional_civil_engineering,Civil Engineering,common/technology/technologies/10_tech3a_production.txt,production,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_REWIRE,professional_civil_engineering,industrial_canals;improved_road_engineering,geological_surveying;hydraulic_cements;hydraulic_turbines;railways,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
systematic_field_drainage,Field Drainage,common/technology/technologies/10_tech3a_production.txt,production,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,systematic_field_drainage,advanced_crop_rotations;improved_road_engineering,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
active_principle_pharmacy,Active Principles,common/technology/technologies/30_tech3a_society.txt,society,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,active_principle_pharmacy,experimental_research_laboratories;medical_degrees,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
central_statistical_offices,Statistical Offices,common/technology/technologies/30_tech3a_society.txt,society,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_KEEP,central_statistical_offices,systematic_administrative_statistics;systematic_population_registration,identification_documents;macroeconomics,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
clinicopathological_medicine,Clinical Pathology,common/technology/technologies/30_tech3a_society.txt,society,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,clinicopathological_medicine,medical_degrees;experimental_research_laboratories,psychoanalysis,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
experimental_research_laboratories,Research Laboratories,common/technology/technologies/30_tech3a_society.txt,society,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,experimental_research_laboratories,polytechnical_education;institutionalized_scientific_exchange,active_principle_pharmacy;antibiotics;behaviorism;camera;clinicopathological_medicine;philosophical_pragmatism;specialized_professional_societies,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
mechanized_printing,Mechanized Printing,common/technology/technologies/30_tech3a_society.txt,society,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,mechanized_printing,periodical_print_networks,mass_circulation_press,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
organized_immunization_campaigns,Immunization Campaigns,common/technology/technologies/30_tech3a_society.txt,society,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,organized_immunization_campaigns,vaccination,pharmaceuticals,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
postal_savings,Postal Savings,common/technology/technologies/30_tech3a_society.txt,society,era_5,yes,yes,yes,yes,RETIME,TECH3A_IMPLEMENTED_RETIME,postal_savings,institutionalized_public_credit,mutual_funds,0,3,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
specialized_professional_societies,Professional Societies,common/technology/technologies/30_tech3a_society.txt,society,era_5,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,specialized_professional_societies,specialized_technical_academies;experimental_research_laboratories,analytical_philosophy,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
general_staff,General Staff,common/technology/technologies/20_tech3a_military.txt,military,era_6,yes,yes,yes,yes,RETIME,TECH3A_IMPLEMENTED_RETIME,general_staff,corps_organization;military_topographic_surveying;logistics,field_works;military_statistics,6,43,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
iron_hull_construction,Iron Hull Construction,common/technology/technologies/25_tech3a_naval.txt,military,era_6,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_KEEP,iron_hull_construction,scientific_naval_architecture;mechanized_naval_dockyards;diagonal_ship_framing,ironclad_tech,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
maritime_safety_standards,Maritime Safety,common/technology/technologies/25_tech3a_naval.txt,military,era_6,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,maritime_safety_standards,ship_classification_surveying;hydrographic_surveying,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
modern_lighthouse_optics,Modern Lighthouse Optics,common/technology/technologies/25_tech3a_naval.txt,military,era_6,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,modern_lighthouse_optics,hydrographic_surveying,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
percussion_cap,Percussion Cap,common/technology/technologies/20_tech3a_military.txt,military,era_6,yes,yes,yes,yes,RETIME,TECH3A_IMPLEMENTED_RETIME,percussion_cap,armament_standardization_inspection;rifling,repeaters,2,14,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
shell_gun,Shell Gun,common/technology/technologies/25_tech3a_naval.txt,military,era_6,yes,yes,yes,yes,RETIME,TECH3A_IMPLEMENTED_RETIME,shell_gun,standardized_field_artillery;scientific_naval_architecture,breech_loading_artillery;self_propelled_torpedoes,5,10,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
crystal_glass,Crystal Glass,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,production,era_6,yes,yes,no,yes,RETIME,NOT_EXPLICITLY_DISPOSED_BY_TECH2H,crystal_glass;pressed_glass,lathe,NONE,1,4,TECH1A_VANILLA_AUDIT,Active Era I-VI vanilla compatibility definition not present in the TECH3A implemented index.
fractional_distillation,Fractional Distillation,common/technology/technologies/10_tech3a_production.txt,production,era_6,yes,yes,yes,yes,KEEP,TECH3A_IMPLEMENTED_RETIME,fractional_distillation,mechanical_tools;industrial_acids;distillation,aniline,3,8,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
geological_surveying,Geological Surveying,common/technology/technologies/10_tech3a_production.txt,production,era_6,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,geological_surveying,applied_mineralogy;professional_civil_engineering,prospecting,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
hot_blast_smelting,Hot Blast Smelting,common/technology/technologies/10_tech3a_production.txt,production,era_6,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,hot_blast_smelting,puddling_and_rolling;rotative_steam_power,bessemer_process;steelworking,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
hydraulic_cements,Hydraulic Cements,common/technology/technologies/10_tech3a_production.txt,production,era_6,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_KEEP,hydraulic_cements,professional_civil_engineering;industrial_ceramics,reinforced_concrete,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
hydraulic_turbines,Hydraulic Turbines,common/technology/technologies/10_tech3a_production.txt,production,era_6,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,hydraulic_turbines,professional_civil_engineering;mechanical_tools,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
interchangeable_manufacture,Interchangeable Parts,common/technology/technologies/10_tech3a_production.txt,production,era_6,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_SPLIT,interchangeable_manufacture,mechanical_tools,shift_work;vacuum_canning,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
pressed_glass,Pressed Glass,common/technology/technologies/10_tech3a_production.txt,production,era_6,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_RETIME,pressed_glass,industrial_ceramics;industrial_alkalis;mechanical_tools,automatic_bottle_blowers,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
railways,Railways,common/technology/technologies/10_tech3a_production.txt,production,era_6,yes,yes,yes,yes,RETIME,TECH3A_IMPLEMENTED_RETIME,railways,high_pressure_steam;puddling_and_rolling;professional_civil_engineering,steel_railway_cars,34,93,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
early_socialism_cooperativism,Socialism & Cooperatives,common/technology/technologies/30_tech3a_society.txt,society,era_6,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_RETIME,early_socialism_cooperativism,organized_reform_movements;classical_political_economy,anarchism;socialism,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
labor_movement,Labor Movement,common/technology/technologies/30_tech3a_society.txt,society,era_6,yes,yes,yes,yes,RETIME,TECH3A_IMPLEMENTED_RETIME,labor_movement,organized_reform_movements,corporatism;socialism,5,22,TECH1A_VANILLA_AUDIT,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
liberal_constitutionalism,Liberal Constitution,common/technology/technologies/30_tech3a_society.txt,society,era_6,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,liberal_constitutionalism,constitutional_government;human_rights;classical_political_economy,NONE,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
mass_circulation_press,Mass-Circulation Press,common/technology/technologies/30_tech3a_society.txt,society,era_6,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_NEW,mass_circulation_press,mechanized_printing;organized_elementary_schooling,political_agitation,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
pharmaceuticals,Pharmaceuticals,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,society,era_6,yes,yes,no,yes,SPLIT,TECH2H_SPLIT_RELATIONSHIPS_ASSIGNED_5,active_principle_pharmacy,medical_degrees;organized_immunization_campaigns,antibiotics;quinine,2,20,TECH1A_VANILLA_AUDIT,Active Era I-VI vanilla compatibility definition not present in the TECH3A implemented index.
professional_civil_policing,Civil Policing,common/technology/technologies/30_tech3a_society.txt,society,era_6,yes,yes,yes,no,NEW_TECH3A,TECH3A_IMPLEMENTED_RETIME,professional_civil_policing,systematic_legal_codification;systematic_administrative_statistics,law_enforcement,0,0,CURRENT_EXTERNAL_TEXT_OCCURRENCES,TECH3A indexed node; final gameplay responsibility transfers were deferred by TECH3A.
