Building,Building_Unlock_Tech,Building_Era,Production_Method,PM_Unlock_Techs,PM_Min_Era,Gap,Ancestor_Status,Violation,Decision
building_furniture_manufactory,organized_workshops,era_1,pm_luxury_furniture,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_furniture_manufactory,organized_workshops,era_1,pm_no_luxuries,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_furniture_manufactory,organized_workshops,era_1,pm_precision_tools,mechanical_tools,era_5,4,YES,NO,GUARANTEED_BY_PM_GATE
building_giza_necropolis,,UNLOCKED,pm_dummy,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_glassworks,traditional_glassmaking,era_2,pm_crystal_glass,crystal_glass,era_4,2,YES,NO,GUARANTEED_BY_PM_GATE
building_glassworks,traditional_glassmaking,era_2,pm_forest_glass,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_glassworks,traditional_glassmaking,era_2,pm_houseware_plastics,plastics,era_10,8,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_glassworks,traditional_glassmaking,era_2,pm_leaded_glass,industrial_ceramics,era_3,1,YES,NO,GUARANTEED_BY_PM_GATE
building_glassworks,traditional_glassmaking,era_2,pm_pressed_glass,pressed_glass,era_6,4,YES,NO,GUARANTEED_BY_PM_GATE
building_glassworks,traditional_glassmaking,era_2,pm_automatic_bottle_blowers,automatic_bottle_blowers,era_10,8,YES,NO,GUARANTEED_BY_PM_GATE
building_glassworks,traditional_glassmaking,era_2,pm_manual_glassblowing,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_glassworks,traditional_glassmaking,era_2,pm_unit_electric_drive_building_glassworks,electrical_capacitors,era_9,7,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_glassworks,traditional_glassmaking,era_2,pm_bone_china,chemical_bleaching,era_5,3,YES,NO,GUARANTEED_BY_PM_GATE
building_glassworks,traditional_glassmaking,era_2,pm_ceramics,industrial_ceramics,era_3,1,YES,NO,GUARANTEED_BY_PM_GATE
building_glassworks,traditional_glassmaking,era_2,pm_disabled_ceramics,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_gold_mine,applied_mineralogy,era_3,pm_dynamite_building_gold_mine,dynamite,era_8,5,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_gold_mine,applied_mineralogy,era_3,pm_nitroglycerin_building_gold_mine,nitroglycerin,era_7,4,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_gold_mine,applied_mineralogy,era_3,pm_no_explosives,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_gold_mine,applied_mineralogy,era_3,pm_electric_mine_ventilation,deep_mine_engineering;electrical_capacitors,era_9,6,YES,NO,GUARANTEED_BY_PM_GATE
building_gold_mine,applied_mineralogy,era_3,pm_no_mine_ventilation,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_gold_mine,applied_mineralogy,era_3,pm_steam_mine_ventilation,deep_mine_engineering,era_4,1,YES,NO,GUARANTEED_BY_PM_GATE
building_gold_mine,applied_mineralogy,era_3,pm_atmospheric_engine_pump_building_gold_mine,applied_mineralogy;atmospheric_engine,era_3,0,YES,NO,GUARANTEED_BY_PM_GATE
building_gold_mine,applied_mineralogy,era_3,pm_condensing_engine_pump_building_gold_mine,applied_mineralogy;condensing_steam_engines,era_4,1,YES,NO,GUARANTEED_BY_PM_GATE
building_gold_mine,applied_mineralogy,era_3,pm_diesel_pump_building_gold_mine,compression_ignition,era_11,8,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_gold_mine,applied_mineralogy,era_3,pm_picks_and_shovels_building_gold_mine,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_gold_mine,applied_mineralogy,era_3,pm_no_ore_concentration_building_gold_mine,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_gold_mine,applied_mineralogy,era_3,pm_ore_concentration_building_gold_mine,geological_surveying,era_6,3,YES,NO,GUARANTEED_BY_PM_GATE
building_gold_mine,applied_mineralogy,era_3,pm_no_steam_automation,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_gold_mine,applied_mineralogy,era_3,pm_steam_donkey_mine,steam_donkey,era_9,6,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_gold_mine,applied_mineralogy,era_3,pm_rail_transport_mine,railways,era_6,3,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_gold_mine,applied_mineralogy,era_3,pm_road_carts,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_government_administration,systematic_administrative_statistics,era_2,pm_horizontal_drawer_cabinets,systematic_population_registration,era_3,1,YES,NO,GUARANTEED_BY_PM_GATE
building_government_administration,systematic_administrative_statistics,era_2,pm_simple_organization,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_government_administration,systematic_administrative_statistics,era_2,pm_switch_boards,central_planning,era_11,9,YES,NO,GUARANTEED_BY_PM_GATE
building_government_administration,systematic_administrative_statistics,era_2,pm_tabulating_offices,central_statistical_offices;electrical_capacitors,era_9,7,YES,NO,GUARANTEED_BY_PM_GATE
building_government_administration,systematic_administrative_statistics,era_2,pm_vertical_filing_cabinets,central_statistical_offices,era_5,3,YES,NO,GUARANTEED_BY_PM_GATE
building_government_administration,systematic_administrative_statistics,era_2,pm_hereditary_bureaucrats,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_government_administration,systematic_administrative_statistics,era_2,pm_professional_bureaucrats,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_government_administration,systematic_administrative_statistics,era_2,pm_religious_bureaucrats,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_government_administration,systematic_administrative_statistics,era_2,pm_secular_bureaucrats,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_gran_teatro_de_la_habana,pneumatic_tools,era_10,pm_default_building_gran_teatro_de_la_habana,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_gran_teatro_de_la_habana,pneumatic_tools,era_10,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_gran_teatro_de_la_habana,pneumatic_tools,era_10,pm_monument_prestige_only,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_hagia_sophia,,UNLOCKED,pm_default_building_hagia_sophia,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_hagia_sophia,,UNLOCKED,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_hagia_sophia,,UNLOCKED,pm_monument_prestige_only,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_halloween_castledracula,,UNLOCKED,pm_dummy,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_iron_mine,shaft_mining,era_1,pm_dynamite_building_iron_mine,dynamite,era_8,7,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_iron_mine,shaft_mining,era_1,pm_nitroglycerin_building_iron_mine,nitroglycerin,era_7,6,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_iron_mine,shaft_mining,era_1,pm_no_explosives,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_iron_mine,shaft_mining,era_1,pm_electric_mine_ventilation,deep_mine_engineering;electrical_capacitors,era_9,8,YES,NO,GUARANTEED_BY_PM_GATE
building_iron_mine,shaft_mining,era_1,pm_no_mine_ventilation,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_iron_mine,shaft_mining,era_1,pm_steam_mine_ventilation,deep_mine_engineering,era_4,3,YES,NO,GUARANTEED_BY_PM_GATE
building_iron_mine,shaft_mining,era_1,pm_atmospheric_engine_pump_building_iron_mine,atmospheric_engine,era_2,1,YES,NO,GUARANTEED_BY_PM_GATE
building_iron_mine,shaft_mining,era_1,pm_condensing_engine_pump_building_iron_mine,condensing_steam_engines,era_4,3,YES,NO,GUARANTEED_BY_PM_GATE
building_iron_mine,shaft_mining,era_1,pm_diesel_pump_building_iron_mine,compression_ignition,era_11,10,YES,NO,GUARANTEED_BY_PM_GATE
building_iron_mine,shaft_mining,era_1,pm_picks_and_shovels_building_iron_mine,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_iron_mine,shaft_mining,era_1,pm_no_ore_concentration_building_iron_mine,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_iron_mine,shaft_mining,era_1,pm_ore_concentration_building_iron_mine,geological_surveying,era_6,5,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_iron_mine,shaft_mining,era_1,pm_no_steam_automation,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_iron_mine,shaft_mining,era_1,pm_steam_donkey_mine,steam_donkey,era_9,8,YES,NO,GUARANTEED_BY_PM_GATE
building_iron_mine,shaft_mining,era_1,pm_rail_transport_mine,railways,era_6,5,YES,NO,GUARANTEED_BY_PM_GATE
building_iron_mine,shaft_mining,era_1,pm_road_carts,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_kaiserforum_1,reinforced_concrete,era_8,pm_default_building_kaiserforum_1,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_kaiserforum_1,reinforced_concrete,era_8,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_kaiserforum_1,reinforced_concrete,era_8,pm_monument_prestige_only,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_kaiserforum_2,,UNLOCKED,pm_default_building_kaiserforum_2,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_kaiserforum_2,,UNLOCKED,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_kaiserforum_2,,UNLOCKED,pm_monument_prestige_only,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_kaiserforum_3,,UNLOCKED,pm_default_building_kaiserforum_3,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_kaiserforum_3,,UNLOCKED,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_kaiserforum_3,,UNLOCKED,pm_monument_prestige_only,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_kaiserforum_4,,UNLOCKED,pm_default_building_kaiserforum_4,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_kaiserforum_4,,UNLOCKED,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_kaiserforum_4,,UNLOCKED,pm_monument_prestige_only,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_khaju_bridge,,UNLOCKED,pm_dummy,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_kiel_canal,ironclad_tech,era_7,pm_canal,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_lead_mine,shaft_mining,era_1,pm_dynamite_building_lead_mine,dynamite,era_8,7,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_lead_mine,shaft_mining,era_1,pm_nitroglycerin_building_lead_mine,nitroglycerin,era_7,6,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_lead_mine,shaft_mining,era_1,pm_no_explosives,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_lead_mine,shaft_mining,era_1,pm_electric_mine_ventilation,deep_mine_engineering;electrical_capacitors,era_9,8,YES,NO,GUARANTEED_BY_PM_GATE
building_lead_mine,shaft_mining,era_1,pm_no_mine_ventilation,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_lead_mine,shaft_mining,era_1,pm_steam_mine_ventilation,deep_mine_engineering,era_4,3,YES,NO,GUARANTEED_BY_PM_GATE
building_lead_mine,shaft_mining,era_1,pm_atmospheric_engine_pump_building_lead_mine,atmospheric_engine,era_2,1,YES,NO,GUARANTEED_BY_PM_GATE
building_lead_mine,shaft_mining,era_1,pm_condensing_engine_pump_building_lead_mine,condensing_steam_engines,era_4,3,YES,NO,GUARANTEED_BY_PM_GATE
building_lead_mine,shaft_mining,era_1,pm_diesel_pump_building_lead_mine,compression_ignition,era_11,10,YES,NO,GUARANTEED_BY_PM_GATE
building_lead_mine,shaft_mining,era_1,pm_picks_and_shovels_building_lead_mine,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_lead_mine,shaft_mining,era_1,pm_no_ore_concentration_building_lead_mine,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_lead_mine,shaft_mining,era_1,pm_ore_concentration_building_lead_mine,geological_surveying,era_6,5,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_lead_mine,shaft_mining,era_1,pm_no_steam_automation,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_lead_mine,shaft_mining,era_1,pm_steam_donkey_mine,steam_donkey,era_9,8,YES,NO,GUARANTEED_BY_PM_GATE
building_lead_mine,shaft_mining,era_1,pm_rail_transport_mine,railways,era_6,5,YES,NO,GUARANTEED_BY_PM_GATE
building_lead_mine,shaft_mining,era_1,pm_road_carts,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_limestone_quarry,shaft_mining,era_1,pm_picks_and_shovels_building_limestone_quarry,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_limestone_quarry,shaft_mining,era_1,pm_crushing_and_screening_building_limestone_quarry,geological_surveying,era_6,5,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_limestone_quarry,shaft_mining,era_1,pm_no_stone_processing_building_limestone_quarry,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_livestock_ranch,improved_husbandry,era_1,pm_butchering_tools,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_livestock_ranch,improved_husbandry,era_1,pm_mechanized_slaughtering,mechanized_farming,era_7,6,YES,NO,GUARANTEED_BY_PM_GATE
building_livestock_ranch,improved_husbandry,era_1,pm_open_air_stockyards,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_livestock_ranch,improved_husbandry,era_1,pm_slaughterhouses,mechanical_tools,era_5,4,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_livestock_ranch,improved_husbandry,era_1,pm_barbed_wire_fences,field_works,era_7,6,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_livestock_ranch,improved_husbandry,era_1,pm_electric_fencing,electrical_generation,era_9,8,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_livestock_ranch,improved_husbandry,era_1,pm_standard_fences,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_livestock_ranch,improved_husbandry,era_1,pm_refrigerated_rail_cars_building_livestock_ranch,electric_railway,era_10,9,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_livestock_ranch,improved_husbandry,era_1,pm_refrigerated_storage_building_livestock_ranch,pasteurization,era_10,9,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_livestock_ranch,improved_husbandry,era_1,pm_unrefrigerated,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_livestock_ranch,improved_husbandry,era_1,pm_intensive_grazing_ranch,mechanized_farming,era_7,6,YES,NO,GUARANTEED_BY_PM_GATE
building_livestock_ranch,improved_husbandry,era_1,pm_sheep_farms,selective_breeding,era_3,2,YES,NO,GUARANTEED_BY_PM_GATE
building_livestock_ranch,improved_husbandry,era_1,pm_simple_ranch,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_logging_camp,,UNLOCKED,pm_electric_saw_mills,electrical_generation,era_9,,NO,NO,NOT_APPLICABLE
building_logging_camp,,UNLOCKED,pm_organized_forestry,organized_forestry,era_2,,NO,NO,NOT_APPLICABLE
building_logging_camp,,UNLOCKED,pm_saw_mills,mechanical_tools,era_5,,NO,NO,NOT_APPLICABLE
building_logging_camp,,UNLOCKED,pm_simple_forestry,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_logging_camp,,UNLOCKED,pm_chainsaws,combustion_engine,era_9,,NO,NO,NOT_APPLICABLE
building_logging_camp,,UNLOCKED,pm_no_equipment,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_logging_camp,,UNLOCKED,pm_steam_donkey_building_logging_camp,steam_donkey,era_9,,NO,NO,NOT_APPLICABLE
building_logging_camp,,UNLOCKED,pm_hardwood,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_logging_camp,,UNLOCKED,pm_increased_hardwood,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_logging_camp,,UNLOCKED,pm_no_hardwood,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_logging_camp,,UNLOCKED,pm_log_carts,electric_railway,era_10,,NO,NO,NOT_APPLICABLE
building_logging_camp,,UNLOCKED,pm_rail_transport_building_logging_camp,railways,era_6,,NO,NO,NOT_APPLICABLE
building_logging_camp,,UNLOCKED,pm_road_carts,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_machu_picchu,,UNLOCKED,pm_dummy,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_maize_farm,improved_husbandry,era_1,pm_chemical_fertilizer,nitrogen_fixation,era_11,10,YES,NO,GUARANTEED_BY_PM_GATE
building_maize_farm,improved_husbandry,era_1,pm_fertilization,improved_fertilizer,era_8,7,YES,NO,GUARANTEED_BY_PM_GATE
building_maize_farm,improved_husbandry,era_1,pm_simple_farming,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_maize_farm,improved_husbandry,era_1,pm_soil_enriching_farming,advanced_crop_rotations,era_3,2,YES,NO,GUARANTEED_BY_PM_GATE
building_maize_farm,improved_husbandry,era_1,pm_compression_ignition_tractors,compression_ignition,era_11,10,YES,NO,GUARANTEED_BY_PM_GATE
building_maize_farm,improved_husbandry,era_1,pm_steam_threshers,threshing_machine,era_4,3,YES,NO,GUARANTEED_BY_PM_GATE
building_maize_farm,improved_husbandry,era_1,pm_tools,improved_agricultural_implements,era_2,1,YES,NO,GUARANTEED_BY_PM_GATE
building_maize_farm,improved_husbandry,era_1,pm_tools_disabled,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_maize_farm,improved_husbandry,era_1,pm_tractors,mechanized_farming,era_7,6,YES,NO,GUARANTEED_BY_PM_GATE
building_maize_farm,improved_husbandry,era_1,pm_citrus_orchards,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_maize_farm,improved_husbandry,era_1,pm_no_secondary,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_manila_cathedral_monument,reinforced_concrete,era_8,pm_default_building_manila_cathedral_monument,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_manila_cathedral_monument,reinforced_concrete,era_8,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_manila_cathedral_monument,reinforced_concrete,era_8,pm_monument_prestige_only,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_manila_cathedral_original,,UNLOCKED,pm_dummy,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_manila_cathedral_ruins,,UNLOCKED,pm_default_building_manila_cathedral_ruins,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_manila_cathedral_ruins,,UNLOCKED,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_manila_cathedral_ruins,,UNLOCKED,pm_monument_prestige_only,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_manor_house,,UNLOCKED,pm_manor_house_bureaucrat_ownership,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_manor_house,,UNLOCKED,pm_manor_house_clergy_ownership,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_manor_house,,UNLOCKED,pm_manor_house_principle_divine_economics_2,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_manor_house,,UNLOCKED,pm_manor_house_privately_owned,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_martandsuntemple,,UNLOCKED,pm_dummy,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_millet_farm,improved_husbandry,era_1,pm_chemical_fertilizer,nitrogen_fixation,era_11,10,YES,NO,GUARANTEED_BY_PM_GATE
building_millet_farm,improved_husbandry,era_1,pm_fertilization,improved_fertilizer,era_8,7,YES,NO,GUARANTEED_BY_PM_GATE
building_millet_farm,improved_husbandry,era_1,pm_simple_farming,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_millet_farm,improved_husbandry,era_1,pm_soil_enriching_farming,advanced_crop_rotations,era_3,2,YES,NO,GUARANTEED_BY_PM_GATE
building_millet_farm,improved_husbandry,era_1,pm_compression_ignition_tractors,compression_ignition,era_11,10,YES,NO,GUARANTEED_BY_PM_GATE
building_millet_farm,improved_husbandry,era_1,pm_steam_threshers,threshing_machine,era_4,3,YES,NO,GUARANTEED_BY_PM_GATE
building_millet_farm,improved_husbandry,era_1,pm_tools,improved_agricultural_implements,era_2,1,YES,NO,GUARANTEED_BY_PM_GATE
building_millet_farm,improved_husbandry,era_1,pm_tools_disabled,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_millet_farm,improved_husbandry,era_1,pm_tractors,mechanized_farming,era_7,6,YES,NO,GUARANTEED_BY_PM_GATE
building_millet_farm,improved_husbandry,era_1,pm_fig_orchards,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_millet_farm,improved_husbandry,era_1,pm_no_secondary,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_mosque_of_djenne,,UNLOCKED,pm_default_building_mosque_of_djenne,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_mosque_of_djenne,,UNLOCKED,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_mosque_of_djenne,,UNLOCKED,pm_monument_prestige_only,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_motor_industry,rotative_steam_power,era_5,pm_assembly_lines_building_motor_industry,conveyors,era_10,5,YES,NO,GUARANTEED_BY_PM_GATE
building_motor_industry,rotative_steam_power,era_5,pm_automation_disabled,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_motor_industry,rotative_steam_power,era_5,pm_rotary_valve_engine_building_motor_industry,rotary_valve_engine,era_8,3,YES,NO,GUARANTEED_BY_PM_GATE
building_motor_industry,rotative_steam_power,era_5,pm_unit_electric_drive_building_motor_industry,electrical_capacitors,era_9,4,YES,NO,GUARANTEED_BY_PM_GATE
building_motor_industry,rotative_steam_power,era_5,pm_watertube_boiler_building_motor_industry,watertube_boiler,era_7,2,YES,NO,GUARANTEED_BY_PM_GATE
building_motor_industry,rotative_steam_power,era_5,pm_diesel_engines,compression_ignition,era_11,6,YES,NO,GUARANTEED_BY_PM_GATE
building_motor_industry,rotative_steam_power,era_5,pm_electric_engines,electric_railway,era_10,5,YES,NO,GUARANTEED_BY_PM_GATE
building_motor_industry,rotative_steam_power,era_5,pm_steam_engines,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_motor_industry,rotative_steam_power,era_5,pm_no_scientific_management,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_motor_industry,rotative_steam_power,era_5,pm_scientific_management,corporate_management,era_10,5,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_munition_plant,percussion_cap,era_5,pm_assembly_lines_building_munition_plant,conveyors,era_10,5,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_munition_plant,percussion_cap,era_5,pm_automation_disabled,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_munition_plant,percussion_cap,era_5,pm_rotary_valve_engine_building_munition_plant,rotary_valve_engine,era_8,3,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_munition_plant,percussion_cap,era_5,pm_explosive_shells,dynamite,era_8,3,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_munition_plant,percussion_cap,era_5,pm_percussion_caps,percussion_cap,era_5,0,YES,NO,GUARANTEED_BY_PM_GATE
building_munition_plant,percussion_cap,era_5,pm_no_scientific_management,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_munition_plant,percussion_cap,era_5,pm_scientific_management,corporate_management,era_10,5,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_naval_administration,state_dockyard_systems,era_1,pm_simple_sailor_recruitment,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_naval_fortification,scientific_fortification_siegecraft,era_1,pm_naval_fortification_advanced,concrete_fortifications,era_11,10,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_naval_fortification,scientific_fortification_siegecraft,era_1,pm_naval_fortification_basic,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_naval_fortification,scientific_fortification_siegecraft,era_1,pm_naval_fortification_reinforced,casemated_fortifications,era_5,4,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_naval_logistics_center,,UNLOCKED,pm_basic_naval_logistics_center,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_non_ferrous_metallurgy_works,aluminium_metallurgy,era_10,pm_hall_heroult_process,aluminium_metallurgy,era_10,0,YES,NO,GUARANTEED_BY_PM_GATE
building_observatorygreenwich,,UNLOCKED,pm_dummy,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_oil_refinery,fractional_distillation,era_6,pm_fractional_distillation_refinery,fractional_distillation,era_6,0,YES,NO,GUARANTEED_BY_PM_GATE
building_oil_refinery,fractional_distillation,era_6,pm_thermal_catalytic_cracking_refinery,plastics,era_10,4,YES,NO,GUARANTEED_BY_PM_GATE
building_oil_rig,pumpjacks,era_9,pm_combustion_derricks,combustion_engine;pumpjacks,era_9,0,YES,NO,GUARANTEED_BY_PM_GATE
building_oil_rig,pumpjacks,era_9,pm_steam_derricks,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_oil_rig,pumpjacks,era_9,pm_rail_transport_building_oil_rig,pumpjacks;railways,era_9,0,YES,NO,GUARANTEED_BY_PM_GATE
building_oil_rig,pumpjacks,era_9,pm_road_carts,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_oil_rig,pumpjacks,era_9,pm_tanker_cars,pumpjacks;steel_railway_cars,era_9,0,YES,NO,GUARANTEED_BY_PM_GATE
building_opium_plantation,improved_husbandry,era_1,pm_road_carts,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_opium_plantation,improved_husbandry,era_1,pm_steam_rail_transport,railways,era_6,5,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_palazzo_san_giorgio,,UNLOCKED,pm_default_building_palazzo_san_giorgio,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_palazzo_san_giorgio,,UNLOCKED,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_palazzo_san_giorgio,,UNLOCKED,pm_monument_prestige_only,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_panama_canal,civilizing_mission,era_8,pm_canal,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_paper_mill,traditional_papermaking,era_1,pm_automation_disabled,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_paper_mill,traditional_papermaking,era_1,pm_rotary_valve_engine_building_paper_mill,rotary_valve_engine,era_8,7,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_paper_mill,traditional_papermaking,era_1,pm_unit_electric_drive_building_paper_mill,electrical_capacitors,era_9,8,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_paper_mill,traditional_papermaking,era_1,pm_watertube_boiler_building_paper_mill,watertube_boiler,era_7,6,NO,NO,DOCUMENTED_LONG_GAP_EXCEPTION
building_paper_mill,traditional_papermaking,era_1,pm_bleached_paper,industrial_paper_bleaching,era_6,5,YES,NO,GUARANTEED_BY_PM_GATE
building_paper_mill,traditional_papermaking,era_1,pm_pulp_pressing,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_paper_mill,traditional_papermaking,era_1,pm_sulfite_pulping,continuous_papermaking,era_5,4,YES,NO,GUARANTEED_BY_PM_GATE
building_pena_convent,,UNLOCKED,pm_default_building_pena_convent,,UNLOCKED,,NO,NO,NOT_APPLICABLE
building_pena_convent,,UNLOCKED,pm_monument_no_effects,,UNLOCKED,,NO,NO,NOT_APPLICABLE
