TAG,Country,Audit_Region,Research_Region,Research_Coverage,Current_Tier,Regional_Tier_Action,Synthesis_Strategy,Recommended_Tier,Current_Tech_Count,Final_Tech_Count,ADD_Count,REMOVE_Count,Review_Present_Kept_Count,Review_Absent_Left_Absent_Count,ADD_Technologies,REMOVE_Technologies,Tier_Derived_REMOVEs,Explicit_REMOVEs,Final_Technologies,Source_File,Synthesis_Note,Post_Tier_Change_Explicit_Adds,Post_Tier_Change_Tier_Removals
DAH,Dahomey,West Africa,AFRICA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,7,7,0,0,1,1,,,,,codified_practical_knowledge;improved_husbandry;international_relations;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,common/history/countries/dah - dahomey.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
DAI,Dai Nam,Indochina,EAST_ASIA_SE_ASIA,MATRIX,tier_5,KEEP_TIER,KEEP_TIER_AND_PATCH,,7,10,3,0,2,1,international_relations;regulated_small_arms;scientific_fortification_siegecraft,,,,codified_practical_knowledge;improved_husbandry;international_relations;organized_textile_production;regulated_small_arms;scientific_fortification_siegecraft;selective_breeding;shaft_mining;systematic_administrative_statistics;urbanization,common/history/countries/dai - dai viet.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
DAK,Dar al Kuti,Equatorial Africa,AFRICA,MATRIX,tier_7,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,0,1,1,0,0,0,improved_husbandry,,,,improved_husbandry,C:\Games\Victoria 3\game\common\history\countries\dak - dar al kuti.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
DEI,East Indies,Indonesia,EAST_ASIA_SE_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,13,16,4,1,1,1,enclosed_dock_systems;scientific_fortification_siegecraft;scientific_naval_architecture;state_dockyard_systems,joint_stock_companies,,joint_stock_companies,codified_practical_knowledge;colonization;distillation;enclosed_dock_systems;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;shaft_mining;standardized_field_artillery;state_dockyard_systems;systematic_administrative_statistics;urbanization,common/history/countries/dei - dutch east indies company.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
DEN,Denmark,Northern Europe,NORTHERN_EASTERN_EUROPE,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,12,20,9,1,0,0,colonization;enclosed_dock_systems;institutionalized_scientific_exchange;periodical_print_networks;scientific_fortification_siegecraft;scientific_naval_architecture;state_dockyard_systems;systematic_cadastral_surveying;systematic_population_registration,shaft_mining,shaft_mining,,codified_practical_knowledge;colonization;distillation;enclosed_dock_systems;improved_husbandry;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;organized_textile_production;periodical_print_networks;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;specialized_technical_academies;standardized_field_artillery;state_dockyard_systems;systematic_administrative_statistics;systematic_cadastral_surveying;systematic_population_registration;urbanization,common/history/countries/den - denmark.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
DENNOR,Denmark-Norway,Northern Europe,NORTHERN_EASTERN_EUROPE,MATRIX,tier_4,KEEP_TIER,KEEP_TIER_AND_PATCH,tier_4,13,22,9,0,0,0,applied_mineralogy;enclosed_dock_systems;institutionalized_scientific_exchange;periodical_print_networks;scientific_fortification_siegecraft;scientific_naval_architecture;state_dockyard_systems;systematic_cadastral_surveying;systematic_population_registration,,,,applied_mineralogy;codified_practical_knowledge;colonization;distillation;enclosed_dock_systems;improved_husbandry;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;organized_textile_production;periodical_print_networks;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;shaft_mining;specialized_technical_academies;standardized_field_artillery;state_dockyard_systems;systematic_administrative_statistics;systematic_cadastral_surveying;systematic_population_registration;urbanization,common/history/countries/dennor - denmark-norway.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
DFR,Darfur,Nile Basin,AFRICA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,6,7,1,0,1,0,international_relations,,,,codified_practical_knowledge;improved_husbandry;international_relations;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\dfr - darfur.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
DFT,Dar Fertit,Nile Basin,AFRICA,MATRIX,tier_7,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,0,1,1,0,0,0,improved_husbandry,,,,improved_husbandry,C:\Games\Victoria 3\game\common\history\countries\dft - dar fertit.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
DGR,Degar,Indochina,EAST_ASIA_SE_ASIA,MATRIX,tier_6,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,2,1,0,1,0,0,,urbanization,urbanization,,improved_husbandry,C:\Games\Victoria 3\game\common\history\countries\dgr - degar.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
DHA,Dharampur,North India,SOUTH_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,7,0,4,1,0,,light_infantry_tactics;regulated_small_arms;shaft_mining;standardized_field_artillery,light_infantry_tactics;regulated_small_arms;shaft_mining;standardized_field_artillery,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\dha - dharmpur.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
DIN,Kel Dinnik,West Africa,AFRICA,MATRIX,tier_6,REVIEW_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,1,0,,,,,improved_husbandry;urbanization,C:\Games\Victoria 3\game\common\history\countries\din - dinnik.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
DIO,Diola,West Africa,AFRICA,MATRIX,tier_7,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,0,1,1,0,0,0,improved_husbandry,,,,improved_husbandry,C:\Games\Victoria 3\game\common\history\countries\dio - diola.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
DLA,Duala,Equatorial Africa,AFRICA,MATRIX,tier_7,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,0,1,1,0,0,0,improved_husbandry,,,,improved_husbandry,C:\Games\Victoria 3\game\common\history\countries\dla - duala.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
DLM,Delim,North Africa,AFRICA,MATRIX,tier_6,REVIEW_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,1,0,,,,,improved_husbandry;urbanization,C:\Games\Victoria 3\game\common\history\countries\dlm - delim.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
DNK,Dinka,Nile Basin,AFRICA,MATRIX,tier_7,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,0,1,1,0,0,0,improved_husbandry,,,,improved_husbandry,C:\Games\Victoria 3\game\common\history\countries\dnk - dinka.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
DUR,Afghanistan,Greater Persia,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,7,7,0,0,2,1,,,,,codified_practical_knowledge;improved_husbandry;international_relations;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,common/history/countries/dur - durrani empire.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
ECU,Ecuador,The Andes,AMERICAS_CARIBBEAN,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,13,10,0,3,2,0,,codified_practical_knowledge;regulated_small_arms;standardized_field_artillery,codified_practical_knowledge;regulated_small_arms;standardized_field_artillery,,colonization;distillation;improved_husbandry;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,common/history/countries/ecu - ecuador.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
EGY,Egypt,Nile Basin,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,MATRIX,tier_3,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,16,12,1,5,4,0,traditional_food_processing,applied_mineralogy;coke_smelting;commercial_insurance_markets;medical_degrees;specialized_technical_academies,applied_mineralogy;coke_smelting;commercial_insurance_markets;medical_degrees;specialized_technical_academies,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;traditional_food_processing;urbanization,common/history/countries/egy - egypt.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
ETH,Ethiopia,East Africa,AFRICA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,7,7,0,0,1,1,,,,,codified_practical_knowledge;improved_husbandry;international_relations;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,common/history/countries/eth - ethopian empire.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
EWE,Ewe,West Africa,AFRICA,MATRIX,tier_7,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,0,1,1,0,0,0,improved_husbandry,,,,improved_husbandry,C:\Games\Victoria 3\game\common\history\countries\ewe - ewe.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
EZO,Ezochi,Northeast Asia,EAST_ASIA_SE_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,7,0,4,5,0,,light_infantry_tactics;regulated_small_arms;shaft_mining;standardized_field_artillery,light_infantry_tactics;regulated_small_arms;shaft_mining;standardized_field_artillery,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;systematic_administrative_statistics;urbanization,common/history/countries/ezo - ezochi.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
FIN,Finland,Northern Europe,NORTHERN_EASTERN_EUROPE,MATRIX,tier_2,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,19,17,4,6,2,0,scientific_naval_architecture;systematic_administrative_statistics;systematic_cadastral_surveying;systematic_population_registration,atmospheric_engine;coke_smelting;commercial_insurance_markets;institutionalized_public_credit;precision_boring;stock_exchange,atmospheric_engine;coke_smelting;commercial_insurance_markets;institutionalized_public_credit;precision_boring;stock_exchange,,distillation;enclosed_dock_systems;improved_husbandry;institutionalized_scientific_exchange;international_relations;organized_forestry;organized_textile_production;periodical_print_networks;scientific_fortification_siegecraft;scientific_naval_architecture;shaft_mining;state_dockyard_systems;systematic_administrative_statistics;systematic_cadastral_surveying;systematic_population_registration;traditional_food_processing;traditional_papermaking,C:\Games\Victoria 3\game\common\history\countries\fin - finland.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
FJI,Fiji,Oceania,OCEANIA_PACIFIC,MATRIX,tier_7,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,0,3,3,0,0,1,improved_husbandry;international_relations;traditional_food_processing,,,,improved_husbandry;international_relations;traditional_food_processing,C:\Games\Victoria 3\game\common\history\countries\fji - fiji.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
FNG,Fang,Equatorial Africa,AFRICA,MATRIX,tier_7,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,0,1,1,0,0,0,improved_husbandry,,,,improved_husbandry,C:\Games\Victoria 3\game\common\history\countries\fng - fang.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
FRA,France,Western Europe,WESTERN_EUROPE,MATRIX,tier_4,KEEP_TIER,KEEP_TIER_AND_PATCH,,16,24,9,1,0,2,atmospheric_engine;enclosed_dock_systems;industrial_canals;institutionalized_scientific_exchange;periodical_print_networks;permanent_engineer_services;scientific_fortification_siegecraft;scientific_naval_architecture;state_dockyard_systems,romanticism,,romanticism,atmospheric_engine;codified_practical_knowledge;colonization;distillation;enclosed_dock_systems;improved_husbandry;industrial_canals;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;organized_textile_production;periodical_print_networks;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;shaft_mining;specialized_technical_academies;standardized_field_artillery;state_dockyard_systems;systematic_administrative_statistics;systematic_population_registration;traditional_food_processing;urbanization,common/history/countries/fra - france.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
FRM,Frankfurt,Central Europe,CENTRAL_EUROPE_GERMAN_ITALY,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,11,11,0,0,4,0,,,,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;urbanization,common/history/countries/frm - frankfurt am main.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
FTJ,Futa Jallon,West Africa,AFRICA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,6,6,0,0,2,0,,,,,codified_practical_knowledge;improved_husbandry;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\ftj - futa jallon.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
FTR,Futa Toro,West Africa,AFRICA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,6,6,0,0,2,0,,,,,codified_practical_knowledge;improved_husbandry;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\ftr - futa toro.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
FZN,Fezzan,North Africa,AFRICA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,11,11,0,0,5,0,,,,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\fzn - fezzan.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
GAL,Galicia-Lodomeria,Eastern Europe,UNRESEARCHED,GAP,tier_4,UNRESEARCHED,KEEP_CURRENT_RESEARCH_GAP,,13,13,0,0,0,0,,,,,codified_practical_knowledge;distillation;improved_husbandry;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;systematic_legal_codification;urbanization,common/history/countries/gal - austrian poland.txt,No regional deliverable covered this TAG. Preserve current setup in this pass.,,
GAR,Garhwal,North India,SOUTH_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,7,0,4,2,0,,light_infantry_tactics;regulated_small_arms;shaft_mining;standardized_field_artillery,light_infantry_tactics;regulated_small_arms;shaft_mining;standardized_field_artillery,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\gar - garwhal.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
GBR,Great Britain,Western Europe,WESTERN_EUROPE,MATRIX,tier_4,KEEP_TIER,KEEP_TIER_AND_PATCH,,14,31,18,1,0,0,advanced_crop_rotations;atmospheric_engine;coke_smelting;commercial_insurance_markets;enclosed_dock_systems;improved_agricultural_implements;industrial_canals;institutionalized_public_credit;institutionalized_scientific_exchange;mechanized_spinning;periodical_print_networks;precision_boring;scientific_fortification_siegecraft;scientific_naval_architecture;selective_breeding;state_dockyard_systems;stock_exchange;turnpike_road_networks,romanticism,,romanticism,advanced_crop_rotations;atmospheric_engine;codified_practical_knowledge;coke_smelting;colonization;commercial_insurance_markets;distillation;enclosed_dock_systems;improved_agricultural_implements;improved_husbandry;industrial_canals;institutionalized_public_credit;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;mechanized_spinning;organized_textile_production;periodical_print_networks;precision_boring;regulated_small_arms;scientific_fortification_siegecraft;scientific_naval_architecture;selective_breeding;shaft_mining;specialized_technical_academies;standardized_field_artillery;state_dockyard_systems;stock_exchange;systematic_administrative_statistics;turnpike_road_networks;urbanization,common/history/countries/gbr - great britain.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
GEN,Most Serene Republic of Genoa,Southern Europe,CENTRAL_EUROPE_GERMAN_ITALY,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,12,13,1,0,4,0,scientific_fortification_siegecraft,,,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;scientific_fortification_siegecraft;shaft_mining;specialized_technical_academies;standardized_field_artillery;systematic_administrative_statistics;urbanization,common/history/countries/gen - genoa.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
GGO,Gogo,East Africa,AFRICA,MATRIX,tier_7,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,0,1,1,0,0,0,improved_husbandry,,,,improved_husbandry,C:\Games\Victoria 3\game\common\history\countries\ggo - gogo.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
GJM,Gojjam,East Africa,AFRICA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,6,6,0,0,2,0,,,,,codified_practical_knowledge;improved_husbandry;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\gjm - gojjam.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
GLD,Geledi,East Africa,AFRICA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,7,7,0,0,2,0,,,,,codified_practical_knowledge;improved_husbandry;international_relations;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,common/history/countries/gld - geledi.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
GNI,Guarani,La Plata,AMERICAS_CARIBBEAN,MATRIX,tier_6,KEEP_TIER,KEEP_TIER_AND_PATCH,,2,2,0,0,0,0,,,,,improved_husbandry;urbanization,C:\Games\Victoria 3\game\common\history\countries\gni - guarani.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
GR3,Sicily,Southern Europe,CENTRAL_EUROPE_GERMAN_ITALY,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,11,11,0,0,4,0,,,,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;urbanization,common/history/countries/gr3 - sicily.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
GR4,Naples,Southern Europe,CENTRAL_EUROPE_GERMAN_ITALY,MATRIX,tier_4,KEEP_TIER,KEEP_TIER_AND_PATCH,,11,13,2,0,1,1,scientific_fortification_siegecraft;specialized_technical_academies,,,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;scientific_fortification_siegecraft;shaft_mining;specialized_technical_academies;standardized_field_artillery;systematic_administrative_statistics;urbanization,common/history/countries/gr4 - naples.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
GR5,Santo Domingo,Central America,AMERICAS_CARIBBEAN,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,12,8,0,4,2,0,,codified_practical_knowledge;regulated_small_arms;romanticism;shaft_mining,codified_practical_knowledge;regulated_small_arms;shaft_mining,romanticism,distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;standardized_field_artillery;systematic_administrative_statistics;urbanization,common/history/countries/gr5 - spanish haiti.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
GRE,Greece,Balkans,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,MATRIX,tier_3,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,17,9,0,8,3,0,,applied_mineralogy;coke_smelting;commercial_insurance_markets;medical_degrees;periodical_print_networks;specialized_technical_academies;standardized_field_artillery;systematic_administrative_statistics,applied_mineralogy;coke_smelting;commercial_insurance_markets;medical_degrees;specialized_technical_academies;standardized_field_artillery;systematic_administrative_statistics,periodical_print_networks,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;urbanization,common/history/countries/gre - greece.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
GRW,Garawa,Oceania,OCEANIA_PACIFIC,MATRIX,tier_6,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,2,2,1,1,1,0,traditional_food_processing,urbanization,urbanization,,improved_husbandry;traditional_food_processing,C:\Games\Victoria 3\game\common\history\countries\grw - garawa.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
GWA,Gwalior,North India,SOUTH_ASIA,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,11,8,0,3,1,0,,light_infantry_tactics;shaft_mining;standardized_field_artillery,light_infantry_tactics;shaft_mining;standardized_field_artillery,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;organized_textile_production;regulated_small_arms;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\gwa - gwalior.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
GZA,Gaza,East Africa,AFRICA,MATRIX,tier_6,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,3,2,0,1,1,0,,international_relations,,international_relations,improved_husbandry;urbanization,common/history/countries/gza - gaza.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
HAI,Haiti,Central America,AMERICAS_CARIBBEAN,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,13,12,1,2,4,0,periodical_print_networks,regulated_small_arms;shaft_mining,regulated_small_arms;shaft_mining,,codified_practical_knowledge;colonization;distillation;improved_husbandry;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;organized_textile_production;periodical_print_networks;standardized_field_artillery;systematic_administrative_statistics;urbanization,common/history/countries/hai - haiti.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
HAM,Hamburg,Central Europe,CENTRAL_EUROPE_GERMAN_ITALY,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,11,11,0,0,4,0,,,,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;urbanization,common/history/countries/ham - hamburg.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
HAN,Hanover,Central Europe,CENTRAL_EUROPE_GERMAN_ITALY,MATRIX,tier_4,KEEP_TIER,KEEP_TIER_AND_PATCH,,11,11,0,0,0,0,,,,,codified_practical_knowledge;distillation;improved_husbandry;international_relations;light_infantry_tactics;organized_textile_production;regulated_small_arms;shaft_mining;standardized_field_artillery;systematic_administrative_statistics;urbanization,common/history/countries/han - hannover.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
HAR,Harar,East Africa,AFRICA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,6,7,1,0,2,0,international_relations,,,,codified_practical_knowledge;improved_husbandry;international_relations;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\har - harar.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
HAU,Gobir,West Africa,AFRICA,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,KEEP_TIER_AND_PATCH,,6,6,0,0,2,0,,,,,codified_practical_knowledge;improved_husbandry;organized_textile_production;shaft_mining;systematic_administrative_statistics;urbanization,C:\Games\Victoria 3\game\common\history\countries\hau - hausa.txt,"No tier-derived REMOVE; keep current tier grant(s), remove only explicit grants marked REMOVE, and add ADD technologies.",,
HAW,Hawaii,Oceania,OCEANIA_PACIFIC,MATRIX,tier_5,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,6,4,2,4,1,0,international_relations;traditional_food_processing,codified_practical_knowledge;shaft_mining;systematic_administrative_statistics;urbanization,codified_practical_knowledge;shaft_mining;systematic_administrative_statistics;urbanization,,improved_husbandry;international_relations;organized_textile_production;traditional_food_processing,common/history/countries/haw - hawaii.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
HBC,Hudson's Bay Company,Canada,AMERICAS_CARIBBEAN,MATRIX,tier_4,REPLACE_WITH_EXPLICIT_SETUP,EXPLICIT_SETUP,,13,9,0,4,1,0,,codified_practical_knowledge;regulated_small_arms;shaft_mining;standardized_field_artillery,codified_practical_knowledge;regulated_small_arms;shaft_mining;standardized_field_artillery,,colonization;distillation;improved_husbandry;institutionalized_scientific_exchange;international_relations;light_infantry_tactics;organized_textile_production;systematic_administrative_statistics;urbanization,common/history/countries/hbc - hudson bay company.txt,At least one tier-derived technology is REMOVE; replace generic tier grant(s) with the exact Final_Technologies list.,,
