TAG,Country,Technology_ID,Missing_Direct_Prerequisites,Was_Missing_Before,Synthesis_Policy
CLM,Colombia,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
CLM,Colombia,commercial_insurance_markets,institutionalized_public_credit,YES,DO_NOT_AUTO_ADD
PRG,Paraguay,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
FRM,Frankfurt,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
FRM,Frankfurt,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
HOH,Hohenzollern,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
HOH,Hohenzollern,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
SCM,Schaumburg-Lippe,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SCM,Schaumburg-Lippe,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
BHW,Bahawalpur,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BHW,Bahawalpur,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
KUN,Kunduz,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KUN,Kunduz,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
OZH,Orta Zhuz,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MNP,Manipur,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MNP,Manipur,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
TIB,Tibet,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,NO,DO_NOT_AUTO_ADD
TIB,Tibet,traditional_papermaking,organized_forestry,NO,DO_NOT_AUTO_ADD
BRZ,Brazil,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,NO,DO_NOT_AUTO_ADD
BRZ,Brazil,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
IND,Indore,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
IND,Indore,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
SIC,Two Sicilies,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SIC,Two Sicilies,specialized_technical_academies,institutionalized_scientific_exchange,NO,DO_NOT_AUTO_ADD
LNG,Loango,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,NO,DO_NOT_AUTO_ADD
BER,Baroda,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BER,Baroda,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
GEN,Most Serene Republic of Genoa,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
GEN,Most Serene Republic of Genoa,specialized_technical_academies,institutionalized_scientific_exchange,YES,DO_NOT_AUTO_ADD
USA,America,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
SUR,Surguja,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
LUA,Luang Prabang,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
LUA,Luang Prabang,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
MOD,Modena,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MOD,Modena,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
LOU,Louisiana,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
MLT,Malta,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MLT,Malta,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
HYD,Hyderabad,traditional_papermaking,organized_forestry,NO,DO_NOT_AUTO_ADD
HYD,Hyderabad,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
WSG,Warsangali,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
NET,Netherlands,industrial_canals,turnpike_road_networks,NO,DO_NOT_AUTO_ADD
NET,Netherlands,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
NET,Netherlands,traditional_papermaking,organized_forestry,NO,DO_NOT_AUTO_ADD
GBR,Great Britain,coke_smelting,organized_forestry,NO,DO_NOT_AUTO_ADD
PAR,Parma,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
PAR,Parma,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
EZO,Ezochi,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SOK,Sokoto,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BAG,Rewah,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
PHI,Philippines,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KNO,Kurnool,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MEX,Mexico,codified_practical_knowledge,periodical_print_networks,YES,DO_NOT_AUTO_ADD
MEX,Mexico,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
BUG,Buganda,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,NO,DO_NOT_AUTO_ADD
MUG,Hindustan,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MUG,Hindustan,traditional_papermaking,organized_forestry,NO,DO_NOT_AUTO_ADD
HAI,Haiti,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
HAI,Haiti,standardized_field_artillery,regulated_small_arms,NO,DO_NOT_AUTO_ADD
NAG,Nagpur,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SAX,Saxony,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SAX,Saxony,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
SAX,Saxony,specialized_technical_academies,institutionalized_scientific_exchange,NO,DO_NOT_AUTO_ADD
MAS,Mascara,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MAS,Mascara,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
PER,Persia,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
PER,Persia,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
WTU,Witu,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
PEU,Peru,codified_practical_knowledge,periodical_print_networks,YES,DO_NOT_AUTO_ADD
PEU,Peru,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
BAS,Bastar,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
CUB,Cuba,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
NEP,Nepal,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KHP,Kolhapur,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KHP,Kolhapur,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
STG,Sintang,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
STG,Sintang,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
MEI,Saxe-Meiningen,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MEI,Saxe-Meiningen,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
HAM,Hamburg,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
HAM,Hamburg,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
SAK,Siak,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SAK,Siak,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
SC2,Nueva Granada,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
SC2,Nueva Granada,applied_mineralogy,shaft_mining,NO,DO_NOT_AUTO_ADD
NAS,Nassau,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
NAS,Nassau,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
BEN,Benin,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SPU,South Peru,medical_degrees,institutionalized_scientific_exchange,YES,DO_NOT_AUTO_ADD
SPU,South Peru,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SPU,South Peru,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
SPU,South Peru,commercial_insurance_markets,institutionalized_public_credit,YES,DO_NOT_AUTO_ADD
BHO,Bhopal,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BHO,Bhopal,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
PRA,Grão-Pará,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
HDY,Hadiya,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
QWR,Qwara,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
CRI,Crimea,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
GR3,Sicily,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
GR3,Sicily,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
DAH,Dahomey,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SDM,Sidamo,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
COB,Saxe-Coburg-Gotha,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
COB,Saxe-Coburg-Gotha,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
HAR,Harar,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
DAI,Dai Nam,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
GLD,Geledi,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
PTA,Patiala,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
PTA,Patiala,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
SC3,Perú,codified_practical_knowledge,periodical_print_networks,YES,DO_NOT_AUTO_ADD
SC3,Perú,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
MOL,Moldavia,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MOL,Moldavia,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
AGC,Angoche,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SEL,Selangor,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SEL,Selangor,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
LAH,Lahej,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
LAH,Lahej,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
TGI,Tungi,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SRK,Surakarta,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SRK,Surakarta,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
ASM,Assam,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ASM,Assam,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
QUE,Quebec,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
BUR,Burma,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
HES,Hesse,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
HES,Hesse,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
MOR,Morocco,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
JUN,Junagadh,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BOL,Bolivia,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
BUK,Bukhara,traditional_papermaking,organized_forestry,NO,DO_NOT_AUTO_ADD
BUK,Bukhara,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
DUR,Afghanistan,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
OMA,Oman,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
OMA,Oman,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
LIB,Liberia,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BEL,Belgium,atmospheric_engine,coke_smelting,NO,DO_NOT_AUTO_ADD
BEL,Belgium,advanced_crop_rotations,selective_breeding,YES,DO_NOT_AUTO_ADD
HDJ,Hedjaz,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
HDJ,Hedjaz,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
CRO,Croatia,codified_practical_knowledge,periodical_print_networks,YES,DO_NOT_AUTO_ADD
UBD,United Baltic Provinces,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
UBD,United Baltic Provinces,codified_practical_knowledge,institutionalized_scientific_exchange,NO,DO_NOT_AUTO_ADD
UBD,United Baltic Provinces,standardized_field_artillery,regulated_small_arms,NO,DO_NOT_AUTO_ADD
BHN,Bahrain,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BHN,Bahrain,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
LIP,Lippe,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
LIP,Lippe,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
DEI,East Indies,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ORA,Oranje,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SPC,Carlist Spain,atmospheric_engine,coke_smelting,NO,DO_NOT_AUTO_ADD
ISQ,Isaaq,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
JMB,Jambi,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
JMB,Jambi,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
MAI,Maimana,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MAI,Maimana,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
HBC,Hudson's Bay Company,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
BRG,Borgu,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MLD,Maldives,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
TGR,Tigray,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
PUD,Pudukottai,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
UZH,Uly Zhuz,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
JHN,Jhansi,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
MAD,Madagascar,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,NO,DO_NOT_AUTO_ADD
UCA,Central America,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
ARM,Armenia,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ARM,Armenia,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
WLD,Waldeck,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
WLD,Waldeck,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
VNZ,Venezuela,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
WAL,Wallachia,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
WAL,Wallachia,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
BUN,Orchha,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
TRM,Turkmenia,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ARB,Arabistan,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ETH,Ethiopia,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
KZH,Kishi Zhuz,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BNY,Bunyoro,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,NO,DO_NOT_AUTO_ADD
KBA,Kuba,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,NO,DO_NOT_AUTO_ADD
JEY,Jeypore,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BTN,Buton,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
BTN,Buton,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
PAP,Rome,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
PAP,Rome,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
SIK,Sikkim,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
ORG,Oregon,light_infantry_tactics,regulated_small_arms,NO,DO_NOT_AUTO_ADD
TUN,Tunis,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,NO,DO_NOT_AUTO_ADD
SWI,Switzerland,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,YES,DO_NOT_AUTO_ADD
SWI,Switzerland,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
LAN,Lanfang,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,NO,DO_NOT_AUTO_ADD
LAN,Lanfang,regulated_small_arms,scientific_fortification_siegecraft,YES,DO_NOT_AUTO_ADD
